非晶态装甲云	Nimboarmadura amorfa
将飓风的武器锁定在目标空中单位或空中建筑身上，在<d ref="Effect,LockOnAirCP,PeriodicPeriodArray[0] + Effect,LockOnAirCP,PeriodicPeriodArray[1] + Effect,LockOnAirCP,PeriodicPeriodArray[2] + Effect,LockOnAirCP,PeriodicPeriodArray[3] + Effect,LockOnAirCP,PeriodicPeriodArray[4] + Effect,LockOnAirCP,PeriodicPeriodArray[5] + Effect,LockOnAirCP,PeriodicPeriodArray[6] + Effect,LockOnAirCP,PeriodicPeriodArray[7] + Effect,LockOnAirCP,PeriodicPeriodArray[8] + Effect,LockOnAirCP,PeriodicPeriodArray[9] + Effect,LockOnAirCP,PeriodicPeriodArray[10] + Effect,LockOnAirCP,PeriodicPeriodArray[11] + Effect,LockOnAirCP,PeriodicPeriodArray[12] + Effect,LockOnAirCP,PeriodicPeriodArray[13] + Effect,LockOnAirCP,PeriodicPeriodArray[14] + Effect,LockOnAirCP,PeriodicPeriodArray[15] + Effect,LockOnAirCP,PeriodicPeriodArray[16] + Effect,LockOnAirCP,PeriodicPeriodArray[17] + Effect,LockOnAirCP,PeriodicPeriodArray[18] + Effect,LockOnAirCP,PeriodicPeriodArray[19] + Effect,LockOnAirCP,PeriodicPeriodArray[20] + Effect,LockOnAirCP,PeriodicPeriodArray[21] + Effect,LockOnAirCP,PeriodicPeriodArray[22]"/>秒内造成<d ref="Effect,LockOnAirCP,PeriodCount*Effect,CycloneAirWeaponDamage,Amount"/>点伤害（+<d ref="Effect,LockOnAirCP,PeriodCount * $UpgradeEffectArrayValue:ArmorPiercingRockets:Effect,CycloneAirWeaponDamage,AttributeBonus[Armored]$"/> vs 重甲单位）。前4次射击很快发射。可以在开火时移动。如果目标离开锁定范围，该技能将会取消。<n/><n/><c val="#ColorAttackInfo">无法锁定地面单位或地面建筑。</c>	Fija las armas del Ciclón sobre la estructura aérea o la unidad aérea objetivo e inflige <d ref="Effect,LockOnAirCP,PeriodCount*Effect,CycloneAirWeaponDamage,Amount"/> de daño (+<d ref="Effect,LockOnAirCP,PeriodCount * $UpgradeEffectArrayValue:ArmorPiercingRockets:Effect,CycloneAirWeaponDamage,AttributeBonus[Armored]$"/> contra unidades blindadas) durante <d ref="Effect,LockOnAirCP,PeriodicPeriodArray[0] + Effect,LockOnAirCP,PeriodicPeriodArray[1] + Effect,LockOnAirCP,PeriodicPeriodArray[2] + Effect,LockOnAirCP,PeriodicPeriodArray[3] + Effect,LockOnAirCP,PeriodicPeriodArray[4] + Effect,LockOnAirCP,PeriodicPeriodArray[5] + Effect,LockOnAirCP,PeriodicPeriodArray[6] + Effect,LockOnAirCP,PeriodicPeriodArray[7] + Effect,LockOnAirCP,PeriodicPeriodArray[8] + Effect,LockOnAirCP,PeriodicPeriodArray[9] + Effect,LockOnAirCP,PeriodicPeriodArray[10] + Effect,LockOnAirCP,PeriodicPeriodArray[11] + Effect,LockOnAirCP,PeriodicPeriodArray[12] + Effect,LockOnAirCP,PeriodicPeriodArray[13] + Effect,LockOnAirCP,PeriodicPeriodArray[14] + Effect,LockOnAirCP,PeriodicPeriodArray[15] + Effect,LockOnAirCP,PeriodicPeriodArray[16] + Effect,LockOnAirCP,PeriodicPeriodArray[17] + Effect,LockOnAirCP,PeriodicPeriodArray[18] + Effect,LockOnAirCP,PeriodicPeriodArray[19] + Effect,LockOnAirCP,PeriodicPeriodArray[20] + Effect,LockOnAirCP,PeriodicPeriodArray[21] + Effect,LockOnAirCP,PeriodicPeriodArray[22]"/> segundos. Los primeros cuatro disparos son más veloces. Puede moverse mientras dispara. La habilidad se cancela si el objetivo queda fuera de alcance.<n/><n/><c val="#ColorAttackInfo">No puede seleccionar estructuras ni unidades terrestres como objetivo.</c>
将飓风的武器锁定在目标空中单位或空中建筑身上，在<d ref="Effect,LockOnAirCP,PeriodicPeriodArray[0] + Effect,LockOnAirCP,PeriodicPeriodArray[1] + Effect,LockOnAirCP,PeriodicPeriodArray[2] + Effect,LockOnAirCP,PeriodicPeriodArray[3] + Effect,LockOnAirCP,PeriodicPeriodArray[4] + Effect,LockOnAirCP,PeriodicPeriodArray[5] + Effect,LockOnAirCP,PeriodicPeriodArray[6] + Effect,LockOnAirCP,PeriodicPeriodArray[7] + Effect,LockOnAirCP,PeriodicPeriodArray[8] + Effect,LockOnAirCP,PeriodicPeriodArray[9] + Effect,LockOnAirCP,PeriodicPeriodArray[10] + Effect,LockOnAirCP,PeriodicPeriodArray[11] + Effect,LockOnAirCP,PeriodicPeriodArray[12] + Effect,LockOnAirCP,PeriodicPeriodArray[13] + Effect,LockOnAirCP,PeriodicPeriodArray[14] + Effect,LockOnAirCP,PeriodicPeriodArray[15] + Effect,LockOnAirCP,PeriodicPeriodArray[16] + Effect,LockOnAirCP,PeriodicPeriodArray[17] + Effect,LockOnAirCP,PeriodicPeriodArray[18] + Effect,LockOnAirCP,PeriodicPeriodArray[19] + Effect,LockOnAirCP,PeriodicPeriodArray[20] + Effect,LockOnAirCP,PeriodicPeriodArray[21] + Effect,LockOnAirCP,PeriodicPeriodArray[22]"/>秒内造成<d ref="Effect,LockOnAirCP,PeriodCount*Effect,CycloneAirWeaponDamage,Amount"/>点伤害。前<c val="#ColorAttackInfo">12</c>次射击很快发射。可以在开火时移动。如果目标离开锁定范围，该技能将会取消。<n/><n/><c val="#ColorAttackInfo">无法锁定地面单位或地面建筑。</c>	Fija las armas del Ciclón sobre la estructura aérea o la unidad aérea objetivo e inflige <d ref="Effect,LockOnAirCP,PeriodCount*Effect,CycloneAirWeaponDamage,Amount"/> de daño durante <d ref="Effect,LockOnAirCP,PeriodicPeriodArray[0] + Effect,LockOnAirCP,PeriodicPeriodArray[1] + Effect,LockOnAirCP,PeriodicPeriodArray[2] + Effect,LockOnAirCP,PeriodicPeriodArray[3] + Effect,LockOnAirCP,PeriodicPeriodArray[4] + Effect,LockOnAirCP,PeriodicPeriodArray[5] + Effect,LockOnAirCP,PeriodicPeriodArray[6] + Effect,LockOnAirCP,PeriodicPeriodArray[7] + Effect,LockOnAirCP,PeriodicPeriodArray[8] + Effect,LockOnAirCP,PeriodicPeriodArray[9] + Effect,LockOnAirCP,PeriodicPeriodArray[10] + Effect,LockOnAirCP,PeriodicPeriodArray[11] + Effect,LockOnAirCP,PeriodicPeriodArray[12] + Effect,LockOnAirCP,PeriodicPeriodArray[13] + Effect,LockOnAirCP,PeriodicPeriodArray[14] + Effect,LockOnAirCP,PeriodicPeriodArray[15] + Effect,LockOnAirCP,PeriodicPeriodArray[16] + Effect,LockOnAirCP,PeriodicPeriodArray[17] + Effect,LockOnAirCP,PeriodicPeriodArray[18] + Effect,LockOnAirCP,PeriodicPeriodArray[19] + Effect,LockOnAirCP,PeriodicPeriodArray[20] + Effect,LockOnAirCP,PeriodicPeriodArray[21] + Effect,LockOnAirCP,PeriodicPeriodArray[22]"/> segundos. Los primeros <c val="#ColorAttackInfo">12</c> disparos son más veloces. Puede moverse mientras dispara. La habilidad se cancela si el objetivo queda fuera de alcance.<n/><n/><c val="#ColorAttackInfo">No puede seleccionar estructuras ni unidades terrestres como objetivo.</c>
使飓风的武器锁定目标单位，对地面和空中单位在<d ref="Effect,LockOnCP,PeriodCount * Effect,LockOnCP,PeriodicPeriodArray[0]"/>秒内造成<d ref="Effect,LockOnCP,PeriodCount*Effect,CycloneWeaponDamage,Amount"/>点伤害(+400 vs. 重甲)。开火时可以移动。如果目标离开射程后则取消。	Fija las armas del Ciclón a la unidad objetivo e inflige <d ref="Effect,LockOnCP,PeriodCount*Effect,CycloneWeaponDamage,Amount"/> de daño (+400 contra unidades blindadas) durante <d ref="Effect,LockOnCP,PeriodCount * Effect,LockOnCP,PeriodicPeriodArray[0]"/> segundos a los objetivos terrestres y aéreos. Puede moverse mientras dispara. La habilidad se cancela si el objetivo está fuera de alcance.
为潜伏者提供升级方案。<n/><n/><c val="ffff8a">开启：</c><n/>- 使刺蛇可以进化为潜伏者	Contiene una mejora para los Acechadores.<n/><n/><c val="ffff8a">Habilita:</c><n/>- Transformación de Hidraliscos en Acechadores.
矿物采集设备原型，工作效率高于SCV。矿骡的系统在持续工作<d time="90"/>后会瘫痪。	Unidad recolectora prototípica. Recoge minerales más rápido que los VCE. Los EMUL duran <d time="90"/> hasta que sus sistemas comienzan a fallar.
使<c val="ffff8a">飓风</c>的攻击射程+<d ref="$UpgradeEffectArrayValue:MagFieldLaunchers:Weapon,TyphoonMissilePod,Range$"/>。	Aumenta el alcance de ataque del <c val="ffff8a">Ciclón</c> en +<d ref="$UpgradeEffectArrayValue:MagFieldLaunchers:Weapon,TyphoonMissilePod,Range$"/>.
将目标区域内的所有玩家单位传送至母舰。	Repliega todas las unidades del jugador en el área objetivo hacia la Nave nodriza.
提高医疗运输机的移动速度，持续<d ref="Behavior,MedivacSpeedBoost,Duration"/>秒。	Aumenta la velocidad de movimiento de los Evameds durante <d ref="Behavior,MedivacSpeedBoost,Duration"/> segundos.
使目标孵化场、虫穴或主巢在<d ref="Behavior,QueenSpawnLarvaTimer,Duration"/>秒内孵化<d ref="Effect,SpawnMutantLarvaApplySpawnBehavior,Count"/>只幼虫。如果孵化场、虫穴或主巢现有幼虫数量超过3只，则会停止常规的幼虫孵化，直至数量少于3只。当目标已经在孵化额外的幼虫时，这一效果会叠加并进入队列。	El Larvario, la Guarida o la Colmena objetivo engendran <d ref="Effect,SpawnMutantLarvaApplySpawnBehavior,Count"/> Larvas en <d ref="Behavior,QueenSpawnLarvaTimer,Duration"/> segundos. Si el Larvario, la Guarida o la Colmena tienen más de 3 Larvas a la vez, la producción regular de larvas se detiene hasta que haya menos de 3. Este efecto se acumulará y quedará en reserva si el objetivo ya está engendrando Larvas adicionales.
升级为母舰。可以使用光子超载、群体召回和时间扭曲技能。使附近的单位和建筑隐形。	Se transforma en la Nave nodriza. Puede usar las habilidades Sobrecarga de fotones, Repliegue en masa y Distorsión de tiempo. Camufla a las unidades y estructuras cercanas.
把侦测器变形为标准的侦测器模式。使其能够随意移动，但视野范围会变小。	Coloca al Observador en modo Observador estándar. Permite que el Observador se mueva a cambio de una disminución en el radio de visión.
把侦测器变形为监察模式。视野提高<d ref="(Unit,ObserverSiegeMode,Sight/Unit,Observer,Sight-1)*100"/>%，但无法移动。	Coloca al Observador en modo Vigilancia. El Observador obtiene un <d ref="(Unit,ObserverSiegeMode,Sight/Unit,Observer,Sight-1)*100"/>% más de visión, pero no se puede mover.
开启王虫运输单位的能力。	Permite que el Amo supremo transporte unidades.
恢复眼虫的移动能力，并使其视野回到正常范围。	Restablece el movimiento del Vigía supremo y restituye su visón al radio normal.
使眼虫的视野范围扩大<d ref="(Unit,OverseerSiegeMode,Sight/Unit,Overseer,Sight-1)*100"/>% ，但失去移动能力。该技能在激活后可以取消。	Otorga un <d ref="(Unit,OverseerSiegeMode,Sight/Unit,Overseer,Sight-1)*100"/>% más de radio de visión al Vigía supremo, pero elimina su capacidad de moverse. Esta habilidad puede cancelarse después de la activación.
终极星灵战舰。能够使用战术召回和时间扭曲技能。使附近的友方单位和建筑隐形。<n/><n/><c val="ffff8a">可以对地和对空。</c>	Máximo navío protoss. Puede usar las habilidades Repliegue estratégico y Distorsión de tiempo. Camufla a las unidades y estructuras aliadas cercanas.<n/><n/><c val="#ColorAttackInfo">Ataca a unidades terrestres y aéreas.</c>
为目标水晶塔的心能水晶充能，使其变成一个威力巨大的武器，能造成<d ref="Effect,MothershipCoreWeaponDamage,Amount[0]"/>点伤害，持续<d ref="Behavior,Purify,Duration[0]"/>秒。	Energiza el cristal khaydarín del Pilón y lo convierte durante <d ref="Behavior,Purify,Duration[0]"/> segundos en una poderosa arma de largo alcance que inflige <d ref="Effect,MothershipCoreWeaponDamage,Amount[0]"/> de daño.
目标单位被感染者控制，持续<d ref="Behavior,NeuralParasite,Duration"/>秒。感染者在控制期间无法进行其他动作。<n/><n/><c val="ffff8a">该技能需要引导。可以在潜地时施放。</c><n/><c val="#ColorAttackInfo">英雄单位免疫。</c>	El Infestador controla a la unidad objetivo durante <d ref="Behavior,NeuralParasite,Duration"/> segundos. No puede realizar otra acción mientras controla una unidad enemiga.<n/><n/><c val="ffff8a">Habilidad canalizada. Se puede lanzar estando enterrado.</c><n/><c val="#ColorAttackInfo">Las unidades heroicas son inmunes.</c>
基础建筑，用于接收采集到的资源。可以使用时空提速、群体召回技能。<n/><n/><c val="ffff8a">开启：</c><n/>- 探机<n/>- 母舰	Estructura primaria. Puede recibir recursos recolectados. Puede usar las habilidades Cronoimpulso y Repliegue en masa.<n/><n/><c val="ffff8a">Habilita:</c><n/>- Sondas<n/>- Nave nodriza
将目标区域内所有该玩家的单位召回至星灵枢纽。	Repliega a todas las unidades del jugador en el área objetivo hasta el Nexo.
星灵枢纽会自动使用能量来恢复附近单位的护盾。	El Nexo utilizará energía automáticamente para restaurar los escudos de unidades cercanas.
星灵枢纽不再自动把友方单位设为目标。	El Nexo ya no marcará como objetivo a las unidades aliadas de forma automática.
为目标单位或建筑恢复护盾。<n/><n/><c val="ffff8a">每恢复<d ref="Effect,NexusShieldRechargeShield,VitalArray[Shields].Change"/>点护盾消耗1点能量。 </c>	Restaura los escudos de la unidad o estructura objetivo.<n/><n/><c val="ffff8a">Cuesta 1 de energía por cada <d ref="Effect,NexusShieldRechargeShield,VitalArray[Shields].Change"/> escudos restaurados.</c>
为目标水晶塔的凯达琳水晶充能，把它变成可以为友方单位恢复护盾的建筑，持续<d ref="Behavior,NexusShieldRechargeOnPylonBehavior,Duration[0]"/> 秒。	Energiza el cristal khaydarín del Pilón y lo convierte en una estructura que restituye escudos a las unidades aliadas durante <d ref="Behavior,NexusShieldRechargeOnPylonBehavior,Duration[0]"/> segundos.
坑道虫在从地面钻出时拥有<d ref="Behavior,NydusWormArmor,Modification.LifeArmorBonus+1"/>点护甲。	Los Gusanos Nydus tienen <d ref="Behavior,NydusWormArmor,Modification.LifeArmorBonus+1"/> de armadura cuando surgen del terreno.
在目标位置放置一个隐形的静滞结界，持续<d ref="Behavior,StasisWardTimedLife,Duration"/>秒。一旦被一个敌方地面单位触发，该结界将使附近的敌方单位陷入静滞状态，持续<d ref="Behavior,OracleStasisTrapTarget,Duration"/>秒。被困住的单位无法被攻击或被技能影响。	Coloca una Guarda de estasis camuflada en la ubicación objetivo que dura <d ref="Behavior,StasisWardTimedLife,Duration"/> segundos. Cuando una unidad terrestre enemiga la activa, la guarda pone a todos los enemigos cercanos en estasis durante <d ref="Behavior,OracleStasisTrapTarget,Duration"/> segundos. Las unidades que están en estasis no pueden recibir ataques ni ser objetivo de habilidades.
高级空中侦察单位。 能够维持王虫形态时所控制的单位上限。可以使用超距视界、孵化拟态雏虫和污染技能。<n/><n/><c val="FFE303">侦测单位</c>	Observador aéreo avanzado. Mantiene el máximo de unidades establecido por el Amo Supremo. Puede usar las habilidades Vigilancia, Engendrar Cambiaformas y Contaminar.<n/><n/><n/><c val="#ColorAttackInfo">Detector</c>
生成一团寄生云，在<d ref="Behavior,ParasiticBomb,Duration"/>秒内对目标和附近的敌方空中单位造成<d ref="Behavior,ParasiticBomb,Duration/Behavior,ParasiticBomb,Period*Effect,ParasiticBombDotDamage,Amount"/>点伤害。如果目标死亡，寄生云会在敌人的死亡位置一直存在直至消失。<n/><n/><c val="#ColorAttackInfo">无法选择地面单位或建筑作为目标。</c>	Crea una nube parasitaria que inflige <d ref="Behavior,ParasiticBomb,Duration/Behavior,ParasiticBomb,Period*Effect,ParasiticBombDotDamage,Amount"/> de daño al objetivo y a las unidades aéreas enemigas cercanas en un lapso de <d ref="Behavior,ParasiticBomb,Duration"/> segundos. Si el objetivo muere, la nube permanece flotando en el lugar donde murió la unidad enemiga hasta que finaliza la duración.<n/><n/><c val="#ColorAttackInfo">No puede seleccionar estructuras ni unidades terrestres como objetivo.</c>
自动防御激光，可以拦截敌军导弹。无法拦截特殊攻击。<n/><n/><c val="f078ff">每次拦截消耗10点能量。</c>	Láser defensivo automatizado que intercepta varios proyectiles enemigos. No intercepta ataques especiales.<n/><n/><c val="f078ff">Cada disparo consume 10 de energía.</c>
强化狂热者的冲锋，对被冲锋目标造成<d ref="Effect,ChargingDamage,Amount"/>点伤害。	Mejora la Arremetida de los Zelots para que inflijan <d ref="Effect,ChargingDamage,Amount"/> de daño al objetivo contra el que arremetieron.
发射一枚能量球，持续<d ref="Behavior,PurificationNovaTargettedTarget,Duration"/>秒，并产生一道强力的能量新星，对附近的地面单位和建筑造成<d ref="Effect,PurificationNovaDamage,Amount"/>点溅射伤害和额外<d ref="Effect,PurificationNovaDamage,ShieldBonus"/>点对护盾的伤害。干扰者在激活该技能的时候无法移动。	Dispara una bola de energía que dura <d ref="Behavior,PurificationNovaTargettedTarget,Duration"/> segundos y emite una nova poderosa que inflige <d ref="Effect,PurificationNovaDamage,Amount"/> de daño por proximidad y <d ref="Effect,PurificationNovaDamage,ShieldBonus"/> más de daño de escudo a las unidades y estructuras terrestres cercanas. El Disruptor permanece inmóvil mientras esta habilidad está activa.
医疗运输机的后燃推进系统的冷却时间缩短<d time="[d ref='$UpgradeEffectArrayValue:MedivacIncreaseSpeedBoost:Abil,MedivacSpeedBoost,Cost[0].Cooldown.TimeUse$'/]"/>秒，提高医疗运输机的移动速度。	Reduce el tiempo de recuperación de Encender postquemadores del Evamed en <d time="[d ref='$UpgradeEffectArrayValue:MedivacIncreaseSpeedBoost:Abil,MedivacSpeedBoost,Cost[0].Cooldown.TimeUse$'/]"/> y aumenta la velocidad de movimiento de los Evameds.
空中支援单位。能够使用自动机炮、干扰矩阵、和反护甲飞弹。<n/><n/><c val="FFE303">侦测单位</c>	Unidad de apoyo aéreo. Puede usar Torreta automática, Matriz de interferencia y Misil antiblindaje.<n/><n/><c val="FFE303">Detector</c>
铁鸦的反护甲飞弹的爆炸范围扩大20%，追踪距离扩大50%。	Aumenta un 20% el radio de explosión del Misil antiblindaje del Cuervo y un 50% su alcance de rastreo.
猎杀飞弹的伤害提高30%，追击距离扩大50%。	Aumenta 30% el daño del Misil buscador y 50% su alcance de rastreo.
修理周围的友方机械单位，持续<d ref="Behavior,RavenRepairDroneTimedLife,Duration"/>秒。	Repara las unidades mecánicas aliadas cercanas durante <d ref="Behavior,RavenRepairDroneTimedLife,Duration"/> segundos.
修理一个友方机械目标。<n/><n/><c val="f078ff">每1点能量恢复<d ref="Effect,RavenRepairDroneHeal,RechargeVitalRate*Effect,RavenRepairDroneHeal,DrainVitalCostFactor"/>点生命值。</c>	Repara a un objetivo mecánico aliado.<n/><n/><c val="f078ff">Repara <d ref="Effect,RavenRepairDroneHeal,RechargeVitalRate*Effect,RavenRepairDroneHeal,DrainVitalCostFactor"/> de vida por cada 1 de energía.</c>
