非晶态装甲云	무정형 방어구름
将飓风的武器锁定在目标空中单位或空中建筑身上，在<d ref="Effect,LockOnAirCP,PeriodicPeriodArray[0] + Effect,LockOnAirCP,PeriodicPeriodArray[1] + Effect,LockOnAirCP,PeriodicPeriodArray[2] + Effect,LockOnAirCP,PeriodicPeriodArray[3] + Effect,LockOnAirCP,PeriodicPeriodArray[4] + Effect,LockOnAirCP,PeriodicPeriodArray[5] + Effect,LockOnAirCP,PeriodicPeriodArray[6] + Effect,LockOnAirCP,PeriodicPeriodArray[7] + Effect,LockOnAirCP,PeriodicPeriodArray[8] + Effect,LockOnAirCP,PeriodicPeriodArray[9] + Effect,LockOnAirCP,PeriodicPeriodArray[10] + Effect,LockOnAirCP,PeriodicPeriodArray[11] + Effect,LockOnAirCP,PeriodicPeriodArray[12] + Effect,LockOnAirCP,PeriodicPeriodArray[13] + Effect,LockOnAirCP,PeriodicPeriodArray[14] + Effect,LockOnAirCP,PeriodicPeriodArray[15] + Effect,LockOnAirCP,PeriodicPeriodArray[16] + Effect,LockOnAirCP,PeriodicPeriodArray[17] + Effect,LockOnAirCP,PeriodicPeriodArray[18] + Effect,LockOnAirCP,PeriodicPeriodArray[19] + Effect,LockOnAirCP,PeriodicPeriodArray[20] + Effect,LockOnAirCP,PeriodicPeriodArray[21] + Effect,LockOnAirCP,PeriodicPeriodArray[22]"/>秒内造成<d ref="Effect,LockOnAirCP,PeriodCount*Effect,CycloneAirWeaponDamage,Amount"/>点伤害（+<d ref="Effect,LockOnAirCP,PeriodCount * $UpgradeEffectArrayValue:ArmorPiercingRockets:Effect,CycloneAirWeaponDamage,AttributeBonus[Armored]$"/> vs 重甲单位）。前4次射击很快发射。可以在开火时移动。如果目标离开锁定范围，该技能将会取消。<n/><n/><c val="#ColorAttackInfo">无法锁定地面单位或地面建筑。</c>	사이클론의 무기를 대상 공중 유닛 또는 구조물에 고정시켜 <d ref="Effect,LockOnAirCP,PeriodicPeriodArray[0] + Effect,LockOnAirCP,PeriodicPeriodArray[1] + Effect,LockOnAirCP,PeriodicPeriodArray[2] + Effect,LockOnAirCP,PeriodicPeriodArray[3] + Effect,LockOnAirCP,PeriodicPeriodArray[4] + Effect,LockOnAirCP,PeriodicPeriodArray[5] + Effect,LockOnAirCP,PeriodicPeriodArray[6] + Effect,LockOnAirCP,PeriodicPeriodArray[7] + Effect,LockOnAirCP,PeriodicPeriodArray[8] + Effect,LockOnAirCP,PeriodicPeriodArray[9] + Effect,LockOnAirCP,PeriodicPeriodArray[10] + Effect,LockOnAirCP,PeriodicPeriodArray[11] + Effect,LockOnAirCP,PeriodicPeriodArray[12] + Effect,LockOnAirCP,PeriodicPeriodArray[13] + Effect,LockOnAirCP,PeriodicPeriodArray[14] + Effect,LockOnAirCP,PeriodicPeriodArray[15] + Effect,LockOnAirCP,PeriodicPeriodArray[16] + Effect,LockOnAirCP,PeriodicPeriodArray[17] + Effect,LockOnAirCP,PeriodicPeriodArray[18] + Effect,LockOnAirCP,PeriodicPeriodArray[19] + Effect,LockOnAirCP,PeriodicPeriodArray[20] + Effect,LockOnAirCP,PeriodicPeriodArray[21] + Effect,LockOnAirCP,PeriodicPeriodArray[22]"/>초에 걸쳐 <d ref="Effect,LockOnAirCP,PeriodCount*Effect,CycloneAirWeaponDamage,Amount"/> (중장갑 유닛에는 +<d ref="Effect,LockOnAirCP,PeriodCount * $UpgradeEffectArrayValue:ArmorPiercingRockets:Effect,CycloneAirWeaponDamage,AttributeBonus[Armored]$"/>)의 피해를 줍니다. 이동하며 발사할 수 있고 대상이 사거리 밖으로 벗어나면 취소됩니다.<n/><n/><c val="#ColorAttackInfo">지상 유닛 및 지상 구조물 공격 불가</c>
将飓风的武器锁定在目标空中单位或空中建筑身上，在<d ref="Effect,LockOnAirCP,PeriodicPeriodArray[0] + Effect,LockOnAirCP,PeriodicPeriodArray[1] + Effect,LockOnAirCP,PeriodicPeriodArray[2] + Effect,LockOnAirCP,PeriodicPeriodArray[3] + Effect,LockOnAirCP,PeriodicPeriodArray[4] + Effect,LockOnAirCP,PeriodicPeriodArray[5] + Effect,LockOnAirCP,PeriodicPeriodArray[6] + Effect,LockOnAirCP,PeriodicPeriodArray[7] + Effect,LockOnAirCP,PeriodicPeriodArray[8] + Effect,LockOnAirCP,PeriodicPeriodArray[9] + Effect,LockOnAirCP,PeriodicPeriodArray[10] + Effect,LockOnAirCP,PeriodicPeriodArray[11] + Effect,LockOnAirCP,PeriodicPeriodArray[12] + Effect,LockOnAirCP,PeriodicPeriodArray[13] + Effect,LockOnAirCP,PeriodicPeriodArray[14] + Effect,LockOnAirCP,PeriodicPeriodArray[15] + Effect,LockOnAirCP,PeriodicPeriodArray[16] + Effect,LockOnAirCP,PeriodicPeriodArray[17] + Effect,LockOnAirCP,PeriodicPeriodArray[18] + Effect,LockOnAirCP,PeriodicPeriodArray[19] + Effect,LockOnAirCP,PeriodicPeriodArray[20] + Effect,LockOnAirCP,PeriodicPeriodArray[21] + Effect,LockOnAirCP,PeriodicPeriodArray[22]"/>秒内造成<d ref="Effect,LockOnAirCP,PeriodCount*Effect,CycloneAirWeaponDamage,Amount"/>点伤害。前<c val="#ColorAttackInfo">12</c>次射击很快发射。可以在开火时移动。如果目标离开锁定范围，该技能将会取消。<n/><n/><c val="#ColorAttackInfo">无法锁定地面单位或地面建筑。</c>	사이클론의 무기를 대상 공중 유닛 또는 구조물에 고정시켜 <d ref="Effect,LockOnAirCP,PeriodicPeriodArray[0] + Effect,LockOnAirCP,PeriodicPeriodArray[1] + Effect,LockOnAirCP,PeriodicPeriodArray[2] + Effect,LockOnAirCP,PeriodicPeriodArray[3] + Effect,LockOnAirCP,PeriodicPeriodArray[4] + Effect,LockOnAirCP,PeriodicPeriodArray[5] + Effect,LockOnAirCP,PeriodicPeriodArray[6] + Effect,LockOnAirCP,PeriodicPeriodArray[7] + Effect,LockOnAirCP,PeriodicPeriodArray[8] + Effect,LockOnAirCP,PeriodicPeriodArray[9] + Effect,LockOnAirCP,PeriodicPeriodArray[10] + Effect,LockOnAirCP,PeriodicPeriodArray[11] + Effect,LockOnAirCP,PeriodicPeriodArray[12] + Effect,LockOnAirCP,PeriodicPeriodArray[13] + Effect,LockOnAirCP,PeriodicPeriodArray[14] + Effect,LockOnAirCP,PeriodicPeriodArray[15] + Effect,LockOnAirCP,PeriodicPeriodArray[16] + Effect,LockOnAirCP,PeriodicPeriodArray[17] + Effect,LockOnAirCP,PeriodicPeriodArray[18] + Effect,LockOnAirCP,PeriodicPeriodArray[19] + Effect,LockOnAirCP,PeriodicPeriodArray[20] + Effect,LockOnAirCP,PeriodicPeriodArray[21] + Effect,LockOnAirCP,PeriodicPeriodArray[22]"/>초에 걸쳐 <d ref="Effect,LockOnAirCP,PeriodCount*Effect,CycloneAirWeaponDamage,Amount"/>의 피해를 줍니다. 이동하며 발사할 수 있고 첫 <c val="#ColorAttackInfo">12</c>발은 빠르게 발사됩니다. 대상이 사거리 밖으로 벗어나면 취소됩니다.<n/><n/><c val="#ColorAttackInfo">지상 유닛 및 지상 구조물 공격 불가</c>
使飓风的武器锁定目标单位，对地面和空中单位在<d ref="Effect,LockOnCP,PeriodCount * Effect,LockOnCP,PeriodicPeriodArray[0]"/>秒内造成<d ref="Effect,LockOnCP,PeriodCount*Effect,CycloneWeaponDamage,Amount"/>点伤害(+400 vs. 重甲)。开火时可以移动。如果目标离开射程后则取消。	대상 유닛을 사이클론의 공격 목표로 고정시켜 지상 유닛과 공중 유닛에 <d ref="Effect,LockOnCP,PeriodCount * Effect,LockOnCP,PeriodicPeriodArray[0]"/>초에 걸쳐 <d ref="Effect,LockOnCP,PeriodCount*Effect,CycloneWeaponDamage,Amount"/>(중장갑 유닛에게는 추가 400)의 피해를 줍니다. 이동하면서 공격할 수 있습니다. 대상이 사거리 밖으로 나가면 취소됩니다.
为潜伏者提供升级方案。<n/><n/><c val="ffff8a">开启：</c><n/>- 使刺蛇可以进化为潜伏者	가시지옥를 업그레이드합니다.<n/><n/><c val="ffff8a">사용 가능:</c><n/>- 가시지옥 (히드라리스크에서 변태)
矿物采集设备原型，工作效率高于SCV。矿骡的系统在持续工作<d time="90"/>后会瘫痪。	시험 운영 중인 채취 유닛입니다. 일반 건설로봇보다 더 빨리 광물을 채취합니다. <d time="90"/> 후에 작동을 멈춥니다.
使<c val="ffff8a">飓风</c>的攻击射程+<d ref="$UpgradeEffectArrayValue:MagFieldLaunchers:Weapon,TyphoonMissilePod,Range$"/>。	<c val="ffff8a">사이클론</c>의 사거리가 <d ref="$UpgradeEffectArrayValue:MagFieldLaunchers:Weapon,TyphoonMissilePod,Range$"/>만큼 증가합니다.
将目标区域内的所有玩家单位传送至母舰。	대상 지역에 있는 플레이어 유닛을 모두 모선으로 소환합니다.
提高医疗运输机的移动速度，持续<d ref="Behavior,MedivacSpeedBoost,Duration"/>秒。	의료선의 이동 속도가 <d ref="Behavior,MedivacSpeedBoost,Duration"/>초 동안 증가합니다.
使目标孵化场、虫穴或主巢在<d ref="Behavior,QueenSpawnLarvaTimer,Duration"/>秒内孵化<d ref="Effect,SpawnMutantLarvaApplySpawnBehavior,Count"/>只幼虫。如果孵化场、虫穴或主巢现有幼虫数量超过3只，则会停止常规的幼虫孵化，直至数量少于3只。当目标已经在孵化额外的幼虫时，这一效果会叠加并进入队列。	<d ref="Behavior,QueenSpawnLarvaTimer,Duration"/>초 후 대상 부화장, 번식지, 또는 군락에 애벌레 <d ref="Effect,SpawnMutantLarvaApplySpawnBehavior,Count"/>마리를 생성합니다. 부화장, 번식지, 또는 군락에 애벌레가 3마리 이상 있으면 통상적인 애벌레 생성이 중단됩니다. 대상이 이미 추가 애벌레를 생성 중이면 중첩되어 대기열에 추가됩니다.
升级为母舰。可以使用光子超载、群体召回和时间扭曲技能。使附近的单位和建筑隐形。	모선으로 업그레이드합니다. 광자 과충전, 대규모 귀환, 시간 왜곡을 사용할 수 있습니다. 근처에 있는 유닛과 구조물을 은폐합니다.
把侦测器变形为标准的侦测器模式。使其能够随意移动，但视野范围会变小。	관측선을 일반 관측 모드로 전환합니다. 관측선의 시야 반경이 줄어드는 대신, 이동할 수 있습니다.
把侦测器变形为监察模式。视野提高<d ref="(Unit,ObserverSiegeMode,Sight/Unit,Observer,Sight-1)*100"/>%，但无法移动。	관측선을 감시 모드로 전환합니다. 관측선의 시야가 <d ref="(Unit,ObserverSiegeMode,Sight/Unit,Observer,Sight-1)*100"/>%만큼 증가하는 대신, 이동할 수 없습니다.
开启王虫运输单位的能力。	대군주가 유닛을 수송할 수 있습니다.
恢复眼虫的移动能力，并使其视野回到正常范围。	감시군주가 다시 이동할 수 있으며 시야 반경이 원래대로 돌아옵니다.
使眼虫的视野范围扩大<d ref="(Unit,OverseerSiegeMode,Sight/Unit,Overseer,Sight-1)*100"/>% ，但失去移动能力。该技能在激活后可以取消。	감시군주의 시야가 <d ref="(Unit,OverseerSiegeMode,Sight/Unit,Overseer,Sight-1)*100"/>% 증가하지만 이동 능력이 사라집니다. 이 능력은 활성화한 뒤에 취소할 수 있습니다.
终极星灵战舰。能够使用战术召回和时间扭曲技能。使附近的友方单位和建筑隐形。<n/><n/><c val="ffff8a">可以对地和对空。</c>	궁극의 프로토스 함선입니다. 전략 소환과 시간 왜곡 능력을 사용할 수 있습니다. 주위 아군 유닛과 구조물을 은폐합니다. <n/><n/><c val="ffff8a">지상 및 공중 유닛 공격 가능</c>
为目标水晶塔的心能水晶充能，使其变成一个威力巨大的武器，能造成<d ref="Effect,MothershipCoreWeaponDamage,Amount[0]"/>点伤害，持续<d ref="Behavior,Purify,Duration[0]"/>秒。	대상 수정탑의 케이다린 수정을 강화시켜 <d ref="Behavior,Purify,Duration[0]"/>초 동안 강력한 원거리 무기로 바꿉니다. 공격당 <d ref="Effect,MothershipCoreWeaponDamage,Amount[0]"/>의 피해를 줍니다.
目标单位被感染者控制，持续<d ref="Behavior,NeuralParasite,Duration"/>秒。感染者在控制期间无法进行其他动作。<n/><n/><c val="ffff8a">该技能需要引导。可以在潜地时施放。</c><n/><c val="#ColorAttackInfo">英雄单位免疫。</c>	감염충이 <d ref="Behavior,NeuralParasite,Duration"/>초 동안 대상 유닛을 조종합니다. 감염충은 적 유닛을 조종하는 동안 다른 행동을 할 수 없습니다.<n/><n/><c val="ffff8a">집중 기술. 잠복한 상태로 시전 가능</c><n/><c val="#ColorAttackInfo">영웅 유닛은 면역</c>
基础建筑，用于接收采集到的资源。可以使用时空提速、群体召回技能。<n/><n/><c val="ffff8a">开启：</c><n/>- 探机<n/>- 母舰	주 건물입니다. 채취한 자원을 수집합니다. 시간 증폭 및 대규모 귀환 능력을 사용할 수 있습니다.<n/><n/><c val="ffff8a">사용 가능:</c><n/>- 탐사정<n/>- 모선
将目标区域内所有该玩家的单位召回至星灵枢纽。	대상 지역에 위치한 자신의 모든 유닛을 연결체로 귀환시킵니다.
星灵枢纽会自动使用能量来恢复附近单位的护盾。	연결체가 자동으로 에너지를 사용해서 주위 유닛들의 보호막을 회복시킵니다.
星灵枢纽不再自动把友方单位设为目标。	연결체가 더는 자동으로 아군 유닛을 대상으로 삼지 않습니다.
为目标单位或建筑恢复护盾。<n/><n/><c val="ffff8a">每恢复<d ref="Effect,NexusShieldRechargeShield,VitalArray[Shields].Change"/>点护盾消耗1点能量。 </c>	대상 유닛 또는 구조물의 보호막을 회복시킵니다.<n/><n/><c val="ffff8a">에너지 1당 <d ref="Effect,NexusShieldRechargeShield,VitalArray[Shields].Change"/>의 보호막이 회복됩니다.</c>
为目标水晶塔的凯达琳水晶充能，把它变成可以为友方单位恢复护盾的建筑，持续<d ref="Behavior,NexusShieldRechargeOnPylonBehavior,Duration[0]"/> 秒。	대상 수정탑의 케이다린 수정을 강화하여 <d ref="Behavior,NexusShieldRechargeOnPylonBehavior,Duration[0]"/>초 동안 아군 유닛의 보호막을 재충전하는 구조물로 만들어 줍니다.
坑道虫在从地面钻出时拥有<d ref="Behavior,NydusWormArmor,Modification.LifeArmorBonus+1"/>点护甲。	땅굴벌레가 땅속에서 나올 때 <d ref="Behavior,NydusWormArmor,Modification.LifeArmorBonus+1"/>의 방어력이 부여됩니다.
在目标位置放置一个隐形的静滞结界，持续<d ref="Behavior,StasisWardTimedLife,Duration"/>秒。一旦被一个敌方地面单位触发，该结界将使附近的敌方单位陷入静滞状态，持续<d ref="Behavior,OracleStasisTrapTarget,Duration"/>秒。被困住的单位无法被攻击或被技能影响。	대상 위치에 <d ref="Behavior,StasisWardTimedLife,Duration"/>초 동안 지속되는 은폐 정지장 수호물을 놓습니다. 적의 지상 유닛이 수호물을 발동시키면 주위 적들이 <d ref="Behavior,OracleStasisTrapTarget,Duration"/>초 동안 정지장에 갇힙니다. 정지장에 갇힌 유닛은 공격을 받거나 능력의 영향을 받지 않습니다.
高级空中侦察单位。 能够维持王虫形态时所控制的单位上限。可以使用超距视界、孵化拟态雏虫和污染技能。<n/><n/><c val="FFE303">侦测单位</c>	고급 공중 탐지 유닛입니다. 대군주와 동일한 만큼의 지휘력을 공급합니다. 감시, 변신수 생성, 오염 능력을 사용할 수 있습니다.<n/><n/><c val="FFE303">탐지기</c>
生成一团寄生云，在<d ref="Behavior,ParasiticBomb,Duration"/>秒内对目标和附近的敌方空中单位造成<d ref="Behavior,ParasiticBomb,Duration/Behavior,ParasiticBomb,Period*Effect,ParasiticBombDotDamage,Amount"/>点伤害。如果目标死亡，寄生云会在敌人的死亡位置一直存在直至消失。<n/><n/><c val="#ColorAttackInfo">无法选择地面单位或建筑作为目标。</c>	기생 구름을 생성하여 대상과 주위 적 공중 유닛에게 <d ref="Behavior,ParasiticBomb,Duration"/>초에 걸쳐 <d ref="Behavior,ParasiticBomb,Duration/Behavior,ParasiticBomb,Period*Effect,ParasiticBombDotDamage,Amount"/>의 피해를 줍니다. 대상이 죽으면 구름은 그 죽은 지점의 공중에 머물다 사라집니다.<n/><n/><c val="#ColorAttackInfo">지상 유닛 또는 구조물 대상 지정 불가</c>
自动防御激光，可以拦截敌军导弹。无法拦截特殊攻击。<n/><n/><c val="f078ff">每次拦截消耗10点能量。</c>	다양한 적 원거리 발사체를 요격하는 자동 방어 레이저 장치입니다. 특수 공격은 무력화시킬 수 없습니다.<n/><n/><c val="f078ff">매 사격 시 10의 에너지 소모</c>
强化狂热者的冲锋，对被冲锋目标造成<d ref="Effect,ChargingDamage,Amount"/>点伤害。	광전사의 돌진이 대상에게 <d ref="Effect,ChargingDamage,Amount"/>의 피해를 줍니다.
发射一枚能量球，持续<d ref="Behavior,PurificationNovaTargettedTarget,Duration"/>秒，并产生一道强力的能量新星，对附近的地面单位和建筑造成<d ref="Effect,PurificationNovaDamage,Amount"/>点溅射伤害和额外<d ref="Effect,PurificationNovaDamage,ShieldBonus"/>点对护盾的伤害。干扰者在激活该技能的时候无法移动。	<d ref="Behavior,PurificationNovaTargettedTarget,Duration"/>초 동안 지속되는 에너지 구체를 발사합니다. 구체는 지속 시간 후 강력한 폭발 에너지를 방출하여 주위 지상 유닛과 구조물에 <d ref="Effect,PurificationNovaDamage,Amount"/>의 방사 피해를 주고 추가로 <d ref="Effect,PurificationNovaDamage,ShieldBonus"/>의 보호막 피해를 줍니다. 에너지 구체가 활성화되어 있는 동안 분열기는 이동 불가 상태가 됩니다.
医疗运输机的后燃推进系统的冷却时间缩短<d time="[d ref='$UpgradeEffectArrayValue:MedivacIncreaseSpeedBoost:Abil,MedivacSpeedBoost,Cost[0].Cooldown.TimeUse$'/]"/>秒，提高医疗运输机的移动速度。	의료선의 재연소 장치 점화의 재사용 대기시간이 <d time="[d ref='$UpgradeEffectArrayValue:MedivacIncreaseSpeedBoost:Abil,MedivacSpeedBoost,Cost[0].Cooldown.TimeUse$'/]"/>만큼 감소하고 이동 속도가 증가합니다.
空中支援单位。能够使用自动机炮、干扰矩阵、和反护甲飞弹。<n/><n/><c val="FFE303">侦测单位</c>	공중 지원 유닛입니다. 자동 포탑, 방해 매트릭스, 대장갑 미사일을 사용할 수 있습니다.<n/><n/><c val="FFE303">탐지기</c>
铁鸦的反护甲飞弹的爆炸范围扩大20%，追踪距离扩大50%。	밤까마귀의 대장갑 미사일 폭발 반경이 20%만큼 증가하고 추적 거리가 50%만큼 증가합니다.
猎杀飞弹的伤害提高30%，追击距离扩大50%。	추적 미사일의 공격력이 30%만큼 증가하고 추적 거리가 50%만큼 증가합니다.
修理周围的友方机械单位，持续<d ref="Behavior,RavenRepairDroneTimedLife,Duration"/>秒。	<d ref="Behavior,RavenRepairDroneTimedLife,Duration"/>초 동안 주위 아군 기계 유닛을 수리합니다.
修理一个友方机械目标。<n/><n/><c val="f078ff">每1点能量恢复<d ref="Effect,RavenRepairDroneHeal,RechargeVitalRate*Effect,RavenRepairDroneHeal,DrainVitalCostFactor"/>点生命值。</c>	아군 기계 유닛을 수리합니다.<n/><n/><c val="f078ff">에너지 1당 <d ref="Effect,RavenRepairDroneHeal,RechargeVitalRate*Effect,RavenRepairDroneHeal,DrainVitalCostFactor"/>의 체력을 수리합니다.</c>
