非晶态装甲云	無定型防護雲
将飓风的武器锁定在目标空中单位或空中建筑身上，在<d ref="Effect,LockOnAirCP,PeriodicPeriodArray[0] + Effect,LockOnAirCP,PeriodicPeriodArray[1] + Effect,LockOnAirCP,PeriodicPeriodArray[2] + Effect,LockOnAirCP,PeriodicPeriodArray[3] + Effect,LockOnAirCP,PeriodicPeriodArray[4] + Effect,LockOnAirCP,PeriodicPeriodArray[5] + Effect,LockOnAirCP,PeriodicPeriodArray[6] + Effect,LockOnAirCP,PeriodicPeriodArray[7] + Effect,LockOnAirCP,PeriodicPeriodArray[8] + Effect,LockOnAirCP,PeriodicPeriodArray[9] + Effect,LockOnAirCP,PeriodicPeriodArray[10] + Effect,LockOnAirCP,PeriodicPeriodArray[11] + Effect,LockOnAirCP,PeriodicPeriodArray[12] + Effect,LockOnAirCP,PeriodicPeriodArray[13] + Effect,LockOnAirCP,PeriodicPeriodArray[14] + Effect,LockOnAirCP,PeriodicPeriodArray[15] + Effect,LockOnAirCP,PeriodicPeriodArray[16] + Effect,LockOnAirCP,PeriodicPeriodArray[17] + Effect,LockOnAirCP,PeriodicPeriodArray[18] + Effect,LockOnAirCP,PeriodicPeriodArray[19] + Effect,LockOnAirCP,PeriodicPeriodArray[20] + Effect,LockOnAirCP,PeriodicPeriodArray[21] + Effect,LockOnAirCP,PeriodicPeriodArray[22]"/>秒内造成<d ref="Effect,LockOnAirCP,PeriodCount*Effect,CycloneAirWeaponDamage,Amount"/>点伤害。前<c val="#ColorAttackInfo">12</c>次射击很快发射。可以在开火时移动。如果目标离开锁定范围，该技能将会取消。<n/><n/><c val="#ColorAttackInfo">无法锁定地面单位或地面建筑。</c>	颶風飛彈車的武器系統鎖定空中單位或空中建築，可在<d ref="Effect,LockOnAirCP,PeriodicPeriodArray[0] + Effect,LockOnAirCP,PeriodicPeriodArray[1] + Effect,LockOnAirCP,PeriodicPeriodArray[2] + Effect,LockOnAirCP,PeriodicPeriodArray[3] + Effect,LockOnAirCP,PeriodicPeriodArray[4] + Effect,LockOnAirCP,PeriodicPeriodArray[5] + Effect,LockOnAirCP,PeriodicPeriodArray[6] + Effect,LockOnAirCP,PeriodicPeriodArray[7] + Effect,LockOnAirCP,PeriodicPeriodArray[8] + Effect,LockOnAirCP,PeriodicPeriodArray[9] + Effect,LockOnAirCP,PeriodicPeriodArray[10] + Effect,LockOnAirCP,PeriodicPeriodArray[11] + Effect,LockOnAirCP,PeriodicPeriodArray[12] + Effect,LockOnAirCP,PeriodicPeriodArray[13] + Effect,LockOnAirCP,PeriodicPeriodArray[14] + Effect,LockOnAirCP,PeriodicPeriodArray[15] + Effect,LockOnAirCP,PeriodicPeriodArray[16] + Effect,LockOnAirCP,PeriodicPeriodArray[17] + Effect,LockOnAirCP,PeriodicPeriodArray[18] + Effect,LockOnAirCP,PeriodicPeriodArray[19] + Effect,LockOnAirCP,PeriodicPeriodArray[20] + Effect,LockOnAirCP,PeriodicPeriodArray[21] + Effect,LockOnAirCP,PeriodicPeriodArray[22]"/>秒內造成<d ref="Effect,LockOnAirCP,PeriodCount*Effect,CycloneAirWeaponDamage,Amount"/>點傷害，最初<c val="#ColorAttackInfo">12</c>發的發射速度比較快。可以邊移動邊進行射擊。當目標超出射擊範圍時將會取消攻擊。<n/><n/><c val="#ColorAttackInfo">無法以地面單位或地面建築為目標。</c>
使飓风的武器锁定目标单位，对地面和空中单位在<d ref="Effect,LockOnCP,PeriodCount * Effect,LockOnCP,PeriodicPeriodArray[0]"/>秒内造成<d ref="Effect,LockOnCP,PeriodCount*Effect,CycloneWeaponDamage,Amount"/>点伤害(+400 vs. 重甲)。开火时可以移动。如果目标离开射程后则取消。	颶風飛彈車的武器系統鎖定目標單位，可在<d ref="Effect,LockOnCP,PeriodCount * Effect,LockOnCP,PeriodicPeriodArray[0]"/>秒內對地面或空中單位造成<d ref="Effect,LockOnCP,PeriodCount*Effect,CycloneWeaponDamage,Amount"/>點傷害(對重甲單位額外提高400點)。可以邊移動邊進行射擊。當目標超出射擊範圍時將會取消攻擊。
为潜伏者提供升级方案。<n/><n/><c val="ffff8a">开启：</c><n/>- 使刺蛇可以进化为潜伏者	提供遁地獸的升級。<n/><n/><c val="ffff8a">功能：</c><n/>- 讓刺蛇可變形為遁地獸
矿物采集设备原型，工作效率高于SCV。矿骡的系统在持续工作<d time="90"/>后会瘫痪。	採集單位的原型機種。採集晶礦的速度比一般太空工程車更快。礦騾在其系統當機前可持續<d time="90"/>。
使<c val="ffff8a">飓风</c>的攻击射程+<d ref="$UpgradeEffectArrayValue:MagFieldLaunchers:Weapon,TyphoonMissilePod,Range$"/>。	<c val="ffff8a">颶風飛彈車</c>的攻擊距離提高<d ref="$UpgradeEffectArrayValue:MagFieldLaunchers:Weapon,TyphoonMissilePod,Range$"/>格。
将目标区域内的所有玩家单位传送至母舰。	將目標區域內所有玩家的單位召喚至聖母艦的所在位置。
提高医疗运输机的移动速度，持续<d ref="Behavior,MedivacSpeedBoost,Duration"/>秒。	醫療艇的移動速度提高，持續<d ref="Behavior,MedivacSpeedBoost,Duration"/>秒。
使目标孵化场、虫穴或主巢在<d ref="Behavior,QueenSpawnLarvaTimer,Duration"/>秒内孵化<d ref="Effect,SpawnMutantLarvaApplySpawnBehavior,Count"/>只幼虫。如果孵化场、虫穴或主巢现有幼虫数量超过3只，则会停止常规的幼虫孵化，直至数量少于3只。当目标已经在孵化额外的幼虫时，这一效果会叠加并进入队列。	目標孵化所、蟲穴、或蟲巢會在<d ref="Behavior,QueenSpawnLarvaTimer,Duration"/>秒內孵化<d ref="Effect,SpawnMutantLarvaApplySpawnBehavior,Count"/>隻幼蟲。如果孵化所、蟲穴、或蟲巢擁有超過三隻幼蟲，則會停止正常的幼蟲生產程序，直到少於三隻幼蟲為止。如果目標正在孵化額外的幼蟲，此效果將累積至佇列中。
升级为母舰。可以使用光子超载、群体召回和时间扭曲技能。使附近的单位和建筑隐形。	升級至聖母艦。可使用光子充能、群體召喚和時空扭曲，並且可使附近的單位和建築進入匿蹤狀態。
把侦测器变形为标准的侦测器模式。使其能够随意移动，但视野范围会变小。	將觀察者轉換為標準模式，此模式下觀察者可移動，但視野範圍降低。
把侦测器变形为监察模式。视野提高<d ref="(Unit,ObserverSiegeMode,Sight/Unit,Observer,Sight-1)*100"/>%，但无法移动。	將觀察者轉換為監視模式。觀察者的視野範圍提高<d ref="(Unit,ObserverSiegeMode,Sight/Unit,Observer,Sight-1)*100"/>%，但無法移動。
开启王虫运输单位的能力。	讓王蟲可運輸單位。
恢复眼虫的移动能力，并使其视野回到正常范围。	使監察王蟲可以進行移動並使其視野距離回復正常。
使眼虫的视野范围扩大<d ref="(Unit,OverseerSiegeMode,Sight/Unit,Overseer,Sight-1)*100"/>% ，但失去移动能力。该技能在激活后可以取消。	使監察王蟲的視野提高<d ref="(Unit,OverseerSiegeMode,Sight/Unit,Overseer,Sight-1)*100"/>%，但是失去移動能力。啟動此技能後，可再度取消。
终极星灵战舰。能够使用战术召回和时间扭曲技能。使附近的友方单位和建筑隐形。<n/><n/><c val="ffff8a">可以对地和对空。</c>	終極的神族戰艦。可使用時空扭曲及戰術召回。使附近的友方單位及建築進入匿蹤狀態。<n/><n/><c val="ffff8a">可攻擊地面及空中單位。</c>
为目标水晶塔的心能水晶充能，使其变成一个威力巨大的武器，能造成<d ref="Effect,MothershipCoreWeaponDamage,Amount[0]"/>点伤害，持续<d ref="Behavior,Purify,Duration[0]"/>秒。	為目標水晶塔的凱達林水晶充能，將其轉化為一個威力強大的遠程武器，該武器可持續<d ref="Behavior,Purify,Duration[0]"/>秒，並且造成<d ref="Effect,MothershipCoreWeaponDamage,Amount[0]"/>點傷害。
目标单位被感染者控制，持续<d ref="Behavior,NeuralParasite,Duration"/>秒。感染者在控制期间无法进行其他动作。<n/><n/><c val="ffff8a">该技能需要引导。可以在潜地时施放。</c><n/><c val="#ColorAttackInfo">英雄单位免疫。</c>	目標單位將被感染蟲控制<d ref="Behavior,NeuralParasite,Duration"/>秒。感染蟲在控制敵方單位時無法從事任何其他的動作。<n/><n/><c val="ffff8a">導引技能。可在遁地時施放。</c><n/><c val="#ColorAttackInfo">對英雄單位無效。</c>
基础建筑，用于接收采集到的资源。可以使用时空提速、群体召回技能。<n/><n/><c val="ffff8a">开启：</c><n/>- 探机<n/>- 母舰	主要建築。可接收採集到的資源。可使用超時空加速及群體召喚。<n/><n/><c val="ffff8a">功能：</c><n/>- 可躍傳探測機<n/>- 可躍傳聖母艦
将目标区域内所有该玩家的单位召回至星灵枢纽。	將目標區域內玩家擁有的所有單位召喚到這個星核。
星灵枢纽会自动使用能量来恢复附近单位的护盾。	星核會自動消耗能量為附近的單位恢復護盾。
星灵枢纽不再自动把友方单位设为目标。	星核不會自動鎖定友方單位。
为目标单位或建筑恢复护盾。<n/><n/><c val="ffff8a">每恢复<d ref="Effect,NexusShieldRechargeShield,VitalArray[Shields].Change"/>点护盾消耗1点能量。 </c>	為目標單位或建築恢復護盾。<n/><n/><c val="ffff8a">每1點能量可恢復<d ref="Effect,NexusShieldRechargeShield,VitalArray[Shields].Change"/>點護盾。</c>
为目标水晶塔的凯达琳水晶充能，把它变成可以为友方单位恢复护盾的建筑，持续<d ref="Behavior,NexusShieldRechargeOnPylonBehavior,Duration[0]"/> 秒。	為目標水晶塔的凱達林水晶充能，將其轉化為可為附近友方單位恢復護盾的建築，該效果可持續<d ref="Behavior,NexusShieldRechargeOnPylonBehavior,Duration[0]"/>秒。
坑道虫在从地面钻出时拥有<d ref="Behavior,NydusWormArmor,Modification.LifeArmorBonus+1"/>点护甲。	地下蠕蟲從地下竄出時獲得<d ref="Behavior,NydusWormArmor,Modification.LifeArmorBonus+1"/>點裝甲值。
在目标位置放置一个隐形的静滞结界，持续<d ref="Behavior,StasisWardTimedLife,Duration"/>秒。一旦被一个敌方地面单位触发，该结界将使附近的敌方单位陷入静滞状态，持续<d ref="Behavior,OracleStasisTrapTarget,Duration"/>秒。被困住的单位无法被攻击或被技能影响。	在目標地點設置一個匿蹤的靜滯詭雷，持續<d ref="Behavior,StasisWardTimedLife,Duration"/>秒。當敵方地面單位啟動詭雷時，將會使附近的敵人陷入靜滯狀態，持續<d ref="Behavior,OracleStasisTrapTarget,Duration"/>秒。陷入靜滯狀態的單位無法被攻擊或者受到技能的影響。
高级空中侦察单位。 能够维持王虫形态时所控制的单位上限。可以使用超距视界、孵化拟态雏虫和污染技能。<n/><n/><c val="FFE303">侦测单位</c>	進階空中觀察者。維持王蟲所提供的補給。可使用監視模式、孵化變形蟲及使用污染技能。<n/><n/><c val="FFE303">偵測單位</c>
生成一团寄生云，在<d ref="Behavior,ParasiticBomb,Duration"/>秒内对目标和附近的敌方空中单位造成<d ref="Behavior,ParasiticBomb,Duration/Behavior,ParasiticBomb,Period*Effect,ParasiticBombDotDamage,Amount"/>点伤害。如果目标死亡，寄生云会在敌人的死亡位置一直存在直至消失。<n/><n/><c val="#ColorAttackInfo">无法选择地面单位或建筑作为目标。</c>	產生一團寄生雲霧，在<d ref="Behavior,ParasiticBomb,Duration"/>秒內對目標和附近的敵方空中單位造成<d ref="Behavior,ParasiticBomb,Duration/Behavior,ParasiticBomb,Period*Effect,ParasiticBombDotDamage,Amount"/>點傷害。目標死亡後，這團雲霧仍會停留在敵人死亡的地點，直到時效結束。<n/><n/><c val="#ColorAttackInfo">無法以地面單位或建築為目標。</c>
自动防御激光，可以拦截敌军导弹。无法拦截特殊攻击。<n/><n/><c val="f078ff">每次拦截消耗10点能量。</c>	自動化防禦雷射，可攔截敵方的砲彈。無法攔截特殊攻擊。<n/><n/><c val="f078ff">每發消耗10點能量。</c>
强化狂热者的冲锋，对被冲锋目标造成<d ref="Effect,ChargingDamage,Amount"/>点伤害。	狂戰士的衝鋒對目標的傷害提高為<d ref="Effect,ChargingDamage,Amount"/>點。
发射一枚能量球，持续<d ref="Behavior,PurificationNovaTargettedTarget,Duration"/>秒，并产生一道强力的能量新星，对附近的地面单位和建筑造成<d ref="Effect,PurificationNovaDamage,Amount"/>点溅射伤害和额外<d ref="Effect,PurificationNovaDamage,ShieldBonus"/>点对护盾的伤害。干扰者在激活该技能的时候无法移动。	發射一顆光球，在<d ref="Behavior,PurificationNovaTargettedTarget,Duration"/>秒後爆發出威力強大的能量，對附近的地面單位和建築造成<d ref="Effect,PurificationNovaDamage,Amount"/>點擴散傷害，並且對其護盾造成<d ref="Effect,PurificationNovaDamage,ShieldBonus"/>點傷害。在此期間，裂光球無法移動。
医疗运输机的后燃推进系统的冷却时间缩短<d time="[d ref='$UpgradeEffectArrayValue:MedivacIncreaseSpeedBoost:Abil,MedivacSpeedBoost,Cost[0].Cooldown.TimeUse$'/]"/>秒，提高医疗运输机的移动速度。	醫療艇啟動後燃器的冷卻時間降低<d time="[d ref='$UpgradeEffectArrayValue:MedivacIncreaseSpeedBoost:Abil,MedivacSpeedBoost,Cost[0].Cooldown.TimeUse$'/]"/>，並且提高醫療艇的移動速度。
空中支援单位。能够使用自动机炮、干扰矩阵、和反护甲飞弹。<n/><n/><c val="FFE303">侦测单位</c>	空中支援單位。可使用自動砲台、干擾矩陣和反裝甲飛彈。<n/><n/><c val="FFE303">偵測單位</c>
铁鸦的反护甲飞弹的爆炸范围扩大20%，追踪距离扩大50%。	渡鴉反裝甲飛彈的爆炸範圍提高20%，追蹤距離提高50%。
猎杀飞弹的伤害提高30%，追击距离扩大50%。	導引飛彈的傷害提高30%，追蹤距離提高50%。
修理周围的友方机械单位，持续<d ref="Behavior,RavenRepairDroneTimedLife,Duration"/>秒。	修復附近的友方機械單位，持續<d ref="Behavior,RavenRepairDroneTimedLife,Duration"/>秒。
修理一个友方机械目标。<n/><n/><c val="f078ff">每1点能量恢复<d ref="Effect,RavenRepairDroneHeal,RechargeVitalRate*Effect,RavenRepairDroneHeal,DrainVitalCostFactor"/>点生命值。</c>	修復一名友方機械目標。<n/><n/><c val="f078ff">每1點能量治療<d ref="Effect,RavenRepairDroneHeal,RechargeVitalRate*Effect,RavenRepairDroneHeal,DrainVitalCostFactor"/>點生命值。</c>
<c val="ffff8a">铁鸦</c>的反护甲飞弹的爆炸范围扩大20%，追踪距离扩大50%。	<c val="ffff8a">渡鴉</c>反裝甲飛彈的爆炸範圍提高20%，追蹤距離提高50%。
令一个目标单位瘫痪，使其无法攻击和使用技能，持续<d ref="Behavior,RavenScramblerMissile,Duration"/>秒。暴露隐形单位。<n/><n/><c val="#ColorAttackInfo">可以对机械单位和灵能单位使用。</c>	使一個單位無法攻擊或使用技能，持續<d ref="Behavior,RavenScramblerMissile,Duration"/>秒。使匿蹤單位現形。<n/><n/><c val="#ColorAttackInfo">可以機械單位和幽能單位為目標。</c>
部署一枚飞弹追踪目标单位，在接触后削减受影响单位的护甲和护盾<d ref="Behavior,RavenShredderMissileArmorReduction,DamageResponse.ModifyAmount"/>点，持续<d ref="Behavior,RavenShredderMissileArmorReduction,Duration"/> 秒。	部署會追擊目標單位的飛彈，擊中時會使受影響單位的裝甲值與護盾裝甲降低<d ref="Behavior,RavenShredderMissileArmorReduction,DamageResponse.ModifyAmount"/>點，持續<d ref="Behavior,RavenShredderMissileArmorReduction,Duration"/>秒。
<c val="ffff8a">使徒</c>的护盾提高50。	<c val="ffff8a">教士</c>的護盾值提高50點。
<c val="ffff8a">使徒</c>的护盾提高<d ref="$UpgradeEffectArrayValue:AmplifiedShielding:Unit,Adept,ShieldsMax$"/>。	<c val="ffff8a">教士</c>的護盾值提高<d ref="$UpgradeEffectArrayValue:AmplifiedShielding:Unit,Adept,ShieldsMax$"/>點。
强化<c val="ffff8a">飓风</c>的锁定技能，每次射击对重甲单位的伤害提高<d ref="$UpgradeEffectArrayValue:ArmorPiercingRockets:Effect,CycloneAirWeaponDamageAlternative,AttributeBonus[Armored]$"/>点。总计提高<d ref="$UpgradeEffectArrayValue:ArmorPiercingRockets:Effect,CycloneAirWeaponDamageAlternative,AttributeBonus[Armored]$*Effect,LockOnAirCP,PeriodCount"/>点伤害。	強化<c val="ffff8a">颶風飛彈車</c>的鎖定目標技能，每一發對重甲單位造成的傷害提高<d ref="$UpgradeEffectArrayValue:ArmorPiercingRockets:Effect,CycloneAirWeaponDamageAlternative,AttributeBonus[Armored]$"/>點。總共提高<d ref="$UpgradeEffectArrayValue:ArmorPiercingRockets:Effect,CycloneAirWeaponDamageAlternative,AttributeBonus[Armored]$*Effect,LockOnAirCP,PeriodCount"/>點傷害。
<c val="ffff8a">解放者</c>在防卫模式下的射程增加<d ref="$UpgradeEffectArrayValue:LiberatorAGRangeUpgrade:Weapon,LiberatorAGWeapon,Range$"/>。	<c val="ffff8a">解放者</c>的防禦者模式射程提高<d ref="$UpgradeEffectArrayValue:LiberatorAGRangeUpgrade:Weapon,LiberatorAGWeapon,Range$"/>格。
每艘<c val="ffff8a">航母</c>的拦截机最大数量从8提高至10。	<c val="ffff8a">航空母艦</c>的攔截機數量上限由8架提升到10架。
使<c val="ffff8a">狂热者</c>能拦截附近的敌人，同时还会提高<c val="ffff8a">狂热者</c>的移动速度。该技能每<d ref="Abil,Charge,Cost.Cooldown.TimeUse"/>秒只能使用一次。	讓<c val="ffff8a">狂戰士</c>可攔截附近的敵人，並且提高<c val="ffff8a">狂戰士</c>的移動速度。每<d ref="Abil,Charge,Cost.Cooldown.TimeUse"/>秒可使用一次。
提高<c val="ffff8a">飓风</c>锁定技能的前12发飞弹的发射速度。	強化<c val="ffff8a">颶風飛彈車</c>的鎖定目標這個技能，提高最初12發的發射速度。
使<c val="ffff8a">黑暗圣堂武士</c>可以传送至任何目标位置。	讓<c val="ffff8a">黑暗聖堂武士</c>可傳送至附近的目標地點。
使<c val="ffff8a">寡妇雷</c>潜地和激活的速度加快三倍。	讓<c val="ffff8a">寡婦詭雷</c>遁地啟動的速度提高為原來的3倍。
