非晶态装甲云	Nube de blindaje amorfa
将飓风的武器锁定在目标空中单位或空中建筑身上，在<d ref="Effect,LockOnAirCP,PeriodicPeriodArray[0] + Effect,LockOnAirCP,PeriodicPeriodArray[1] + Effect,LockOnAirCP,PeriodicPeriodArray[2] + Effect,LockOnAirCP,PeriodicPeriodArray[3] + Effect,LockOnAirCP,PeriodicPeriodArray[4] + Effect,LockOnAirCP,PeriodicPeriodArray[5] + Effect,LockOnAirCP,PeriodicPeriodArray[6] + Effect,LockOnAirCP,PeriodicPeriodArray[7] + Effect,LockOnAirCP,PeriodicPeriodArray[8] + Effect,LockOnAirCP,PeriodicPeriodArray[9] + Effect,LockOnAirCP,PeriodicPeriodArray[10] + Effect,LockOnAirCP,PeriodicPeriodArray[11] + Effect,LockOnAirCP,PeriodicPeriodArray[12] + Effect,LockOnAirCP,PeriodicPeriodArray[13] + Effect,LockOnAirCP,PeriodicPeriodArray[14] + Effect,LockOnAirCP,PeriodicPeriodArray[15] + Effect,LockOnAirCP,PeriodicPeriodArray[16] + Effect,LockOnAirCP,PeriodicPeriodArray[17] + Effect,LockOnAirCP,PeriodicPeriodArray[18] + Effect,LockOnAirCP,PeriodicPeriodArray[19] + Effect,LockOnAirCP,PeriodicPeriodArray[20] + Effect,LockOnAirCP,PeriodicPeriodArray[21] + Effect,LockOnAirCP,PeriodicPeriodArray[22]"/>秒内造成<d ref="Effect,LockOnAirCP,PeriodCount*Effect,CycloneAirWeaponDamage,Amount"/>点伤害（+<d ref="Effect,LockOnAirCP,PeriodCount * $UpgradeEffectArrayValue:ArmorPiercingRockets:Effect,CycloneAirWeaponDamage,AttributeBonus[Armored]$"/> vs 重甲单位）。前4次射击很快发射。可以在开火时移动。如果目标离开锁定范围，该技能将会取消。<n/><n/><c val="#ColorAttackInfo">无法锁定地面单位或地面建筑。</c>	Fija la estructura o a la unidad aérea seleccionada como objetivo del ciclón, lo que inflige a dicho objetivo <d ref="Effect,LockOnAirCP,PeriodCount*Effect,CycloneAirWeaponDamage,Amount"/> de daño (+<d ref="Effect,LockOnAirCP,PeriodCount * $UpgradeEffectArrayValue:ArmorPiercingRockets:Effect,CycloneAirWeaponDamage,AttributeBonus[Armored]$"/> contra unidades blindadas) durante <d ref="Effect,LockOnAirCP,PeriodicPeriodArray[0] + Effect,LockOnAirCP,PeriodicPeriodArray[1] + Effect,LockOnAirCP,PeriodicPeriodArray[2] + Effect,LockOnAirCP,PeriodicPeriodArray[3] + Effect,LockOnAirCP,PeriodicPeriodArray[4] + Effect,LockOnAirCP,PeriodicPeriodArray[5] + Effect,LockOnAirCP,PeriodicPeriodArray[6] + Effect,LockOnAirCP,PeriodicPeriodArray[7] + Effect,LockOnAirCP,PeriodicPeriodArray[8] + Effect,LockOnAirCP,PeriodicPeriodArray[9] + Effect,LockOnAirCP,PeriodicPeriodArray[10] + Effect,LockOnAirCP,PeriodicPeriodArray[11] + Effect,LockOnAirCP,PeriodicPeriodArray[12] + Effect,LockOnAirCP,PeriodicPeriodArray[13] + Effect,LockOnAirCP,PeriodicPeriodArray[14] + Effect,LockOnAirCP,PeriodicPeriodArray[15] + Effect,LockOnAirCP,PeriodicPeriodArray[16] + Effect,LockOnAirCP,PeriodicPeriodArray[17] + Effect,LockOnAirCP,PeriodicPeriodArray[18] + Effect,LockOnAirCP,PeriodicPeriodArray[19] + Effect,LockOnAirCP,PeriodicPeriodArray[20] + Effect,LockOnAirCP,PeriodicPeriodArray[21] + Effect,LockOnAirCP,PeriodicPeriodArray[22]"/> segundos. Puede moverse mientras dispara. Se cancela si el objetivo queda fuera de alcance.<n/><n/><c val="#ColorAttackInfo">No pueden marcar estructuras o unidades terrestres.</c>
将飓风的武器锁定在目标空中单位或空中建筑身上，在<d ref="Effect,LockOnAirCP,PeriodicPeriodArray[0] + Effect,LockOnAirCP,PeriodicPeriodArray[1] + Effect,LockOnAirCP,PeriodicPeriodArray[2] + Effect,LockOnAirCP,PeriodicPeriodArray[3] + Effect,LockOnAirCP,PeriodicPeriodArray[4] + Effect,LockOnAirCP,PeriodicPeriodArray[5] + Effect,LockOnAirCP,PeriodicPeriodArray[6] + Effect,LockOnAirCP,PeriodicPeriodArray[7] + Effect,LockOnAirCP,PeriodicPeriodArray[8] + Effect,LockOnAirCP,PeriodicPeriodArray[9] + Effect,LockOnAirCP,PeriodicPeriodArray[10] + Effect,LockOnAirCP,PeriodicPeriodArray[11] + Effect,LockOnAirCP,PeriodicPeriodArray[12] + Effect,LockOnAirCP,PeriodicPeriodArray[13] + Effect,LockOnAirCP,PeriodicPeriodArray[14] + Effect,LockOnAirCP,PeriodicPeriodArray[15] + Effect,LockOnAirCP,PeriodicPeriodArray[16] + Effect,LockOnAirCP,PeriodicPeriodArray[17] + Effect,LockOnAirCP,PeriodicPeriodArray[18] + Effect,LockOnAirCP,PeriodicPeriodArray[19] + Effect,LockOnAirCP,PeriodicPeriodArray[20] + Effect,LockOnAirCP,PeriodicPeriodArray[21] + Effect,LockOnAirCP,PeriodicPeriodArray[22]"/>秒内造成<d ref="Effect,LockOnAirCP,PeriodCount*Effect,CycloneAirWeaponDamage,Amount"/>点伤害。前<c val="#ColorAttackInfo">12</c>次射击很快发射。可以在开火时移动。如果目标离开锁定范围，该技能将会取消。<n/><n/><c val="#ColorAttackInfo">无法锁定地面单位或地面建筑。</c>	Fija la estructura o a la unidad aérea seleccionada como objetivo del ciclón, lo que le inflige <d ref="Effect,LockOnAirCP,PeriodCount*Effect,CycloneAirWeaponDamage,Amount"/> de daño durante <d ref="Effect,LockOnAirCP,PeriodicPeriodArray[0] + Effect,LockOnAirCP,PeriodicPeriodArray[1] + Effect,LockOnAirCP,PeriodicPeriodArray[2] + Effect,LockOnAirCP,PeriodicPeriodArray[3] + Effect,LockOnAirCP,PeriodicPeriodArray[4] + Effect,LockOnAirCP,PeriodicPeriodArray[5] + Effect,LockOnAirCP,PeriodicPeriodArray[6] + Effect,LockOnAirCP,PeriodicPeriodArray[7] + Effect,LockOnAirCP,PeriodicPeriodArray[8] + Effect,LockOnAirCP,PeriodicPeriodArray[9] + Effect,LockOnAirCP,PeriodicPeriodArray[10] + Effect,LockOnAirCP,PeriodicPeriodArray[11] + Effect,LockOnAirCP,PeriodicPeriodArray[12] + Effect,LockOnAirCP,PeriodicPeriodArray[13] + Effect,LockOnAirCP,PeriodicPeriodArray[14] + Effect,LockOnAirCP,PeriodicPeriodArray[15] + Effect,LockOnAirCP,PeriodicPeriodArray[16] + Effect,LockOnAirCP,PeriodicPeriodArray[17] + Effect,LockOnAirCP,PeriodicPeriodArray[18] + Effect,LockOnAirCP,PeriodicPeriodArray[19] + Effect,LockOnAirCP,PeriodicPeriodArray[20] + Effect,LockOnAirCP,PeriodicPeriodArray[21] + Effect,LockOnAirCP,PeriodicPeriodArray[22]"/> segundos. Los primeros <c val="#ColorAttackInfo">12</c> disparos son rápidos. Puede moverse mientras dispara. Se cancela si el objetivo queda fuera de alcance.<n/><n/><c val="#ColorAttackInfo">No puede marcar a estructuras o unidades terrestres.</c>
使飓风的武器锁定目标单位，对地面和空中单位在<d ref="Effect,LockOnCP,PeriodCount * Effect,LockOnCP,PeriodicPeriodArray[0]"/>秒内造成<d ref="Effect,LockOnCP,PeriodCount*Effect,CycloneWeaponDamage,Amount"/>点伤害(+400 vs. 重甲)。开火时可以移动。如果目标离开射程后则取消。	Marca a la unidad seleccionada como objetivo de las armas del ciclón, lo que inflige <d ref="Effect,LockOnCP,PeriodCount*Effect,CycloneWeaponDamage,Amount"/> de daño (+400 contra unidades blindadas) durante <d ref="Effect,LockOnCP,PeriodCount * Effect,LockOnCP,PeriodicPeriodArray[0]"/> segundos a los objetivos aéreos y terrestres. Puede moverse mientras dispara. Se cancela si el objetivo queda fuera de alcance.
为潜伏者提供升级方案。<n/><n/><c val="ffff8a">开启：</c><n/>- 使刺蛇可以进化为潜伏者	Tiene mejoras para los merodeadores.<n/><n/><c val="ffff8a">Permite:</c><n/>- Merodeadores desde hidraliscos
矿物采集设备原型，工作效率高于SCV。矿骡的系统在持续工作<d time="90"/>后会瘫痪。	Prototipo de unidad recolectora. Recoge minerales más rápidamente que los VCE normales. La MULA dura <d time="90"/> y luego sus sistemas fallan.
使<c val="ffff8a">飓风</c>的攻击射程+<d ref="$UpgradeEffectArrayValue:MagFieldLaunchers:Weapon,TyphoonMissilePod,Range$"/>。	Aumenta el alcance de ataque del <c val="ffff8a">ciclón</c> en +<d ref="$UpgradeEffectArrayValue:MagFieldLaunchers:Weapon,TyphoonMissilePod,Range$"/>.
将目标区域内的所有玩家单位传送至母舰。	Llama a todas las unidades del jugador en la zona objetivo a la nave nodriza.
提高医疗运输机的移动速度，持续<d ref="Behavior,MedivacSpeedBoost,Duration"/>秒。	Aumenta la velocidad de movimiento de la medevac durante <d ref="Behavior,MedivacSpeedBoost,Duration"/> segundos.
使目标孵化场、虫穴或主巢在<d ref="Behavior,QueenSpawnLarvaTimer,Duration"/>秒内孵化<d ref="Effect,SpawnMutantLarvaApplySpawnBehavior,Count"/>只幼虫。如果孵化场、虫穴或主巢现有幼虫数量超过3只，则会停止常规的幼虫孵化，直至数量少于3只。当目标已经在孵化额外的幼虫时，这一效果会叠加并进入队列。	El criadero, guarida o colmena objetivo engendra <d ref="Effect,SpawnMutantLarvaApplySpawnBehavior,Count"/> larvas en <d ref="Behavior,QueenSpawnLarvaTimer,Duration"/> segundos. Si el criadero, guarida o colmena tiene más de 3 larvas a la vez, la producción normal de larvas se detendrá hasta que haya menos de 3 larvas. Si el objetivo ya está engendrando larvas adicionales, la acción se acumulará y se pondrá en cola.
升级为母舰。可以使用光子超载、群体召回和时间扭曲技能。使附近的单位和建筑隐形。	Mejora en nave nodriza. Puede utilizar las habilidades sobrecarga de fotones, retirada en masa y distorsión temporal. Vuelve invisibles las estructuras y las unidades cercanas.
把侦测器变形为标准的侦测器模式。使其能够随意移动，但视野范围会变小。	El observador pasa a modo estándar. Permite al observador moverse, a costa de reducir su radio de visión.
把侦测器变形为监察模式。视野提高<d ref="(Unit,ObserverSiegeMode,Sight/Unit,Observer,Sight-1)*100"/>%，但无法移动。	El observador pasa a modo vigilancia. El observador obtiene un <d ref="(Unit,ObserverSiegeMode,Sight/Unit,Observer,Sight-1)*100"/>% más de radio de visión, pero no se puede mover.
开启王虫运输单位的能力。	Permite al superamo transportar unidades.
恢复眼虫的移动能力，并使其视野回到正常范围。	Restaura la habilidad del supervisor de desplazarse y le devuelve su radio de visión normal.
使眼虫的视野范围扩大<d ref="(Unit,OverseerSiegeMode,Sight/Unit,Overseer,Sight-1)*100"/>% ，但失去移动能力。该技能在激活后可以取消。	Otorga al supervisor un <d ref="(Unit,OverseerSiegeMode,Sight/Unit,Overseer,Sight-1)*100"/>% más de visión, pero pierde la habilidad de moverse. Esta habilidad se puede cancelar después de su activación.
终极星灵战舰。能够使用战术召回和时间扭曲技能。使附近的友方单位和建筑隐形。<n/><n/><c val="ffff8a">可以对地和对空。</c>	La nave protoss por antonomasia. Puede utilizar las habilidades retirada estratégica y distorsión temporal. Vuelve invisibles a las unidades y estructuras amistosas cercanas.<n/><n/><c val="ffff8a">Puede atacar a unidades aéreas y terrestres.</c>
为目标水晶塔的心能水晶充能，使其变成一个威力巨大的武器，能造成<d ref="Effect,MothershipCoreWeaponDamage,Amount[0]"/>点伤害，持续<d ref="Behavior,Purify,Duration[0]"/>秒。	Potencia el cristal Khaydarin seleccionado, lo que lo transforma en una poderosa arma de largo alcance durante <d ref="Behavior,Purify,Duration[0]"/> segundos que inflige <d ref="Effect,MothershipCoreWeaponDamage,Amount[0]"/> de daño.
目标单位被感染者控制，持续<d ref="Behavior,NeuralParasite,Duration"/>秒。感染者在控制期间无法进行其他动作。<n/><n/><c val="ffff8a">该技能需要引导。可以在潜地时施放。</c><n/><c val="#ColorAttackInfo">英雄单位免疫。</c>	El infestador controla la unidad objetivo durante <d ref="Behavior,NeuralParasite,Duration"/> segundos. El infestador no puede realizar ninguna otra acción mientras controla una unidad enemiga.<n/><n/><c val="ffff8a">Habilidad canalizada. Se puede lanzar mientras la unidad está enterrada.</c><n/><c val="#ColorAttackInfo">Los héroes son inmunes</c>
基础建筑，用于接收采集到的资源。可以使用时空提速、群体召回技能。<n/><n/><c val="ffff8a">开启：</c><n/>- 探机<n/>- 母舰	Estructura primaria. Puede recibir los recursos recogidos. Puede usar las habilidades aceleración cronos y retirada en masa.<n/><n/><c val="ffff8a">Permite:</c><n/>- Sondas<n/>- Nave nodriza
将目标区域内所有该玩家的单位召回至星灵枢纽。	Retira a todas las unidades del jugador de la zona seleccionada y las transporta hasta nexo.
星灵枢纽会自动使用能量来恢复附近单位的护盾。	El nexo usará energía de forma automática para restaurar los escudos de las unidades cercanas.
星灵枢纽不再自动把友方单位设为目标。	El nexo ya no seleccionará como objetivo a unidades amistosas de forma automática.
为目标单位或建筑恢复护盾。<n/><n/><c val="ffff8a">每恢复<d ref="Effect,NexusShieldRechargeShield,VitalArray[Shields].Change"/>点护盾消耗1点能量。 </c>	Restaura los escudos de la estructura o unidad objetivo. <n/><n/><c val="ffff8a">Cuesta 1 de energía por cada <d ref="Effect,NexusShieldRechargeShield,VitalArray[Shields].Change"/> de escudo que restaure.</c>
为目标水晶塔的凯达琳水晶充能，把它变成可以为友方单位恢复护盾的建筑，持续<d ref="Behavior,NexusShieldRechargeOnPylonBehavior,Duration[0]"/> 秒。	Potencia el cristal Khaydarin del pilón seleccionado, lo que lo convierte en una estructura que restaura los escudos de las unidades amistosas durante <d ref="Behavior,NexusShieldRechargeOnPylonBehavior,Duration[0]"/> segundos.
坑道虫在从地面钻出时拥有<d ref="Behavior,NydusWormArmor,Modification.LifeArmorBonus+1"/>点护甲。	Las orugas nydus tienen <d ref="Behavior,NydusWormArmor,Modification.LifeArmorBonus+1"/> de armadura cuando salen del suelo.
在目标位置放置一个隐形的静滞结界，持续<d ref="Behavior,StasisWardTimedLife,Duration"/>秒。一旦被一个敌方地面单位触发，该结界将使附近的敌方单位陷入静滞状态，持续<d ref="Behavior,OracleStasisTrapTarget,Duration"/>秒。被困住的单位无法被攻击或被技能影响。	Coloca una trampa de estasis invisible en la ubicación objetivo que dura <d ref="Behavior,StasisWardTimedLife,Duration"/> segundos. Una vez activada por una unidad terrestre enemiga, la trampa atrapa en estasis a las unidades enemigas cercanas durante <d ref="Behavior,OracleStasisTrapTarget,Duration"/> segundos. Las unidades atrapadas no pueden recibir ataques ni ser objetivo de habilidades.
高级空中侦察单位。 能够维持王虫形态时所控制的单位上限。可以使用超距视界、孵化拟态雏虫和污染技能。<n/><n/><c val="FFE303">侦测单位</c>	Observador aéreo avanzado. Mantiene el número máximo de unidades establecido por el superamo. Puede utilizar las habilidades guarda, engendrar mudaling y contaminar.<n/><n/><c val="FFE303">Detector</c>
生成一团寄生云，在<d ref="Behavior,ParasiticBomb,Duration"/>秒内对目标和附近的敌方空中单位造成<d ref="Behavior,ParasiticBomb,Duration/Behavior,ParasiticBomb,Period*Effect,ParasiticBombDotDamage,Amount"/>点伤害。如果目标死亡，寄生云会在敌人的死亡位置一直存在直至消失。<n/><n/><c val="#ColorAttackInfo">无法选择地面单位或建筑作为目标。</c>	Crea una nube parasítica que inflige <d ref="Behavior,ParasiticBomb,Duration/Behavior,ParasiticBomb,Period*Effect,ParasiticBombDotDamage,Amount"/> de daño durante <d ref="Behavior,ParasiticBomb,Duration"/> segundos al objetivo y a las unidades aéreas enemigas cercanas. Si el objetivo muere, la nube permanece en el aire en su posición hasta expirar.<n/><n/><c val="#ColorAttackInfo">No puede seleccionar como objetivo estructuras o unidades terrestres.</c>
自动防御激光，可以拦截敌军导弹。无法拦截特殊攻击。<n/><n/><c val="f078ff">每次拦截消耗10点能量。</c>	Láser de defensa automatizado que intercepta varios tipos de proyectiles enemigos. No intercepta ataques especiales.<n/><n/><c val="f078ff">Cada disparo consume 10 de energía.</c>
强化狂热者的冲锋，对被冲锋目标造成<d ref="Effect,ChargingDamage,Amount"/>点伤害。	Mejora la carga del fanático para que inflija <d ref="Effect,ChargingDamage,Amount"/> de daño al objetivo contra el que carga.
发射一枚能量球，持续<d ref="Behavior,PurificationNovaTargettedTarget,Duration"/>秒，并产生一道强力的能量新星，对附近的地面单位和建筑造成<d ref="Effect,PurificationNovaDamage,Amount"/>点溅射伤害和额外<d ref="Effect,PurificationNovaDamage,ShieldBonus"/>点对护盾的伤害。干扰者在激活该技能的时候无法移动。	Dispara una bola de energía que dura <d ref="Behavior,PurificationNovaTargettedTarget,Duration"/> segundos y emite una potente nova que inflige <d ref="Effect,PurificationNovaDamage,Amount"/> de daño esparcido más <d ref="Effect,PurificationNovaDamage,ShieldBonus"/> de daño de escudo a las unidades y estructuras cercanas. El disruptor permanece inmóvil mientras la habilidad está activa.
医疗运输机的后燃推进系统的冷却时间缩短<d time="[d ref='$UpgradeEffectArrayValue:MedivacIncreaseSpeedBoost:Abil,MedivacSpeedBoost,Cost[0].Cooldown.TimeUse$'/]"/>秒，提高医疗运输机的移动速度。	Reduce <d time="[d ref='$UpgradeEffectArrayValue:MedivacIncreaseSpeedBoost:Abil,MedivacSpeedBoost,Cost[0].Cooldown.TimeUse$'/]"/> el tiempo de reutilización de iniciar postcombustión de la medevac y aumenta su velocidad de movimiento.
空中支援单位。能够使用自动机炮、干扰矩阵、和反护甲飞弹。<n/><n/><c val="FFE303">侦测单位</c>	Unidad de apoyo aéreo. Puede utilizar las habilidades torreta automática, matriz de interferencia y misil antiblindaje.<n/><n/><c val="FFE303">Detector</c>
铁鸦的反护甲飞弹的爆炸范围扩大20%，追踪距离扩大50%。	Aumenta el radio de explosión del misil antiblindaje del cuervo un 20% y su alcance de selección de objetivo un 50%.
猎杀飞弹的伤害提高30%，追击距离扩大50%。	Aumenta el daño de misil rastreador un 30% y su alcance de selección un 50%.
修理周围的友方机械单位，持续<d ref="Behavior,RavenRepairDroneTimedLife,Duration"/>秒。	Repara las unidades mecánicas cercanas amistosas durante <d ref="Behavior,RavenRepairDroneTimedLife,Duration"/> segundos.
修理一个友方机械目标。<n/><n/><c val="f078ff">每1点能量恢复<d ref="Effect,RavenRepairDroneHeal,RechargeVitalRate*Effect,RavenRepairDroneHeal,DrainVitalCostFactor"/>点生命值。</c>	Repara un objetivo mecánico cercano amistoso.<n/><n/><c val="f078ff">Restaura <d ref="Effect,RavenRepairDroneHeal,RechargeVitalRate*Effect,RavenRepairDroneHeal,DrainVitalCostFactor"/> de vida por cada 1 de energía.</c>
<c val="ffff8a">铁鸦</c>的反护甲飞弹的爆炸范围扩大20%，追踪距离扩大50%。	Aumenta el radio de explosión del misil antiblindaje del <c val="ffff8a">cuervo</c> un 20% y su alcance de selección de objetivo un 50%.
令一个目标单位瘫痪，使其无法攻击和使用技能，持续<d ref="Behavior,RavenScramblerMissile,Duration"/>秒。暴露隐形单位。<n/><n/><c val="#ColorAttackInfo">可以对机械单位和灵能单位使用。</c>	Inhabilita a la unidad seleccionada, lo que le impide atacar o usar habilidades durante <d ref="Behavior,RavenScramblerMissile,Duration"/> segundos. Revela a las unidades invisibles.<n/><n/><c val="#ColorAttackInfo">Puede atacar a unidades mecánicas y psiónicas.</c>
