非晶态装甲云	Zasłona amorficzna
将飓风的武器锁定在目标空中单位或空中建筑身上，在<d ref="Effect,LockOnAirCP,PeriodicPeriodArray[0] + Effect,LockOnAirCP,PeriodicPeriodArray[1] + Effect,LockOnAirCP,PeriodicPeriodArray[2] + Effect,LockOnAirCP,PeriodicPeriodArray[3] + Effect,LockOnAirCP,PeriodicPeriodArray[4] + Effect,LockOnAirCP,PeriodicPeriodArray[5] + Effect,LockOnAirCP,PeriodicPeriodArray[6] + Effect,LockOnAirCP,PeriodicPeriodArray[7] + Effect,LockOnAirCP,PeriodicPeriodArray[8] + Effect,LockOnAirCP,PeriodicPeriodArray[9] + Effect,LockOnAirCP,PeriodicPeriodArray[10] + Effect,LockOnAirCP,PeriodicPeriodArray[11] + Effect,LockOnAirCP,PeriodicPeriodArray[12] + Effect,LockOnAirCP,PeriodicPeriodArray[13] + Effect,LockOnAirCP,PeriodicPeriodArray[14] + Effect,LockOnAirCP,PeriodicPeriodArray[15] + Effect,LockOnAirCP,PeriodicPeriodArray[16] + Effect,LockOnAirCP,PeriodicPeriodArray[17] + Effect,LockOnAirCP,PeriodicPeriodArray[18] + Effect,LockOnAirCP,PeriodicPeriodArray[19] + Effect,LockOnAirCP,PeriodicPeriodArray[20] + Effect,LockOnAirCP,PeriodicPeriodArray[21] + Effect,LockOnAirCP,PeriodicPeriodArray[22]"/>秒内造成<d ref="Effect,LockOnAirCP,PeriodCount*Effect,CycloneAirWeaponDamage,Amount"/>点伤害（+<d ref="Effect,LockOnAirCP,PeriodCount * $UpgradeEffectArrayValue:ArmorPiercingRockets:Effect,CycloneAirWeaponDamage,AttributeBonus[Armored]$"/> vs 重甲单位）。前4次射击很快发射。可以在开火时移动。如果目标离开锁定范围，该技能将会取消。<n/><n/><c val="#ColorAttackInfo">无法锁定地面单位或地面建筑。</c>	Powoduje, że broń cyklonu namierza wskazaną latającą jednostkę lub strukturę i zadaje <d ref="Effect,LockOnAirCP,PeriodCount*Effect,CycloneAirWeaponDamage,Amount"/> pkt. obrażeń (+ <d ref="Effect,LockOnAirCP,PeriodCount * $UpgradeEffectArrayValue:ArmorPiercingRockets:Effect,CycloneAirWeaponDamage,AttributeBonus[Armored]$"/> przeciwko celom opancerzonym) przez <d ref="Effect,LockOnAirCP,PeriodicPeriodArray[0] + Effect,LockOnAirCP,PeriodicPeriodArray[1] + Effect,LockOnAirCP,PeriodicPeriodArray[2] + Effect,LockOnAirCP,PeriodicPeriodArray[3] + Effect,LockOnAirCP,PeriodicPeriodArray[4] + Effect,LockOnAirCP,PeriodicPeriodArray[5] + Effect,LockOnAirCP,PeriodicPeriodArray[6] + Effect,LockOnAirCP,PeriodicPeriodArray[7] + Effect,LockOnAirCP,PeriodicPeriodArray[8] + Effect,LockOnAirCP,PeriodicPeriodArray[9] + Effect,LockOnAirCP,PeriodicPeriodArray[10] + Effect,LockOnAirCP,PeriodicPeriodArray[11] + Effect,LockOnAirCP,PeriodicPeriodArray[12] + Effect,LockOnAirCP,PeriodicPeriodArray[13] + Effect,LockOnAirCP,PeriodicPeriodArray[14] + Effect,LockOnAirCP,PeriodicPeriodArray[15] + Effect,LockOnAirCP,PeriodicPeriodArray[16] + Effect,LockOnAirCP,PeriodicPeriodArray[17] + Effect,LockOnAirCP,PeriodicPeriodArray[18] + Effect,LockOnAirCP,PeriodicPeriodArray[19] + Effect,LockOnAirCP,PeriodicPeriodArray[20] + Effect,LockOnAirCP,PeriodicPeriodArray[21] + Effect,LockOnAirCP,PeriodicPeriodArray[22]"/> sek. Pierwsze cztery strzały oddawane są szybko. Zdolność pozwala poruszać się i atakować jednocześnie i zostaje anulowana, gdy cel znajdzie się poza zasięgiem.<n/><n/><c val="#ColorAttackInfo">Nie obiera za cel budowli i jednostek naziemnych.</c>
将飓风的武器锁定在目标空中单位或空中建筑身上，在<d ref="Effect,LockOnAirCP,PeriodicPeriodArray[0] + Effect,LockOnAirCP,PeriodicPeriodArray[1] + Effect,LockOnAirCP,PeriodicPeriodArray[2] + Effect,LockOnAirCP,PeriodicPeriodArray[3] + Effect,LockOnAirCP,PeriodicPeriodArray[4] + Effect,LockOnAirCP,PeriodicPeriodArray[5] + Effect,LockOnAirCP,PeriodicPeriodArray[6] + Effect,LockOnAirCP,PeriodicPeriodArray[7] + Effect,LockOnAirCP,PeriodicPeriodArray[8] + Effect,LockOnAirCP,PeriodicPeriodArray[9] + Effect,LockOnAirCP,PeriodicPeriodArray[10] + Effect,LockOnAirCP,PeriodicPeriodArray[11] + Effect,LockOnAirCP,PeriodicPeriodArray[12] + Effect,LockOnAirCP,PeriodicPeriodArray[13] + Effect,LockOnAirCP,PeriodicPeriodArray[14] + Effect,LockOnAirCP,PeriodicPeriodArray[15] + Effect,LockOnAirCP,PeriodicPeriodArray[16] + Effect,LockOnAirCP,PeriodicPeriodArray[17] + Effect,LockOnAirCP,PeriodicPeriodArray[18] + Effect,LockOnAirCP,PeriodicPeriodArray[19] + Effect,LockOnAirCP,PeriodicPeriodArray[20] + Effect,LockOnAirCP,PeriodicPeriodArray[21] + Effect,LockOnAirCP,PeriodicPeriodArray[22]"/>秒内造成<d ref="Effect,LockOnAirCP,PeriodCount*Effect,CycloneAirWeaponDamage,Amount"/>点伤害。前<c val="#ColorAttackInfo">12</c>次射击很快发射。可以在开火时移动。如果目标离开锁定范围，该技能将会取消。<n/><n/><c val="#ColorAttackInfo">无法锁定地面单位或地面建筑。</c>	Powoduje, że broń cyklonu namierza wskazaną latającą jednostkę lub strukturę i zadaje <d ref="Effect,LockOnAirCP,PeriodCount*Effect,CycloneAirWeaponDamage,Amount"/> pkt. obrażeń w ciągu <d ref="Effect,LockOnAirCP,PeriodicPeriodArray[0] + Effect,LockOnAirCP,PeriodicPeriodArray[1] + Effect,LockOnAirCP,PeriodicPeriodArray[2] + Effect,LockOnAirCP,PeriodicPeriodArray[3] + Effect,LockOnAirCP,PeriodicPeriodArray[4] + Effect,LockOnAirCP,PeriodicPeriodArray[5] + Effect,LockOnAirCP,PeriodicPeriodArray[6] + Effect,LockOnAirCP,PeriodicPeriodArray[7] + Effect,LockOnAirCP,PeriodicPeriodArray[8] + Effect,LockOnAirCP,PeriodicPeriodArray[9] + Effect,LockOnAirCP,PeriodicPeriodArray[10] + Effect,LockOnAirCP,PeriodicPeriodArray[11] + Effect,LockOnAirCP,PeriodicPeriodArray[12] + Effect,LockOnAirCP,PeriodicPeriodArray[13] + Effect,LockOnAirCP,PeriodicPeriodArray[14] + Effect,LockOnAirCP,PeriodicPeriodArray[15] + Effect,LockOnAirCP,PeriodicPeriodArray[16] + Effect,LockOnAirCP,PeriodicPeriodArray[17] + Effect,LockOnAirCP,PeriodicPeriodArray[18] + Effect,LockOnAirCP,PeriodicPeriodArray[19] + Effect,LockOnAirCP,PeriodicPeriodArray[20] + Effect,LockOnAirCP,PeriodicPeriodArray[21] + Effect,LockOnAirCP,PeriodicPeriodArray[22]"/> sek. Pierwsze <c val="#ColorAttackInfo">12</c> strzałów oddawanych jest szybko. Zdolność pozwala poruszać się i atakować jednocześnie i zostaje anulowana, gdy cel znajdzie się poza zasięgiem.<n/><n/><c val="#ColorAttackInfo">Nie może obierać za cel budowli i jednostek naziemnych.</c>
使飓风的武器锁定目标单位，对地面和空中单位在<d ref="Effect,LockOnCP,PeriodCount * Effect,LockOnCP,PeriodicPeriodArray[0]"/>秒内造成<d ref="Effect,LockOnCP,PeriodCount*Effect,CycloneWeaponDamage,Amount"/>点伤害(+400 vs. 重甲)。开火时可以移动。如果目标离开射程后则取消。	Powoduje, że cyklon namierza wskazaną jednostkę i zadaje <d ref="Effect,LockOnCP,PeriodCount*Effect,CycloneWeaponDamage,Amount"/> pkt. obrażeń (+400 przeciwko celom opancerzonym) w ciągu <d ref="Effect,LockOnCP,PeriodCount * Effect,LockOnCP,PeriodicPeriodArray[0]"/> sek. celom naziemnym i latającym. Pozwala poruszać się i atakować jednocześnie. Zdolność zostaje anulowana, gdy cel znajdzie się poza zasięgiem.
为潜伏者提供升级方案。<n/><n/><c val="ffff8a">开启：</c><n/>- 使刺蛇可以进化为潜伏者	Umożliwia ulepszanie czyhaczy.<n/><n/><c val="ffff8a">Udostępnia:</c><n/> – czyhacze z hydralisków.
矿物采集设备原型，工作效率高于SCV。矿骡的系统在持续工作<d time="90"/>后会瘫痪。	Prototypowa jednostka wydobywcza. Zbiera minerały szybciej niż ERK. MUŁ-y pracują przez <d time="90"/>, potem ich systemy zawodzą.
使<c val="ffff8a">飓风</c>的攻击射程+<d ref="$UpgradeEffectArrayValue:MagFieldLaunchers:Weapon,TyphoonMissilePod,Range$"/>。	Zwiększają zasięg ataku <c val="ffff8a">cyklona</c> o <d ref="$UpgradeEffectArrayValue:MagFieldLaunchers:Weapon,TyphoonMissilePod,Range$"/>.
将目标区域内的所有玩家单位传送至母舰。	Przywołuje do statku-matki wszystkie jednostki gracza znajdujące się na wskazanym obszarze.
提高医疗运输机的移动速度，持续<d ref="Behavior,MedivacSpeedBoost,Duration"/>秒。	Zwiększa szybkość promu medycznego na <d ref="Behavior,MedivacSpeedBoost,Duration"/> sek.
使目标孵化场、虫穴或主巢在<d ref="Behavior,QueenSpawnLarvaTimer,Duration"/>秒内孵化<d ref="Effect,SpawnMutantLarvaApplySpawnBehavior,Count"/>只幼虫。如果孵化场、虫穴或主巢现有幼虫数量超过3只，则会停止常规的幼虫孵化，直至数量少于3只。当目标已经在孵化额外的幼虫时，这一效果会叠加并进入队列。	Wskazana wylęgarnia, leże lub ul powija larwy w ilości <d ref="Effect,SpawnMutantLarvaApplySpawnBehavior,Count"/> w ciągu <d ref="Behavior,QueenSpawnLarvaTimer,Duration"/> sek. Jeśli wylęgarnia, leże lub ul posiadają więcej niż 3 larwy jednocześnie, podstawowa produkcja larw zostaje wstrzymana, dopóki ich liczba nie spadnie poniżej 3. Efekt kumuluje się i kolejkuje, jeśli cel powija już dodatkowe larwy.
升级为母舰。可以使用光子超载、群体召回和时间扭曲技能。使附近的单位和建筑隐形。	Ulepsza się do statku-matki. Może korzystać z przeciążenia fotonowego, przywołania zbiorczego i zakrzywienia czasoprzestrzeni. Maskuje pobliskie jednostki i budowle.
把侦测器变形为标准的侦测器模式。使其能够随意移动，但视野范围会变小。	Przełącza jednostkę w standardowy tryb obserwatora. Pozwala na poruszanie się, ale kosztem zmniejszonego zasięgu widzenia.
把侦测器变形为监察模式。视野提高<d ref="(Unit,ObserverSiegeMode,Sight/Unit,Observer,Sight-1)*100"/>%，但无法移动。	Przełącza jednostkę w tryb nadzoru. Szerokość pola widzenia obserwatora wzrasta o <d ref="(Unit,ObserverSiegeMode,Sight/Unit,Observer,Sight-1)*100"/>%, ale traci on możliwość poruszania się.
开启王虫运输单位的能力。	Umożliwia nadrządcy transportowanie jednostek.
恢复眼虫的移动能力，并使其视野回到正常范围。	Przywraca nadzorcy zdolność ruchu i normalny zasięg pola widzenia.
使眼虫的视野范围扩大<d ref="(Unit,OverseerSiegeMode,Sight/Unit,Overseer,Sight-1)*100"/>% ，但失去移动能力。该技能在激活后可以取消。	Zwiększa szerokość pola widzenia nadzorcy o <d ref="(Unit,OverseerSiegeMode,Sight/Unit,Overseer,Sight-1)*100"/>%, ale pozbawia go możliwości poruszania się. Zdolność można anulować po aktywacji.
终极星灵战舰。能够使用战术召回和时间扭曲技能。使附近的友方单位和建筑隐形。<n/><n/><c val="ffff8a">可以对地和对空。</c>	Najpotężniejszy okręt protosów. Korzysta ze zdolności przywołania strategicznego i zakrzywienia czasoprzestrzeni. Zapewnia maskowanie pobliskim, sojuszniczym jednostkom oraz budowlom.<n/><n/><c val="ffff8a">Może atakować jednostki naziemne i powietrzne.</c>
为目标水晶塔的心能水晶充能，使其变成一个威力巨大的武器，能造成<d ref="Effect,MothershipCoreWeaponDamage,Amount[0]"/>点伤害，持续<d ref="Behavior,Purify,Duration[0]"/>秒。	Napełnia kryształ khaydarinowy wskazanego pylonu energią, zamieniając go na <d ref="Behavior,Purify,Duration[0]"/> sek. w potężną broń dalekiego zasięgu, która zadaje <d ref="Effect,MothershipCoreWeaponDamage,Amount[0]"/> pkt. obrażeń.
目标单位被感染者控制，持续<d ref="Behavior,NeuralParasite,Duration"/>秒。感染者在控制期间无法进行其他动作。<n/><n/><c val="ffff8a">该技能需要引导。可以在潜地时施放。</c><n/><c val="#ColorAttackInfo">英雄单位免疫。</c>	Wybrana jednostka jest kontrolowana przez infektora przez <d ref="Behavior,NeuralParasite,Duration"/> sek. Infektor nie może robić nic innego, gdy kontroluje jednostkę.<n/><n/><c val="ffff8a">Umiejętność podtrzymywana. Można z niej korzystać podczas zagrzebania.</c><n/><c val="#ColorAttackInfo">Nie działa na jednostki bohaterskie.</c>
基础建筑，用于接收采集到的资源。可以使用时空提速、群体召回技能。<n/><n/><c val="ffff8a">开启：</c><n/>- 探机<n/>- 母舰	Budowla główna. Może gromadzić surowce i korzystać ze zdolności zaginania czasoprzestrzeni i przywołania zbiorczego.<n/><n/><c val="ffff8a">Udostępnia:</c><n/>– próbniki,<n/>– statek-matkę.
将目标区域内所有该玩家的单位召回至星灵枢纽。	Przenosi wszystkie jednostki gracza ze wskazanego obszaru w pobliże nexusa.
星灵枢纽会自动使用能量来恢复附近单位的护盾。	Nexus automatycznie wykorzystuje energię, aby doładować osłony pobliskich jednostek.
星灵枢纽不再自动把友方单位设为目标。	Nexus nie będzie automatycznie dobierał za cel jednostek sojuszniczych.
为目标单位或建筑恢复护盾。<n/><n/><c val="ffff8a">每恢复<d ref="Effect,NexusShieldRechargeShield,VitalArray[Shields].Change"/>点护盾消耗1点能量。 </c>	Regeneruje osłony wskazanej jednostki lub budowli.<n/><n/><c val="ffff8a">Zużywa 1 pkt. energii za każde przywrócone <d ref="Effect,NexusShieldRechargeShield,VitalArray[Shields].Change"/> pkt. osłon.</c>
为目标水晶塔的凯达琳水晶充能，把它变成可以为友方单位恢复护盾的建筑，持续<d ref="Behavior,NexusShieldRechargeOnPylonBehavior,Duration[0]"/> 秒。	Napełnia kryształ khaydarinowy wskazanego pylonu energią i pozwala mu przez <d ref="Behavior,NexusShieldRechargeOnPylonBehavior,Duration[0]"/> sek. przywracać osłony jednostek sojuszniczych.
坑道虫在从地面钻出时拥有<d ref="Behavior,NydusWormArmor,Modification.LifeArmorBonus+1"/>点护甲。	Czerwie nydusowe posiadają <d ref="Behavior,NydusWormArmor,Modification.LifeArmorBonus+1"/> pkt. pancerza, kiedy wyłaniają się z ziemi.
在目标位置放置一个隐形的静滞结界，持续<d ref="Behavior,StasisWardTimedLife,Duration"/>秒。一旦被一个敌方地面单位触发，该结界将使附近的敌方单位陷入静滞状态，持续<d ref="Behavior,OracleStasisTrapTarget,Duration"/>秒。被困住的单位无法被攻击或被技能影响。	Umieszcza w wyznaczonym miejscu zamaskowane okowy zastoju, które działają <d ref="Behavior,StasisWardTimedLife,Duration"/> sek. Kiedy wroga jednostka naziemna aktywuje okowy, więżą one pobliskich wrogów na <d ref="Behavior,OracleStasisTrapTarget,Duration"/> sek. Schwytane jednostki nie mogą być atakowane ani objęte efektami umiejętności.
高级空中侦察单位。 能够维持王虫形态时所控制的单位上限。可以使用超距视界、孵化拟态雏虫和污染技能。<n/><n/><c val="FFE303">侦测单位</c>	Zaawansowany obserwator powietrzny. Zapewnia to samo zaopatrzenie co nadrządca. Może korzystać ze zdolności nadzoru oraz skażenia i powijać odmieńce.<n/><n/><c val="FFE303">Wykrywacz</c>
生成一团寄生云，在<d ref="Behavior,ParasiticBomb,Duration"/>秒内对目标和附近的敌方空中单位造成<d ref="Behavior,ParasiticBomb,Duration/Behavior,ParasiticBomb,Period*Effect,ParasiticBombDotDamage,Amount"/>点伤害。如果目标死亡，寄生云会在敌人的死亡位置一直存在直至消失。<n/><n/><c val="#ColorAttackInfo">无法选择地面单位或建筑作为目标。</c>	Tworzy chmurę pasożytów, która zadaje celowi i wrogim jednostkom w pobliżu <d ref="Behavior,ParasiticBomb,Duration/Behavior,ParasiticBomb,Period*Effect,ParasiticBombDotDamage,Amount"/> pkt. obrażeń przez <d ref="Behavior,ParasiticBomb,Duration"/> sek. Jeśli cel zginie, chmura utrzyma się w powietrzu, w miejscu, w którym się on znajdował, do końca czasu działania zdolności.<n/><n/><c val="#ColorAttackInfo">Nie może atakować jednostek naziemnych ani budowli.</c>
自动防御激光，可以拦截敌军导弹。无法拦截特殊攻击。<n/><n/><c val="f078ff">每次拦截消耗10点能量。</c>	Automatyczny laser obronny, który przechwytuje wrogie pociski. Nie przechwytuje ataków specjalnych.<n/><n/><c val="f078ff">Każdy strzał wykorzystuje 10 pkt. energii.</c>
强化狂热者的冲锋，对被冲锋目标造成<d ref="Effect,ChargingDamage,Amount"/>点伤害。	Ulepsza szarżę zelotów, aby zadawała <d ref="Effect,ChargingDamage,Amount"/> pkt. obrażeń atakowanym celom.
发射一枚能量球，持续<d ref="Behavior,PurificationNovaTargettedTarget,Duration"/>秒，并产生一道强力的能量新星，对附近的地面单位和建筑造成<d ref="Effect,PurificationNovaDamage,Amount"/>点溅射伤害和额外<d ref="Effect,PurificationNovaDamage,ShieldBonus"/>点对护盾的伤害。干扰者在激活该技能的时候无法移动。	Wypuszcza kulę energii utrzymującą się <d ref="Behavior,PurificationNovaTargettedTarget,Duration"/> sek. i wyzwalającą silne wyładowanie energii, które zadaje pobliskim jednostkom naziemnym i budowlom <d ref="Effect,PurificationNovaDamage,Amount"/> pkt. obrażeń rozpryskowych oraz dodatkowe <d ref="Effect,PurificationNovaDamage,ShieldBonus"/> pkt. obrażeń ich osłonom. Kiedy zdolność jest aktywna, destabilizator nie może się poruszać.
医疗运输机的后燃推进系统的冷却时间缩短<d time="[d ref='$UpgradeEffectArrayValue:MedivacIncreaseSpeedBoost:Abil,MedivacSpeedBoost,Cost[0].Cooldown.TimeUse$'/]"/>秒，提高医疗运输机的移动速度。	Skraca czas odnowienia zdolności uruchom dopalacze promów medycznych o <d time="[d ref='$UpgradeEffectArrayValue:MedivacIncreaseSpeedBoost:Abil,MedivacSpeedBoost,Cost[0].Cooldown.TimeUse$'/]"/> i zwiększa szybkość ruchu promów.
空中支援单位。能够使用自动机炮、干扰矩阵、和反护甲飞弹。<n/><n/><c val="FFE303">侦测单位</c>	Jednostka wsparcia powietrznego. Może używać wieżyczki automatycznej, matrycy zakłócającej i pocisków przeciwpancernych.<n/><n/><c val="FFE303">Wykrywacz</c>
铁鸦的反护甲飞弹的爆炸范围扩大20%，追踪距离扩大50%。	Zwiększa promień eksplozji pocisku przeciwpancernego kruka o 20%, a zasięg namierzania o 50%.
猎杀飞弹的伤害提高30%，追击距离扩大50%。	Zwiększa ilość obrażeń zadawanych przez pocisk Łowca o 30% i zasięg namierzania o 50%.
修理周围的友方机械单位，持续<d ref="Behavior,RavenRepairDroneTimedLife,Duration"/>秒。	Naprawia pobliskie, sojusznicze jednostki mechaniczne przez <d ref="Behavior,RavenRepairDroneTimedLife,Duration"/> sek.
修理一个友方机械目标。<n/><n/><c val="f078ff">每1点能量恢复<d ref="Effect,RavenRepairDroneHeal,RechargeVitalRate*Effect,RavenRepairDroneHeal,DrainVitalCostFactor"/>点生命值。</c>	Naprawia sojuszniczą jednostkę mechaniczną.<n/><n/><c val="f078ff">Regeneruje <d ref="Effect,RavenRepairDroneHeal,RechargeVitalRate*Effect,RavenRepairDroneHeal,DrainVitalCostFactor"/> pkt. życia na 1 pkt. energii.</c>
<c val="ffff8a">铁鸦</c>的反护甲飞弹的爆炸范围扩大20%，追踪距离扩大50%。	Zwiększa promień eksplozji pocisku przeciwpancernego <c val="ffff8a">kruka</c> o 20%, a zasięg namierzania o 50%.
令一个目标单位瘫痪，使其无法攻击和使用技能，持续<d ref="Behavior,RavenScramblerMissile,Duration"/>秒。暴露隐形单位。<n/><n/><c val="#ColorAttackInfo">可以对机械单位和灵能单位使用。</c>	Wyłącza wskazaną jednostkę i uniemożliwia jej atakowanie oraz korzystanie ze zdolności na <d ref="Behavior,RavenScramblerMissile,Duration"/> sek. Ujawnia zamaskowane jednostki.<n/><n/><c val="#ColorAttackInfo">Celem mogą być jednostki mechaniczne i psioniczne.</c>
部署一枚飞弹追踪目标单位，在接触后削减受影响单位的护甲和护盾<d ref="Behavior,RavenShredderMissileArmorReduction,DamageResponse.ModifyAmount"/>点，持续<d ref="Behavior,RavenShredderMissileArmorReduction,Duration"/> 秒。	Odpala pocisk, który ściga wskazaną jednostkę i po trafieniu osłabia jej pancerz i osłony o <d ref="Behavior,RavenShredderMissileArmorReduction,DamageResponse.ModifyAmount"/> pkt. na <d ref="Behavior,RavenShredderMissileArmorReduction,Duration"/> sek.
