非晶态装甲云	Protezione informe
将飓风的武器锁定在目标空中单位或空中建筑身上，在<d ref="Effect,LockOnAirCP,PeriodicPeriodArray[0] + Effect,LockOnAirCP,PeriodicPeriodArray[1] + Effect,LockOnAirCP,PeriodicPeriodArray[2] + Effect,LockOnAirCP,PeriodicPeriodArray[3] + Effect,LockOnAirCP,PeriodicPeriodArray[4] + Effect,LockOnAirCP,PeriodicPeriodArray[5] + Effect,LockOnAirCP,PeriodicPeriodArray[6] + Effect,LockOnAirCP,PeriodicPeriodArray[7] + Effect,LockOnAirCP,PeriodicPeriodArray[8] + Effect,LockOnAirCP,PeriodicPeriodArray[9] + Effect,LockOnAirCP,PeriodicPeriodArray[10] + Effect,LockOnAirCP,PeriodicPeriodArray[11] + Effect,LockOnAirCP,PeriodicPeriodArray[12] + Effect,LockOnAirCP,PeriodicPeriodArray[13] + Effect,LockOnAirCP,PeriodicPeriodArray[14] + Effect,LockOnAirCP,PeriodicPeriodArray[15] + Effect,LockOnAirCP,PeriodicPeriodArray[16] + Effect,LockOnAirCP,PeriodicPeriodArray[17] + Effect,LockOnAirCP,PeriodicPeriodArray[18] + Effect,LockOnAirCP,PeriodicPeriodArray[19] + Effect,LockOnAirCP,PeriodicPeriodArray[20] + Effect,LockOnAirCP,PeriodicPeriodArray[21] + Effect,LockOnAirCP,PeriodicPeriodArray[22]"/>秒内造成<d ref="Effect,LockOnAirCP,PeriodCount*Effect,CycloneAirWeaponDamage,Amount"/>点伤害（+<d ref="Effect,LockOnAirCP,PeriodCount * $UpgradeEffectArrayValue:ArmorPiercingRockets:Effect,CycloneAirWeaponDamage,AttributeBonus[Armored]$"/> vs 重甲单位）。前4次射击很快发射。可以在开火时移动。如果目标离开锁定范围，该技能将会取消。<n/><n/><c val="#ColorAttackInfo">无法锁定地面单位或地面建筑。</c>	Le armi del Cyclone si agganciano all'unità o struttura aerea bersaglio, infliggendo <d ref="Effect,LockOnAirCP,PeriodCount*Effect,CycloneAirWeaponDamage,Amount"/> danni (+<d ref="Effect,LockOnAirCP,PeriodCount * $UpgradeEffectArrayValue:ArmorPiercingRockets:Effect,CycloneAirWeaponDamage,AttributeBonus[Armored]$"/> contro corazzate) in <d ref="Effect,LockOnAirCP,PeriodicPeriodArray[0] + Effect,LockOnAirCP,PeriodicPeriodArray[1] + Effect,LockOnAirCP,PeriodicPeriodArray[2] + Effect,LockOnAirCP,PeriodicPeriodArray[3] + Effect,LockOnAirCP,PeriodicPeriodArray[4] + Effect,LockOnAirCP,PeriodicPeriodArray[5] + Effect,LockOnAirCP,PeriodicPeriodArray[6] + Effect,LockOnAirCP,PeriodicPeriodArray[7] + Effect,LockOnAirCP,PeriodicPeriodArray[8] + Effect,LockOnAirCP,PeriodicPeriodArray[9] + Effect,LockOnAirCP,PeriodicPeriodArray[10] + Effect,LockOnAirCP,PeriodicPeriodArray[11] + Effect,LockOnAirCP,PeriodicPeriodArray[12] + Effect,LockOnAirCP,PeriodicPeriodArray[13] + Effect,LockOnAirCP,PeriodicPeriodArray[14] + Effect,LockOnAirCP,PeriodicPeriodArray[15] + Effect,LockOnAirCP,PeriodicPeriodArray[16] + Effect,LockOnAirCP,PeriodicPeriodArray[17] + Effect,LockOnAirCP,PeriodicPeriodArray[18] + Effect,LockOnAirCP,PeriodicPeriodArray[19] + Effect,LockOnAirCP,PeriodicPeriodArray[20] + Effect,LockOnAirCP,PeriodicPeriodArray[21] + Effect,LockOnAirCP,PeriodicPeriodArray[22]"/> secondi. Emette i primi quattro colpi in rapida successione. Permette di sparare in movimento. Si annulla se il bersaglio si sposta fuori portata.<n/><n/><c val="#ColorAttackInfo">Non può colpire unità o strutture di terra.</c>
将飓风的武器锁定在目标空中单位或空中建筑身上，在<d ref="Effect,LockOnAirCP,PeriodicPeriodArray[0] + Effect,LockOnAirCP,PeriodicPeriodArray[1] + Effect,LockOnAirCP,PeriodicPeriodArray[2] + Effect,LockOnAirCP,PeriodicPeriodArray[3] + Effect,LockOnAirCP,PeriodicPeriodArray[4] + Effect,LockOnAirCP,PeriodicPeriodArray[5] + Effect,LockOnAirCP,PeriodicPeriodArray[6] + Effect,LockOnAirCP,PeriodicPeriodArray[7] + Effect,LockOnAirCP,PeriodicPeriodArray[8] + Effect,LockOnAirCP,PeriodicPeriodArray[9] + Effect,LockOnAirCP,PeriodicPeriodArray[10] + Effect,LockOnAirCP,PeriodicPeriodArray[11] + Effect,LockOnAirCP,PeriodicPeriodArray[12] + Effect,LockOnAirCP,PeriodicPeriodArray[13] + Effect,LockOnAirCP,PeriodicPeriodArray[14] + Effect,LockOnAirCP,PeriodicPeriodArray[15] + Effect,LockOnAirCP,PeriodicPeriodArray[16] + Effect,LockOnAirCP,PeriodicPeriodArray[17] + Effect,LockOnAirCP,PeriodicPeriodArray[18] + Effect,LockOnAirCP,PeriodicPeriodArray[19] + Effect,LockOnAirCP,PeriodicPeriodArray[20] + Effect,LockOnAirCP,PeriodicPeriodArray[21] + Effect,LockOnAirCP,PeriodicPeriodArray[22]"/>秒内造成<d ref="Effect,LockOnAirCP,PeriodCount*Effect,CycloneAirWeaponDamage,Amount"/>点伤害。前<c val="#ColorAttackInfo">12</c>次射击很快发射。可以在开火时移动。如果目标离开锁定范围，该技能将会取消。<n/><n/><c val="#ColorAttackInfo">无法锁定地面单位或地面建筑。</c>	Le armi del Cyclone si agganciano all'unità o struttura aerea bersaglio, infliggendo <d ref="Effect,LockOnAirCP,PeriodCount*Effect,CycloneAirWeaponDamage,Amount"/> danni in <d ref="Effect,LockOnAirCP,PeriodicPeriodArray[0] + Effect,LockOnAirCP,PeriodicPeriodArray[1] + Effect,LockOnAirCP,PeriodicPeriodArray[2] + Effect,LockOnAirCP,PeriodicPeriodArray[3] + Effect,LockOnAirCP,PeriodicPeriodArray[4] + Effect,LockOnAirCP,PeriodicPeriodArray[5] + Effect,LockOnAirCP,PeriodicPeriodArray[6] + Effect,LockOnAirCP,PeriodicPeriodArray[7] + Effect,LockOnAirCP,PeriodicPeriodArray[8] + Effect,LockOnAirCP,PeriodicPeriodArray[9] + Effect,LockOnAirCP,PeriodicPeriodArray[10] + Effect,LockOnAirCP,PeriodicPeriodArray[11] + Effect,LockOnAirCP,PeriodicPeriodArray[12] + Effect,LockOnAirCP,PeriodicPeriodArray[13] + Effect,LockOnAirCP,PeriodicPeriodArray[14] + Effect,LockOnAirCP,PeriodicPeriodArray[15] + Effect,LockOnAirCP,PeriodicPeriodArray[16] + Effect,LockOnAirCP,PeriodicPeriodArray[17] + Effect,LockOnAirCP,PeriodicPeriodArray[18] + Effect,LockOnAirCP,PeriodicPeriodArray[19] + Effect,LockOnAirCP,PeriodicPeriodArray[20] + Effect,LockOnAirCP,PeriodicPeriodArray[21] + Effect,LockOnAirCP,PeriodicPeriodArray[22]"/> secondi. Emette i primi <c val="#ColorAttackInfo">12</c> colpi in rapida successione. Permette di sparare in movimento. Si annulla se il bersaglio si sposta fuori portata.<n/><n/><c val="#ColorAttackInfo">Non può colpire unità o strutture di terra.</c>
使飓风的武器锁定目标单位，对地面和空中单位在<d ref="Effect,LockOnCP,PeriodCount * Effect,LockOnCP,PeriodicPeriodArray[0]"/>秒内造成<d ref="Effect,LockOnCP,PeriodCount*Effect,CycloneWeaponDamage,Amount"/>点伤害(+400 vs. 重甲)。开火时可以移动。如果目标离开射程后则取消。	Le armi del Cyclone si agganciano all'unità bersaglio, infliggendo <d ref="Effect,LockOnCP,PeriodCount*Effect,CycloneWeaponDamage,Amount"/> danni (+400 contro corazzate) in <d ref="Effect,LockOnCP,PeriodCount * Effect,LockOnCP,PeriodicPeriodArray[0]"/> secondi a unità terrestri e aeree. Permette di sparare in movimento. Si annulla se il bersaglio si sposta fuori portata.
矿物采集设备原型，工作效率高于SCV。矿骡的系统在持续工作<d time="90"/>后会瘫痪。	Prototipo di unità da estrazione. Raccoglie minerali più velocemente dei normali SCV. I MULE rimangono in campo <d time="90"/> prima che il loro sistema vada in avaria.
使<c val="ffff8a">飓风</c>的攻击射程+<d ref="$UpgradeEffectArrayValue:MagFieldLaunchers:Weapon,TyphoonMissilePod,Range$"/>。	Estende la portata d'attacco dei <c val="ffff8a">Cyclone</c> di <d ref="$UpgradeEffectArrayValue:MagFieldLaunchers:Weapon,TyphoonMissilePod,Range$"/>.
将目标区域内的所有玩家单位传送至母舰。	Richiama alla Nave madre tutte le unità del giocatore in una zona.
提高医疗运输机的移动速度，持续<d ref="Behavior,MedivacSpeedBoost,Duration"/>秒。	Aumenta la velocità di movimento della Navetta medica per <d ref="Behavior,MedivacSpeedBoost,Duration"/> secondi.
使目标孵化场、虫穴或主巢在<d ref="Behavior,QueenSpawnLarvaTimer,Duration"/>秒内孵化<d ref="Effect,SpawnMutantLarvaApplySpawnBehavior,Count"/>只幼虫。如果孵化场、虫穴或主巢现有幼虫数量超过3只，则会停止常规的幼虫孵化，直至数量少于3只。当目标已经在孵化额外的幼虫时，这一效果会叠加并进入队列。	Il Vivaio, la Tana o l'Alveare selezionato genera <d ref="Effect,SpawnMutantLarvaApplySpawnBehavior,Count"/> Larve in <d ref="Behavior,QueenSpawnLarvaTimer,Duration"/> secondi. Se il Vivaio, la Tana o l'Alveare ha più di 3 Larve in un dato momento, la normale produzione di Larve si blocca finché il loro numero non diminuisce. L'effetto si accumula in coda se il bersaglio sta già generando Larve aggiuntive.
升级为母舰。可以使用光子超载、群体召回和时间扭曲技能。使附近的单位和建筑隐形。	Diventa una Nave madre. Può usare le abilità Sovraccarico fotonico, Richiamo di massa e Distorsione temporale. Occulta le unità e le strutture alleate circostanti.
把侦测器变形为标准的侦测器模式。使其能够随意移动，但视野范围会变小。	Mette l'Osservatore nel suo normale assetto. L'Osservatore può muoversi ma la sua visuale è ridotta.
把侦测器变形为监察模式。视野提高<d ref="(Unit,ObserverSiegeMode,Sight/Unit,Observer,Sight-1)*100"/>%，但无法移动。	Mette l'Osservatore in Assetto di sorveglianza. La sua visuale è estesa del <d ref="(Unit,ObserverSiegeMode,Sight/Unit,Observer,Sight-1)*100"/>%, ma non può muoversi.
开启王虫运输单位的能力。	Consente al Sorvegliante di trasportare unità.
恢复眼虫的移动能力，并使其视野回到正常范围。	Consente ai Custodi di muoversi e ripristina la loro normale visuale.
使眼虫的视野范围扩大<d ref="(Unit,OverseerSiegeMode,Sight/Unit,Overseer,Sight-1)*100"/>% ，但失去移动能力。该技能在激活后可以取消。	Aumenta del <d ref="(Unit,OverseerSiegeMode,Sight/Unit,Overseer,Sight-1)*100"/>% la visuale dei Custodi, ma ne impedisce il movimento. L'abilità può essere annullata dopo l'attivazione.
终极星灵战舰。能够使用战术召回和时间扭曲技能。使附近的友方单位和建筑隐形。<n/><n/><c val="ffff8a">可以对地和对空。</c>	Nave ammiraglia protoss. Può usare le abilità Richiamo strategico e Distorsione temporale. Occulta le unità e le strutture alleate circostanti.<n/><n/><c val="ffff8a">Può attaccare unità aeree e terrestri.</c>
为目标水晶塔的心能水晶充能，使其变成一个威力巨大的武器，能造成<d ref="Effect,MothershipCoreWeaponDamage,Amount[0]"/>点伤害，持续<d ref="Behavior,Purify,Duration[0]"/>秒。	Infonde energia al cristallo khaydarin del Pilone selezionato, trasformandolo per <d ref="Behavior,Purify,Duration[0]"/> secondi in una potente arma a lungo raggio che infligge <d ref="Effect,MothershipCoreWeaponDamage,Amount[0]"/> danni.
目标单位被感染者控制，持续<d ref="Behavior,NeuralParasite,Duration"/>秒。感染者在控制期间无法进行其他动作。<n/><n/><c val="ffff8a">该技能需要引导。可以在潜地时施放。</c><n/><c val="#ColorAttackInfo">英雄单位免疫。</c>	L'unità colpita viene dominata dall'Infestatore per <d ref="Behavior,NeuralParasite,Duration"/> secondi: l'Infestatore non può compiere altre azioni finché controlla un'unità nemica.<n/><n/><c val="ffff8a">Abilità incanalata. Può essere usata da rintanati.</c><n/><c val="#ColorAttackInfo">Le unità eroiche sono immuni.</c>
基础建筑，用于接收采集到的资源。可以使用时空提速、群体召回技能。<n/><n/><c val="ffff8a">开启：</c><n/>- 探机<n/>- 母舰	Struttura primaria. Può ricevere le risorse raccolte. Può usare Accelerazione temporale e Richiamo di massa.<n/><n/><c val="ffff8a">Consente:</c><n/>- Sonde<n/>- Navi madre
将目标区域内所有该玩家的单位召回至星灵枢纽。	Richiama al Nexus tutte le unità del giocatore in una zona.
星灵枢纽会自动使用能量来恢复附近单位的护盾。	Il Nexus utilizza automaticamente energia per ripristinare gli scudi delle unità circostanti.
星灵枢纽不再自动把友方单位设为目标。	Il Nexus non seleziona più automaticamente le unità alleate.
为目标单位或建筑恢复护盾。<n/><n/><c val="ffff8a">每恢复<d ref="Effect,NexusShieldRechargeShield,VitalArray[Shields].Change"/>点护盾消耗1点能量。 </c>	Ripristina gli scudi dell'unità o struttura selezionate.<n/><n/><c val="ffff8a">Costa 1 punto energia per ogni <d ref="Effect,NexusShieldRechargeShield,VitalArray[Shields].Change"/> punti scudo ripristinati.</c>
为目标水晶塔的凯达琳水晶充能，把它变成可以为友方单位恢复护盾的建筑，持续<d ref="Behavior,NexusShieldRechargeOnPylonBehavior,Duration[0]"/> 秒。	Infonde energia al cristallo khaydarin del Pilone selezionato, trasformandolo per <d ref="Behavior,NexusShieldRechargeOnPylonBehavior,Duration[0]"/> secondi in una struttura che ripristina gli scudi delle unità alleate.
坑道虫在从地面钻出时拥有<d ref="Behavior,NydusWormArmor,Modification.LifeArmorBonus+1"/>点护甲。	I Vermi Nydus hanno <d ref="Behavior,NydusWormArmor,Modification.LifeArmorBonus+1"/> corazza quando emergono dal suolo.
在目标位置放置一个隐形的静滞结界，持续<d ref="Behavior,StasisWardTimedLife,Duration"/>秒。一旦被一个敌方地面单位触发，该结界将使附近的敌方单位陷入静滞状态，持续<d ref="Behavior,OracleStasisTrapTarget,Duration"/>秒。被困住的单位无法被攻击或被技能影响。	Piazza sul terreno una Guardia di stasi occultata che dura <d ref="Behavior,StasisWardTimedLife,Duration"/> secondi. Una volta attivata da un'unità terrestre nemica, la guardia intrappola i nemici circostanti mettendoli in stasi per <d ref="Behavior,OracleStasisTrapTarget,Duration"/> secondi. Le unità intrappolate non possono essere attaccate né colpite dalle abilità.
高级空中侦察单位。 能够维持王虫形态时所控制的单位上限。可以使用超距视界、孵化拟态雏虫和污染技能。<n/><n/><c val="FFE303">侦测单位</c>	Osservatore aereo avanzato. Mantiene il limite di unità ottenuto grazie al Sorvegliante. Può usare le abilità Supervisione, Genera Mutaforma e Contaminazione.<n/><n/><c val="FFE303">Individuatore</c>
生成一团寄生云，在<d ref="Behavior,ParasiticBomb,Duration"/>秒内对目标和附近的敌方空中单位造成<d ref="Behavior,ParasiticBomb,Duration/Behavior,ParasiticBomb,Period*Effect,ParasiticBombDotDamage,Amount"/>点伤害。如果目标死亡，寄生云会在敌人的死亡位置一直存在直至消失。<n/><n/><c val="#ColorAttackInfo">无法选择地面单位或建筑作为目标。</c>	Crea una nube parassitaria che infligge <d ref="Behavior,ParasiticBomb,Duration/Behavior,ParasiticBomb,Period*Effect,ParasiticBombDotDamage,Amount"/> danni in <d ref="Behavior,ParasiticBomb,Duration"/> secondi al bersaglio e alle unità aeree nemiche vicine. Se il bersaglio muore, la nube resta in aria fino alla scadenza nel punto in cui il nemico è morto.<n/><n/><c val="#ColorAttackInfo">Non può colpire unità di terra o strutture.</c>
自动防御激光，可以拦截敌军导弹。无法拦截特殊攻击。<n/><n/><c val="f078ff">每次拦截消耗10点能量。</c>	Laser di difesa automatico che intercetta i proiettili nemici. Non intercetta gli attacchi speciali.<n/><n/><c val="f078ff">Ogni colpo consuma 10 energia.</c>
强化狂热者的冲锋，对被冲锋目标造成<d ref="Effect,ChargingDamage,Amount"/>点伤害。	Potenzia Carica degli Zeloti, consentendo di infliggere <d ref="Effect,ChargingDamage,Amount"/> danni al bersaglio.
发射一枚能量球，持续<d ref="Behavior,PurificationNovaTargettedTarget,Duration"/>秒，并产生一道强力的能量新星，对附近的地面单位和建筑造成<d ref="Effect,PurificationNovaDamage,Amount"/>点溅射伤害和额外<d ref="Effect,PurificationNovaDamage,ShieldBonus"/>点对护盾的伤害。干扰者在激活该技能的时候无法移动。	Spara una sfera d'energia che dura <d ref="Behavior,PurificationNovaTargettedTarget,Duration"/> secondi ed emette una potente esplosione che infligge <d ref="Effect,PurificationNovaDamage,Amount"/> danni radiali oltre a <d ref="Effect,PurificationNovaDamage,ShieldBonus"/> danni agli scudi alle unità terrestri e alle strutture vicine. Il Disgregatore rimane immobile durante il processo.
医疗运输机的后燃推进系统的冷却时间缩短<d time="[d ref='$UpgradeEffectArrayValue:MedivacIncreaseSpeedBoost:Abil,MedivacSpeedBoost,Cost[0].Cooldown.TimeUse$'/]"/>秒，提高医疗运输机的移动速度。	Riduce di <d time="[d ref='$UpgradeEffectArrayValue:MedivacIncreaseSpeedBoost:Abil,MedivacSpeedBoost,Cost[0].Cooldown.TimeUse$'/]"/> il tempo di recupero di Postbruciatori delle Navette mediche e aumenta la velocità di movimento.
空中支援单位。能够使用自动机炮、干扰矩阵、和反护甲飞弹。<n/><n/><c val="FFE303">侦测单位</c>	Unità di supporto aereo. Può usare Torretta automatica, Matrice d'interferenza e Missile anti-blindatura.<n/><n/><c val="FFE303">Individuatore</c>
铁鸦的反护甲飞弹的爆炸范围扩大20%，追踪距离扩大50%。	Estende del 20% il raggio dell'esplosione di Missile anti-blindatura dei Raven e ne estende del 50% la portata di acquisizione dei bersagli.
猎杀飞弹的伤害提高30%，追击距离扩大50%。	Aumenta del 30% i danni di Missile a ricerca e ne estende del 50% la portata di acquisizione dei bersagli.
修理周围的友方机械单位，持续<d ref="Behavior,RavenRepairDroneTimedLife,Duration"/>秒。	Ripara le unità meccaniche alleate vicine per <d ref="Behavior,RavenRepairDroneTimedLife,Duration"/> secondi.
修理一个友方机械目标。<n/><n/><c val="f078ff">每1点能量恢复<d ref="Effect,RavenRepairDroneHeal,RechargeVitalRate*Effect,RavenRepairDroneHeal,DrainVitalCostFactor"/>点生命值。</c>	Ripara un'unità meccanica alleata.<n/><n/><c val="f078ff">Cura <d ref="Effect,RavenRepairDroneHeal,RechargeVitalRate*Effect,RavenRepairDroneHeal,DrainVitalCostFactor"/> punti vita per 1 punto energia.</c>
<c val="ffff8a">铁鸦</c>的反护甲飞弹的爆炸范围扩大20%，追踪距离扩大50%。	Estende del 20% il raggio dell'esplosione di Missile anti-blindatura dei <c val="ffff8a">Raven</c> e ne estende del 50% la portata di acquisizione dei bersagli.
令一个目标单位瘫痪，使其无法攻击和使用技能，持续<d ref="Behavior,RavenScramblerMissile,Duration"/>秒。暴露隐形单位。<n/><n/><c val="#ColorAttackInfo">可以对机械单位和灵能单位使用。</c>	Disabilita l'unità selezionata, impedendole di attaccare o usare abilità per <d ref="Behavior,RavenScramblerMissile,Duration"/> secondi. Rivela le unità occultate.<n/><n/><c val="#ColorAttackInfo">Utilizzabile su unità meccaniche e psioniche.</c>
部署一枚飞弹追踪目标单位，在接触后削减受影响单位的护甲和护盾<d ref="Behavior,RavenShredderMissileArmorReduction,DamageResponse.ModifyAmount"/>点，持续<d ref="Behavior,RavenShredderMissileArmorReduction,Duration"/> 秒。	Lancia un missile che insegue il bersaglio e all'impatto ne riduce corazza e scudi di <d ref="Behavior,RavenShredderMissileArmorReduction,DamageResponse.ModifyAmount"/> per <d ref="Behavior,RavenShredderMissileArmorReduction,Duration"/> secondi.
<c val="ffff8a">使徒</c>的护盾提高50。	Aumenta di 50 gli scudi delle <c val="ffff8a">Adepte</c>.
<c val="ffff8a">使徒</c>的护盾提高<d ref="$UpgradeEffectArrayValue:AmplifiedShielding:Unit,Adept,ShieldsMax$"/>。	Aumenta gli scudi dell'<c val="ffff8a">Adepta</c> di <d ref="$UpgradeEffectArrayValue:AmplifiedShielding:Unit,Adept,ShieldsMax$"/>.
