非晶态装甲云	Blindagem Nebulosa Amorfa
将飓风的武器锁定在目标空中单位或空中建筑身上，在<d ref="Effect,LockOnAirCP,PeriodicPeriodArray[0] + Effect,LockOnAirCP,PeriodicPeriodArray[1] + Effect,LockOnAirCP,PeriodicPeriodArray[2] + Effect,LockOnAirCP,PeriodicPeriodArray[3] + Effect,LockOnAirCP,PeriodicPeriodArray[4] + Effect,LockOnAirCP,PeriodicPeriodArray[5] + Effect,LockOnAirCP,PeriodicPeriodArray[6] + Effect,LockOnAirCP,PeriodicPeriodArray[7] + Effect,LockOnAirCP,PeriodicPeriodArray[8] + Effect,LockOnAirCP,PeriodicPeriodArray[9] + Effect,LockOnAirCP,PeriodicPeriodArray[10] + Effect,LockOnAirCP,PeriodicPeriodArray[11] + Effect,LockOnAirCP,PeriodicPeriodArray[12] + Effect,LockOnAirCP,PeriodicPeriodArray[13] + Effect,LockOnAirCP,PeriodicPeriodArray[14] + Effect,LockOnAirCP,PeriodicPeriodArray[15] + Effect,LockOnAirCP,PeriodicPeriodArray[16] + Effect,LockOnAirCP,PeriodicPeriodArray[17] + Effect,LockOnAirCP,PeriodicPeriodArray[18] + Effect,LockOnAirCP,PeriodicPeriodArray[19] + Effect,LockOnAirCP,PeriodicPeriodArray[20] + Effect,LockOnAirCP,PeriodicPeriodArray[21] + Effect,LockOnAirCP,PeriodicPeriodArray[22]"/>秒内造成<d ref="Effect,LockOnAirCP,PeriodCount*Effect,CycloneAirWeaponDamage,Amount"/>点伤害（+<d ref="Effect,LockOnAirCP,PeriodCount * $UpgradeEffectArrayValue:ArmorPiercingRockets:Effect,CycloneAirWeaponDamage,AttributeBonus[Armored]$"/> vs 重甲单位）。前4次射击很快发射。可以在开火时移动。如果目标离开锁定范围，该技能将会取消。<n/><n/><c val="#ColorAttackInfo">无法锁定地面单位或地面建筑。</c>	Trava as armas do Ciclone na unidade ou estrutura aérea selecionada, causando <d ref="Effect,LockOnAirCP,PeriodCount*Effect,CycloneAirWeaponDamage,Amount"/> (+ <d ref="Effect,LockOnAirCP,PeriodCount * $UpgradeEffectArrayValue:ArmorPiercingRockets:Effect,CycloneAirWeaponDamage,AttributeBonus[Armored]$"/> contra alvos blindados) de dano ao longo de <d ref="Effect,LockOnAirCP,PeriodicPeriodArray[0] + Effect,LockOnAirCP,PeriodicPeriodArray[1] + Effect,LockOnAirCP,PeriodicPeriodArray[2] + Effect,LockOnAirCP,PeriodicPeriodArray[3] + Effect,LockOnAirCP,PeriodicPeriodArray[4] + Effect,LockOnAirCP,PeriodicPeriodArray[5] + Effect,LockOnAirCP,PeriodicPeriodArray[6] + Effect,LockOnAirCP,PeriodicPeriodArray[7] + Effect,LockOnAirCP,PeriodicPeriodArray[8] + Effect,LockOnAirCP,PeriodicPeriodArray[9] + Effect,LockOnAirCP,PeriodicPeriodArray[10] + Effect,LockOnAirCP,PeriodicPeriodArray[11] + Effect,LockOnAirCP,PeriodicPeriodArray[12] + Effect,LockOnAirCP,PeriodicPeriodArray[13] + Effect,LockOnAirCP,PeriodicPeriodArray[14] + Effect,LockOnAirCP,PeriodicPeriodArray[15] + Effect,LockOnAirCP,PeriodicPeriodArray[16] + Effect,LockOnAirCP,PeriodicPeriodArray[17] + Effect,LockOnAirCP,PeriodicPeriodArray[18] + Effect,LockOnAirCP,PeriodicPeriodArray[19] + Effect,LockOnAirCP,PeriodicPeriodArray[20] + Effect,LockOnAirCP,PeriodicPeriodArray[21] + Effect,LockOnAirCP,PeriodicPeriodArray[22]"/> s. Os quatro primeiros tiros são rápidos. Pode se mover enquanto dispara. É cancelado se o alvo sair do alcance.<n/><n/><c val="#ColorAttackInfo">Não pode alvejar unidades e estruturas terrestres.</c>
将飓风的武器锁定在目标空中单位或空中建筑身上，在<d ref="Effect,LockOnAirCP,PeriodicPeriodArray[0] + Effect,LockOnAirCP,PeriodicPeriodArray[1] + Effect,LockOnAirCP,PeriodicPeriodArray[2] + Effect,LockOnAirCP,PeriodicPeriodArray[3] + Effect,LockOnAirCP,PeriodicPeriodArray[4] + Effect,LockOnAirCP,PeriodicPeriodArray[5] + Effect,LockOnAirCP,PeriodicPeriodArray[6] + Effect,LockOnAirCP,PeriodicPeriodArray[7] + Effect,LockOnAirCP,PeriodicPeriodArray[8] + Effect,LockOnAirCP,PeriodicPeriodArray[9] + Effect,LockOnAirCP,PeriodicPeriodArray[10] + Effect,LockOnAirCP,PeriodicPeriodArray[11] + Effect,LockOnAirCP,PeriodicPeriodArray[12] + Effect,LockOnAirCP,PeriodicPeriodArray[13] + Effect,LockOnAirCP,PeriodicPeriodArray[14] + Effect,LockOnAirCP,PeriodicPeriodArray[15] + Effect,LockOnAirCP,PeriodicPeriodArray[16] + Effect,LockOnAirCP,PeriodicPeriodArray[17] + Effect,LockOnAirCP,PeriodicPeriodArray[18] + Effect,LockOnAirCP,PeriodicPeriodArray[19] + Effect,LockOnAirCP,PeriodicPeriodArray[20] + Effect,LockOnAirCP,PeriodicPeriodArray[21] + Effect,LockOnAirCP,PeriodicPeriodArray[22]"/>秒内造成<d ref="Effect,LockOnAirCP,PeriodCount*Effect,CycloneAirWeaponDamage,Amount"/>点伤害。前<c val="#ColorAttackInfo">12</c>次射击很快发射。可以在开火时移动。如果目标离开锁定范围，该技能将会取消。<n/><n/><c val="#ColorAttackInfo">无法锁定地面单位或地面建筑。</c>	Trava as armas do Ciclone na unidade ou estrutura aérea selecionada, causando <d ref="Effect,LockOnAirCP,PeriodCount*Effect,CycloneAirWeaponDamage,Amount"/> de dano ao longo de <d ref="Effect,LockOnAirCP,PeriodicPeriodArray[0] + Effect,LockOnAirCP,PeriodicPeriodArray[1] + Effect,LockOnAirCP,PeriodicPeriodArray[2] + Effect,LockOnAirCP,PeriodicPeriodArray[3] + Effect,LockOnAirCP,PeriodicPeriodArray[4] + Effect,LockOnAirCP,PeriodicPeriodArray[5] + Effect,LockOnAirCP,PeriodicPeriodArray[6] + Effect,LockOnAirCP,PeriodicPeriodArray[7] + Effect,LockOnAirCP,PeriodicPeriodArray[8] + Effect,LockOnAirCP,PeriodicPeriodArray[9] + Effect,LockOnAirCP,PeriodicPeriodArray[10] + Effect,LockOnAirCP,PeriodicPeriodArray[11] + Effect,LockOnAirCP,PeriodicPeriodArray[12] + Effect,LockOnAirCP,PeriodicPeriodArray[13] + Effect,LockOnAirCP,PeriodicPeriodArray[14] + Effect,LockOnAirCP,PeriodicPeriodArray[15] + Effect,LockOnAirCP,PeriodicPeriodArray[16] + Effect,LockOnAirCP,PeriodicPeriodArray[17] + Effect,LockOnAirCP,PeriodicPeriodArray[18] + Effect,LockOnAirCP,PeriodicPeriodArray[19] + Effect,LockOnAirCP,PeriodicPeriodArray[20] + Effect,LockOnAirCP,PeriodicPeriodArray[21] + Effect,LockOnAirCP,PeriodicPeriodArray[22]"/> s. Os <c val="#ColorAttackInfo">12</c> primeiros tiros são rápidos. Pode se mover enquanto dispara. É cancelado se o alvo sair do alcance.<n/><n/><c val="#ColorAttackInfo">Não pode alvejar unidades e estruturas terrestres.</c>
使飓风的武器锁定目标单位，对地面和空中单位在<d ref="Effect,LockOnCP,PeriodCount * Effect,LockOnCP,PeriodicPeriodArray[0]"/>秒内造成<d ref="Effect,LockOnCP,PeriodCount*Effect,CycloneWeaponDamage,Amount"/>点伤害(+400 vs. 重甲)。开火时可以移动。如果目标离开射程后则取消。	Trava as armas do Ciclone na unidade selecionada, causando <d ref="Effect,LockOnCP,PeriodCount*Effect,CycloneWeaponDamage,Amount"/> de dano (+400 contra Blindados) ao longo de <d ref="Effect,LockOnCP,PeriodCount * Effect,LockOnCP,PeriodicPeriodArray[0]"/> s a alvos terrestres e voadores. Pode se mover enquanto dispara. A trava é cancelada quando o alvo sai do alcance.
为潜伏者提供升级方案。<n/><n/><c val="ffff8a">开启：</c><n/>- 使刺蛇可以进化为潜伏者	Contém um aprimoramento para Furtivos.<n/><n/><c val="ffff8a">Ativa:</c><n/>- Furtivos a partir de Hidraliscas
矿物采集设备原型，工作效率高于SCV。矿骡的系统在持续工作<d time="90"/>后会瘫痪。	Protótipo de unidade coletora. Coleta minérios mais rapidamente que VCEs comuns. MULEs duram <d time="90"/> até seus sistemas falharem.
使<c val="ffff8a">飓风</c>的攻击射程+<d ref="$UpgradeEffectArrayValue:MagFieldLaunchers:Weapon,TyphoonMissilePod,Range$"/>。	Aumenta o alcance de ataque do <c val="ffff8a">Ciclone</c> em <d ref="$UpgradeEffectArrayValue:MagFieldLaunchers:Weapon,TyphoonMissilePod,Range$"/>.
将目标区域内的所有玩家单位传送至母舰。	Convoca todas as unidades do jogador na área-alvo para a Nave-mãe.
提高医疗运输机的移动速度，持续<d ref="Behavior,MedivacSpeedBoost,Duration"/>秒。	Aumenta a velocidade de movimento das Ambunaves por <d ref="Behavior,MedivacSpeedBoost,Duration"/> s.
使目标孵化场、虫穴或主巢在<d ref="Behavior,QueenSpawnLarvaTimer,Duration"/>秒内孵化<d ref="Effect,SpawnMutantLarvaApplySpawnBehavior,Count"/>只幼虫。如果孵化场、虫穴或主巢现有幼虫数量超过3只，则会停止常规的幼虫孵化，直至数量少于3只。当目标已经在孵化额外的幼虫时，这一效果会叠加并进入队列。	A Incubadora, o Antro ou a Colmeia alvejada gera <d ref="Effect,SpawnMutantLarvaApplySpawnBehavior,Count"/> Larvas em <d ref="Behavior,QueenSpawnLarvaTimer,Duration"/> segundos. Se a Incubadora, o Antro ou a Colmeia tiver mais de 3 Larvas ao mesmo tempo, a produção regular de Larvas cessará até haver menos de 3 Larvas. Isso acumulará e entrará em fila se o alvo já estiver gerando larvas adicionais.
升级为母舰。可以使用光子超载、群体召回和时间扭曲技能。使附近的单位和建筑隐形。	Aprimora-se em Nave-mãe. Pode usar Sobrecarga de Fótons, Convocação em Massa e Transdobra Temporal. Camufla unidades e estruturas próximas.
把侦测器变形为标准的侦测器模式。使其能够随意移动，但视野范围会变小。	Coloca o Vigia no Modo Vigia padrão. Permite que o Vigia se mova, mas com raio de visão reduzido.
把侦测器变形为监察模式。视野提高<d ref="(Unit,ObserverSiegeMode,Sight/Unit,Observer,Sight-1)*100"/>%，但无法移动。	Coloca o Vigia no Modo de Observação. O Vigia recebe visão <d ref="(Unit,ObserverSiegeMode,Sight/Unit,Observer,Sight-1)*100"/>% mais ampla, mas perde a capacidade de se mover.
开启王虫运输单位的能力。	Permite que o Suserano transporte unidades.
恢复眼虫的移动能力，并使其视野回到正常范围。	Restaura a capacidade de movimentação do Supervigia e faz sua visão voltar ao raio normal.
使眼虫的视野范围扩大<d ref="(Unit,OverseerSiegeMode,Sight/Unit,Overseer,Sight-1)*100"/>% ，但失去移动能力。该技能在激活后可以取消。	Concede ao Supervigia visão <d ref="(Unit,OverseerSiegeMode,Sight/Unit,Overseer,Sight-1)*100"/>% mais ampla, mas remove sua capacidade de se mover. Essa habilidade pode ser cancelada depois da ativação.
终极星灵战舰。能够使用战术召回和时间扭曲技能。使附近的友方单位和建筑隐形。<n/><n/><c val="ffff8a">可以对地和对空。</c>	Nave suprema protoss. Pode usar as habilidades Chamado Estratégico e Transdobra Temporal. Camufla unidades e estruturas próximas.<n/><n/><c val="ffff8a">Ataca unidades terrestres e aéreas.</c>
为目标水晶塔的心能水晶充能，使其变成一个威力巨大的武器，能造成<d ref="Effect,MothershipCoreWeaponDamage,Amount[0]"/>点伤害，持续<d ref="Behavior,Purify,Duration[0]"/>秒。	Energiza o cristal khaydarin do Pilar Energético alvejado, transformando-o por <d ref="Behavior,Purify,Duration[0]"/> s em uma poderosa arma de longo alcance que causa <d ref="Effect,MothershipCoreWeaponDamage,Amount[0]"/> de dano.
目标单位被感染者控制，持续<d ref="Behavior,NeuralParasite,Duration"/>秒。感染者在控制期间无法进行其他动作。<n/><n/><c val="ffff8a">该技能需要引导。可以在潜地时施放。</c><n/><c val="#ColorAttackInfo">英雄单位免疫。</c>	A unidade-alvo é controlada pelo Infestador por <d ref="Behavior,NeuralParasite,Duration"/> s. O Infestador não pode executar outras ações enquanto controla uma unidade inimiga.<n/><n/><c val="ffff8a">Habilidade de canalização. Pode ser lançada enquanto entocado.</c><n/><c val="#ColorAttackInfo">Unidades Heroicas são imunes.</c>
基础建筑，用于接收采集到的资源。可以使用时空提速、群体召回技能。<n/><n/><c val="ffff8a">开启：</c><n/>- 探机<n/>- 母舰	Estrutura principal. Recebe recursos extraídos. Usa as habilidades Reforço Temporal e Convocação em Massa. <n/><n/><c val="ffff8a">Habilita:</c><n/>- Sondas<n/>- Nave-mãe
将目标区域内所有该玩家的单位召回至星灵枢纽。	Reconvoca todas as unidades do jogador na área-alvo para o Nexus.
星灵枢纽会自动使用能量来恢复附近单位的护盾。	O Nexus usa energia para restaurar os escudos de unidades próximas automaticamente.
星灵枢纽不再自动把友方单位设为目标。	O Nexus não restaura mais unidades aliadas automaticamente.
为目标单位或建筑恢复护盾。<n/><n/><c val="ffff8a">每恢复<d ref="Effect,NexusShieldRechargeShield,VitalArray[Shields].Change"/>点护盾消耗1点能量。 </c>	Restaura escudos da unidade ou estrutura-alvo.<n/><n/><c val="ffff8a">Custa 1 de energia para cada <d ref="Effect,NexusShieldRechargeShield,VitalArray[Shields].Change"/> escudos restaurados.</c>
为目标水晶塔的凯达琳水晶充能，把它变成可以为友方单位恢复护盾的建筑，持续<d ref="Behavior,NexusShieldRechargeOnPylonBehavior,Duration[0]"/> 秒。	Energiza o cristal khaydarino do Pilar Energético alvejado, transformando-o em uma estrutura que restaura escudos de unidades aliadas por <d ref="Behavior,NexusShieldRechargeOnPylonBehavior,Duration[0]"/> segundos.
坑道虫在从地面钻出时拥有<d ref="Behavior,NydusWormArmor,Modification.LifeArmorBonus+1"/>点护甲。	Vermes Nydus têm <d ref="Behavior,NydusWormArmor,Modification.LifeArmorBonus+1"/> de blindagem quando surgem do chão.
在目标位置放置一个隐形的静滞结界，持续<d ref="Behavior,StasisWardTimedLife,Duration"/>秒。一旦被一个敌方地面单位触发，该结界将使附近的敌方单位陷入静滞状态，持续<d ref="Behavior,OracleStasisTrapTarget,Duration"/>秒。被困住的单位无法被攻击或被技能影响。	Coloca uma Proteção de Estase camuflado no local selecionado que dura <d ref="Behavior,StasisWardTimedLife,Duration"/> s. Ao ser ativado por uma unidade terrestre inimiga, o campo prende a unidade em estase por <d ref="Behavior,OracleStasisTrapTarget,Duration"/> s. Unidades presas não podem ser atacadas nem afetadas por habilidades.
高级空中侦察单位。 能够维持王虫形态时所控制的单位上限。可以使用超距视界、孵化拟态雏虫和污染技能。<n/><n/><c val="FFE303">侦测单位</c>	Observador aéreo avançado. Mantém o limite de unidades definido pelo Suserano. Pode utilizar as habilidades Vigilância, Gerar Mutano e Contaminar.<n/><n/><c val="FFE303">Detector</c>
生成一团寄生云，在<d ref="Behavior,ParasiticBomb,Duration"/>秒内对目标和附近的敌方空中单位造成<d ref="Behavior,ParasiticBomb,Duration/Behavior,ParasiticBomb,Period*Effect,ParasiticBombDotDamage,Amount"/>点伤害。如果目标死亡，寄生云会在敌人的死亡位置一直存在直至消失。<n/><n/><c val="#ColorAttackInfo">无法选择地面单位或建筑作为目标。</c>	Cria uma nuvem parasítica que causa <d ref="Behavior,ParasiticBomb,Duration/Behavior,ParasiticBomb,Period*Effect,ParasiticBombDotDamage,Amount"/> de dano ao longo de <d ref="Behavior,ParasiticBomb,Duration"/> segundos ao alvo e às unidades aéreas inimigas próximas. Se o alvo morrer, a nuvem permanecerá sobre o local onde o inimigo morreu até expirar.<n/><n/><c val="#ColorAttackInfo">Não pode alvejar unidades terrestres nem estruturas.</c>
自动防御激光，可以拦截敌军导弹。无法拦截特殊攻击。<n/><n/><c val="f078ff">每次拦截消耗10点能量。</c>	Laser defensivo automático que intercepta vários projéteis inimigos. Não intercepta ataques especiais.<n/><n/><c val="f078ff">Cada disparo consome 10 de energia.</c>
强化狂热者的冲锋，对被冲锋目标造成<d ref="Effect,ChargingDamage,Amount"/>点伤害。	Melhora a Investida do Fanáticus, causando <d ref="Effect,ChargingDamage,Amount"/> de dano ao alvo.
发射一枚能量球，持续<d ref="Behavior,PurificationNovaTargettedTarget,Duration"/>秒，并产生一道强力的能量新星，对附近的地面单位和建筑造成<d ref="Effect,PurificationNovaDamage,Amount"/>点溅射伤害和额外<d ref="Effect,PurificationNovaDamage,ShieldBonus"/>点对护盾的伤害。干扰者在激活该技能的时候无法移动。	Emite uma bola de energia que dura <d ref="Behavior,PurificationNovaTargettedTarget,Duration"/> segundos e emite uma nova poderosa que causa <d ref="Effect,PurificationNovaDamage,Amount"/> de dano colateral e dano de escudo adicional de <d ref="Effect,PurificationNovaDamage,ShieldBonus"/> às unidades terrestres e estruturas próximas. O Disruptor fica imóvel enquanto esse efeito está ativo.
医疗运输机的后燃推进系统的冷却时间缩短<d time="[d ref='$UpgradeEffectArrayValue:MedivacIncreaseSpeedBoost:Abil,MedivacSpeedBoost,Cost[0].Cooldown.TimeUse$'/]"/>秒，提高医疗运输机的移动速度。	Reduz em <d time="[d ref='$UpgradeEffectArrayValue:MedivacIncreaseSpeedBoost:Abil,MedivacSpeedBoost,Cost[0].Cooldown.TimeUse$'/]"/> a recarga da Ignição Pós-combustão e aumenta a velocidade de movimento das Ambunaves.
空中支援单位。能够使用自动机炮、干扰矩阵、和反护甲飞弹。<n/><n/><c val="FFE303">侦测单位</c>	Unidade de apoio aéreo. Pode utilizar torre de artilharia automatizada, Matriz de Interferência e Míssil Antiblindagem.<n/><n/><c val="FFE303">Detector</c>
铁鸦的反护甲飞弹的爆炸范围扩大20%，追踪距离扩大50%。	Aumenta o raio da explosão do Míssil Antiblindagem do Corvo em 20% e seu alcance de rastreamento em 50%.
猎杀飞弹的伤害提高30%，追击距离扩大50%。	Aumenta em 30% o dano e em 50% o alcance de rastreamento do Míssil Teleguiado.
修理周围的友方机械单位，持续<d ref="Behavior,RavenRepairDroneTimedLife,Duration"/>秒。	Conserta unidades mecânicas aliadas próximas por <d ref="Behavior,RavenRepairDroneTimedLife,Duration"/> s.
修理一个友方机械目标。<n/><n/><c val="f078ff">每1点能量恢复<d ref="Effect,RavenRepairDroneHeal,RechargeVitalRate*Effect,RavenRepairDroneHeal,DrainVitalCostFactor"/>点生命值。</c>	Conserta um alvo mecânico aliado.<n/><n/><c val="f078ff">Cura <d ref="Effect,RavenRepairDroneHeal,RechargeVitalRate*Effect,RavenRepairDroneHeal,DrainVitalCostFactor"/> de Vida por ponto de energia.</c>
<c val="ffff8a">铁鸦</c>的反护甲飞弹的爆炸范围扩大20%，追踪距离扩大50%。	Aumenta o raio da explosão do Míssil Antiblindagem do <c val="ffff8a">Corvo</c> em 20% e seu alcance de rastreamento em 50%.
令一个目标单位瘫痪，使其无法攻击和使用技能，持续<d ref="Behavior,RavenScramblerMissile,Duration"/>秒。暴露隐形单位。<n/><n/><c val="#ColorAttackInfo">可以对机械单位和灵能单位使用。</c>	Desabilita uma unidade-alvo, tornando-a incapaz de atacar ou usar habilidades por <d ref="Behavior,RavenScramblerMissile,Duration"/> s. Revela unidades camufladas.<n/><n/><c val="#ColorAttackInfo">Pode alvejar unidades mecânicas e psiônicas.</c>
部署一枚飞弹追踪目标单位，在接触后削减受影响单位的护甲和护盾<d ref="Behavior,RavenShredderMissileArmorReduction,DamageResponse.ModifyAmount"/>点，持续<d ref="Behavior,RavenShredderMissileArmorReduction,Duration"/> 秒。	Dispara um míssil que persegue a unidade-alvo, reduzindo a blindagem e o escudo das unidades afetadas em <d ref="Behavior,RavenShredderMissileArmorReduction,DamageResponse.ModifyAmount"/> por <d ref="Behavior,RavenShredderMissileArmorReduction,Duration"/> s ao entrar em contato.
