非晶态装甲云	Amorphe Deckungswolke
将飓风的武器锁定在目标空中单位或空中建筑身上，在<d ref="Effect,LockOnAirCP,PeriodicPeriodArray[0] + Effect,LockOnAirCP,PeriodicPeriodArray[1] + Effect,LockOnAirCP,PeriodicPeriodArray[2] + Effect,LockOnAirCP,PeriodicPeriodArray[3] + Effect,LockOnAirCP,PeriodicPeriodArray[4] + Effect,LockOnAirCP,PeriodicPeriodArray[5] + Effect,LockOnAirCP,PeriodicPeriodArray[6] + Effect,LockOnAirCP,PeriodicPeriodArray[7] + Effect,LockOnAirCP,PeriodicPeriodArray[8] + Effect,LockOnAirCP,PeriodicPeriodArray[9] + Effect,LockOnAirCP,PeriodicPeriodArray[10] + Effect,LockOnAirCP,PeriodicPeriodArray[11] + Effect,LockOnAirCP,PeriodicPeriodArray[12] + Effect,LockOnAirCP,PeriodicPeriodArray[13] + Effect,LockOnAirCP,PeriodicPeriodArray[14] + Effect,LockOnAirCP,PeriodicPeriodArray[15] + Effect,LockOnAirCP,PeriodicPeriodArray[16] + Effect,LockOnAirCP,PeriodicPeriodArray[17] + Effect,LockOnAirCP,PeriodicPeriodArray[18] + Effect,LockOnAirCP,PeriodicPeriodArray[19] + Effect,LockOnAirCP,PeriodicPeriodArray[20] + Effect,LockOnAirCP,PeriodicPeriodArray[21] + Effect,LockOnAirCP,PeriodicPeriodArray[22]"/>秒内造成<d ref="Effect,LockOnAirCP,PeriodCount*Effect,CycloneAirWeaponDamage,Amount"/>点伤害（+<d ref="Effect,LockOnAirCP,PeriodCount * $UpgradeEffectArrayValue:ArmorPiercingRockets:Effect,CycloneAirWeaponDamage,AttributeBonus[Armored]$"/> vs 重甲单位）。前4次射击很快发射。可以在开火时移动。如果目标离开锁定范围，该技能将会取消。<n/><n/><c val="#ColorAttackInfo">无法锁定地面单位或地面建筑。</c>	Nimmt eine Lufteinheit oder ein fliegendes Gebäude ins Visier. Verursacht im Verlauf von <d ref="Effect,LockOnAirCP,PeriodicPeriodArray[0] + Effect,LockOnAirCP,PeriodicPeriodArray[1] + Effect,LockOnAirCP,PeriodicPeriodArray[2] + Effect,LockOnAirCP,PeriodicPeriodArray[3] + Effect,LockOnAirCP,PeriodicPeriodArray[4] + Effect,LockOnAirCP,PeriodicPeriodArray[5] + Effect,LockOnAirCP,PeriodicPeriodArray[6] + Effect,LockOnAirCP,PeriodicPeriodArray[7] + Effect,LockOnAirCP,PeriodicPeriodArray[8] + Effect,LockOnAirCP,PeriodicPeriodArray[9] + Effect,LockOnAirCP,PeriodicPeriodArray[10] + Effect,LockOnAirCP,PeriodicPeriodArray[11] + Effect,LockOnAirCP,PeriodicPeriodArray[12] + Effect,LockOnAirCP,PeriodicPeriodArray[13] + Effect,LockOnAirCP,PeriodicPeriodArray[14] + Effect,LockOnAirCP,PeriodicPeriodArray[15] + Effect,LockOnAirCP,PeriodicPeriodArray[16] + Effect,LockOnAirCP,PeriodicPeriodArray[17] + Effect,LockOnAirCP,PeriodicPeriodArray[18] + Effect,LockOnAirCP,PeriodicPeriodArray[19] + Effect,LockOnAirCP,PeriodicPeriodArray[20] + Effect,LockOnAirCP,PeriodicPeriodArray[21] + Effect,LockOnAirCP,PeriodicPeriodArray[22]"/> Sek. <d ref="Effect,LockOnAirCP,PeriodCount*Effect,CycloneAirWeaponDamage,Amount"/> Schaden (+<d ref="Effect,LockOnAirCP,PeriodCount * $UpgradeEffectArrayValue:ArmorPiercingRockets:Effect,CycloneAirWeaponDamage,AttributeBonus[Armored]$"/> Bonusschaden gegen gepanzerte Einheiten). Gibt die ersten vier Schüsse besonders schnell ab. Kann sich beim Feuern bewegen. Wird abgebrochen, wenn das Ziel außer Reichweite gelangt.<n/><n/><c val="#ColorAttackInfo">Kann keine Bodeneinheiten oder Gebäude am Boden anvisieren.</c>
将飓风的武器锁定在目标空中单位或空中建筑身上，在<d ref="Effect,LockOnAirCP,PeriodicPeriodArray[0] + Effect,LockOnAirCP,PeriodicPeriodArray[1] + Effect,LockOnAirCP,PeriodicPeriodArray[2] + Effect,LockOnAirCP,PeriodicPeriodArray[3] + Effect,LockOnAirCP,PeriodicPeriodArray[4] + Effect,LockOnAirCP,PeriodicPeriodArray[5] + Effect,LockOnAirCP,PeriodicPeriodArray[6] + Effect,LockOnAirCP,PeriodicPeriodArray[7] + Effect,LockOnAirCP,PeriodicPeriodArray[8] + Effect,LockOnAirCP,PeriodicPeriodArray[9] + Effect,LockOnAirCP,PeriodicPeriodArray[10] + Effect,LockOnAirCP,PeriodicPeriodArray[11] + Effect,LockOnAirCP,PeriodicPeriodArray[12] + Effect,LockOnAirCP,PeriodicPeriodArray[13] + Effect,LockOnAirCP,PeriodicPeriodArray[14] + Effect,LockOnAirCP,PeriodicPeriodArray[15] + Effect,LockOnAirCP,PeriodicPeriodArray[16] + Effect,LockOnAirCP,PeriodicPeriodArray[17] + Effect,LockOnAirCP,PeriodicPeriodArray[18] + Effect,LockOnAirCP,PeriodicPeriodArray[19] + Effect,LockOnAirCP,PeriodicPeriodArray[20] + Effect,LockOnAirCP,PeriodicPeriodArray[21] + Effect,LockOnAirCP,PeriodicPeriodArray[22]"/>秒内造成<d ref="Effect,LockOnAirCP,PeriodCount*Effect,CycloneAirWeaponDamage,Amount"/>点伤害。前<c val="#ColorAttackInfo">12</c>次射击很快发射。可以在开火时移动。如果目标离开锁定范围，该技能将会取消。<n/><n/><c val="#ColorAttackInfo">无法锁定地面单位或地面建筑。</c>	Nimmt eine Lufteinheit oder ein fliegendes Gebäude ins Visier. Verursacht im Verlauf von <d ref="Effect,LockOnAirCP,PeriodicPeriodArray[0] + Effect,LockOnAirCP,PeriodicPeriodArray[1] + Effect,LockOnAirCP,PeriodicPeriodArray[2] + Effect,LockOnAirCP,PeriodicPeriodArray[3] + Effect,LockOnAirCP,PeriodicPeriodArray[4] + Effect,LockOnAirCP,PeriodicPeriodArray[5] + Effect,LockOnAirCP,PeriodicPeriodArray[6] + Effect,LockOnAirCP,PeriodicPeriodArray[7] + Effect,LockOnAirCP,PeriodicPeriodArray[8] + Effect,LockOnAirCP,PeriodicPeriodArray[9] + Effect,LockOnAirCP,PeriodicPeriodArray[10] + Effect,LockOnAirCP,PeriodicPeriodArray[11] + Effect,LockOnAirCP,PeriodicPeriodArray[12] + Effect,LockOnAirCP,PeriodicPeriodArray[13] + Effect,LockOnAirCP,PeriodicPeriodArray[14] + Effect,LockOnAirCP,PeriodicPeriodArray[15] + Effect,LockOnAirCP,PeriodicPeriodArray[16] + Effect,LockOnAirCP,PeriodicPeriodArray[17] + Effect,LockOnAirCP,PeriodicPeriodArray[18] + Effect,LockOnAirCP,PeriodicPeriodArray[19] + Effect,LockOnAirCP,PeriodicPeriodArray[20] + Effect,LockOnAirCP,PeriodicPeriodArray[21] + Effect,LockOnAirCP,PeriodicPeriodArray[22]"/> Sek. <d ref="Effect,LockOnAirCP,PeriodCount*Effect,CycloneAirWeaponDamage,Amount"/> Schaden. Die ersten <c val="#ColorAttackInfo">12</c> Schüsse werden schnell abgefeuert. Kann sich beim Feuern bewegen. Wird abgebrochen, wenn das Ziel außer Reichweite gelangt.<n/><n/><c val="#ColorAttackInfo">Kann keine Bodeneinheiten oder Gebäude am Boden anvisieren.</c>
使飓风的武器锁定目标单位，对地面和空中单位在<d ref="Effect,LockOnCP,PeriodCount * Effect,LockOnCP,PeriodicPeriodArray[0]"/>秒内造成<d ref="Effect,LockOnCP,PeriodCount*Effect,CycloneWeaponDamage,Amount"/>点伤害(+400 vs. 重甲)。开火时可以移动。如果目标离开射程后则取消。	Nimmt eine Boden- oder Lufteinheit ins Visier. Verursacht im Verlauf von <d ref="Effect,LockOnCP,PeriodCount * Effect,LockOnCP,PeriodicPeriodArray[0]"/> Sek. <d ref="Effect,LockOnCP,PeriodCount*Effect,CycloneWeaponDamage,Amount"/> (+400 gegen gepanzerte Einheiten) Schaden. Kann sich beim Feuern bewegen. Wird abgebrochen, wenn das Ziel außer Reichweite gelangt.
为潜伏者提供升级方案。<n/><n/><c val="ffff8a">开启：</c><n/>- 使刺蛇可以进化为潜伏者	Bietet Upgrademöglichkeiten für Schleicher.<n/><n/><c val="ffff8a">Ermöglicht:</c><n/>- Schleicher aus Hydralisken
矿物采集设备原型，工作效率高于SCV。矿骡的系统在持续工作<d time="90"/>后会瘫痪。	Abbaueinheitenprototyp. Baut Mineralien schneller ab als normale WBFs. M.U.L.E.s halten <d time="90"/>, bevor ihre Systeme versagen.
使<c val="ffff8a">飓风</c>的攻击射程+<d ref="$UpgradeEffectArrayValue:MagFieldLaunchers:Weapon,TyphoonMissilePod,Range$"/>。	Erhöht die Angriffsreichweite von <c val="ffff8a">Zyklonen</c> um <d ref="$UpgradeEffectArrayValue:MagFieldLaunchers:Weapon,TyphoonMissilePod,Range$"/>.
将目标区域内的所有玩家单位传送至母舰。	Teleportiert alle Einheiten des Spielers im Zielgebiet zum Mutterschiff.
提高医疗运输机的移动速度，持续<d ref="Behavior,MedivacSpeedBoost,Duration"/>秒。	Erhöht die Bewegungsgeschwindigkeit des Medivacs <d ref="Behavior,MedivacSpeedBoost,Duration"/> Sek. lang.
使目标孵化场、虫穴或主巢在<d ref="Behavior,QueenSpawnLarvaTimer,Duration"/>秒内孵化<d ref="Effect,SpawnMutantLarvaApplySpawnBehavior,Count"/>只幼虫。如果孵化场、虫穴或主巢现有幼虫数量超过3只，则会停止常规的幼虫孵化，直至数量少于3只。当目标已经在孵化额外的幼虫时，这一效果会叠加并进入队列。	Brutstätte, Bau oder Schwarmstock auswählen, um <d ref="Effect,SpawnMutantLarvaApplySpawnBehavior,Count"/> Larven in <d ref="Behavior,QueenSpawnLarvaTimer,Duration"/> Sek. zu erschaffen. Wenn Brutstätte, Bau oder Schwarmstock mehr als 3 Larven haben, wird die normale Larvenproduktion angehalten, bis weniger als 3 Larven vorhanden sind. Dies ist stapelbar und wird eingereiht, wenn das Ziel bereits zusätzliche Larven erschafft.
升级为母舰。可以使用光子超载、群体召回和时间扭曲技能。使附近的单位和建筑隐形。	Zu Mutterschiff ausbauen. Kann die Fähigkeiten "Photonenüberladung", "Massenrückruf" und "Zeitkrümmung" einsetzen. Tarnt Einheiten und Gebäude in der Nähe.
把侦测器变形为标准的侦测器模式。使其能够随意移动，但视野范围会变小。	Transformiert den Beobachter in den normalen Beobachtermodus. Der Beobachter kann sich wieder bewegen, dabei wird jedoch der Sichtradius verringert.
把侦测器变形为监察模式。视野提高<d ref="(Unit,ObserverSiegeMode,Sight/Unit,Observer,Sight-1)*100"/>%，但无法移动。	Transformiert den Beobachter in den Überwachungsmodus. Der Sichtradius des Beobachters wird um <d ref="(Unit,ObserverSiegeMode,Sight/Unit,Observer,Sight-1)*100"/>% erhöht, er kann sich jedoch nicht mehr bewegen.
开启王虫运输单位的能力。	Ermöglicht es dem Overlord, Einheiten zu transportieren.
恢复眼虫的移动能力，并使其视野回到正常范围。	Macht den Overseer wieder beweglich und verringert seinen Sichtradius auf normale Weite.
使眼虫的视野范围扩大<d ref="(Unit,OverseerSiegeMode,Sight/Unit,Overseer,Sight-1)*100"/>% ，但失去移动能力。该技能在激活后可以取消。	Erhöht den Sichtradius des Overseers um <d ref="(Unit,OverseerSiegeMode,Sight/Unit,Overseer,Sight-1)*100"/>%, macht ihn jedoch unbeweglich. Diese Fähigkeit kann wieder deaktiviert werden.
终极星灵战舰。能够使用战术召回和时间扭曲技能。使附近的友方单位和建筑隐形。<n/><n/><c val="ffff8a">可以对地和对空。</c>	Ultimatives Protoss-Schiff. Kann die Fähigkeiten "Strategischer Rückruf" und "Zeitkrümmung" einsetzen. Tarnt verbündete Einheiten und Gebäude in der Nähe.<n/><n/><c val="ffff8a">Kann Boden- und Lufteinheiten angreifen.</c>
为目标水晶塔的心能水晶充能，使其变成一个威力巨大的武器，能造成<d ref="Effect,MothershipCoreWeaponDamage,Amount[0]"/>点伤害，持续<d ref="Behavior,Purify,Duration[0]"/>秒。	Energetisiert den Khaydarin-Kristall des anvisierten Pylons und gewährt ihm <d ref="Behavior,Purify,Duration[0]"/> Sek. lang eine mächtige Langstreckenwaffe, die <d ref="Effect,MothershipCoreWeaponDamage,Amount[0]"/> Schaden verursacht.
目标单位被感染者控制，持续<d ref="Behavior,NeuralParasite,Duration"/>秒。感染者在控制期间无法进行其他动作。<n/><n/><c val="ffff8a">该技能需要引导。可以在潜地时施放。</c><n/><c val="#ColorAttackInfo">英雄单位免疫。</c>	Die Zieleinheit wird <d ref="Behavior,NeuralParasite,Duration"/> Sek. lang vom Verseucher kontrolliert. Der Verseucher kann währenddessen keine anderen Aktionen ausführen.<n/><n/><c val="ffff8a">Kanalisierte Fähigkeit. Kann im eingegrabenen Zustand eingesetzt werden.</c><n/><c val="#ColorAttackInfo">Heroische Einheiten sind dagegen immun.</c>
基础建筑，用于接收采集到的资源。可以使用时空提速、群体召回技能。<n/><n/><c val="ffff8a">开启：</c><n/>- 探机<n/>- 母舰	Hauptgebäude. Dient als Abgabestelle für abgebaute Ressourcen. Kann die Fähigkeiten "Zeitschleife" und "Massenrückruf" einsetzen.<n/><n/><c val="ffff8a">Ermöglicht:</c><n/>- Sonden<n/>- Mutterschiff
将目标区域内所有该玩家的单位召回至星灵枢纽。	Teleportiert alle Einheiten des Spielers im Zielgebiet zum Nexus.
星灵枢纽会自动使用能量来恢复附近单位的护盾。	Der Nexus wendet automatisch Energie auf, um die Schilde verbündeter Einheiten in der Nähe aufzuladen.
星灵枢纽不再自动把友方单位设为目标。	Der Nexus wählt nicht mehr automatisch Ziele zum Aufladen der Schilde aus.
为目标单位或建筑恢复护盾。<n/><n/><c val="ffff8a">每恢复<d ref="Effect,NexusShieldRechargeShield,VitalArray[Shields].Change"/>点护盾消耗1点能量。 </c>	Stellt die Schildpunkte der Zieleinheit oder des Zielgebäudes wieder her.<n/><n/><c val="ffff8a">Kostet 1 Energie pro <d ref="Effect,NexusShieldRechargeShield,VitalArray[Shields].Change"/> wiederhergestellte Schildpunkte.</c>
为目标水晶塔的凯达琳水晶充能，把它变成可以为友方单位恢复护盾的建筑，持续<d ref="Behavior,NexusShieldRechargeOnPylonBehavior,Duration[0]"/> 秒。	Energetisiert den Khaydarin-Kristall des anvisierten Pylons und lässt ihn <d ref="Behavior,NexusShieldRechargeOnPylonBehavior,Duration[0]"/> Sek. lang die Schilde verbündeter Einheiten aufladen.
坑道虫在从地面钻出时拥有<d ref="Behavior,NydusWormArmor,Modification.LifeArmorBonus+1"/>点护甲。	Nyduswürmer haben <d ref="Behavior,NydusWormArmor,Modification.LifeArmorBonus+1"/> Panzerung, wenn sie aus dem Erdboden hervorstoßen.
在目标位置放置一个隐形的静滞结界，持续<d ref="Behavior,StasisWardTimedLife,Duration"/>秒。一旦被一个敌方地面单位触发，该结界将使附近的敌方单位陷入静滞状态，持续<d ref="Behavior,OracleStasisTrapTarget,Duration"/>秒。被困住的单位无法被攻击或被技能影响。	Platziert eine getarnte Stasisfalle am Zielort, die <d ref="Behavior,StasisWardTimedLife,Duration"/> Sek. lang anhält. Wenn sie von einer feindlichen Bodeneinheit ausgelöst wird, werden alle Gegner in der Nähe <d ref="Behavior,OracleStasisTrapTarget,Duration"/> Sek. lang in Stasis versetzt. Auf diese Weise gefangene Einheiten können weder angegriffen noch von Fähigkeiten getroffen werden.
高级空中侦察单位。 能够维持王虫形态时所控制的单位上限。可以使用超距视界、孵化拟态雏虫和污染技能。<n/><n/><c val="FFE303">侦测单位</c>	Fortgeschrittene Luftüberwachungseinheit. Bietet dieselbe Versorgung wie der Overlord. Kann die Fähigkeiten "Spionage", "Formling erschaffen" und "Kontamination" einsetzen.<n/><n/><c val="FFE303">Detektor</c>
生成一团寄生云，在<d ref="Behavior,ParasiticBomb,Duration"/>秒内对目标和附近的敌方空中单位造成<d ref="Behavior,ParasiticBomb,Duration/Behavior,ParasiticBomb,Period*Effect,ParasiticBombDotDamage,Amount"/>点伤害。如果目标死亡，寄生云会在敌人的死亡位置一直存在直至消失。<n/><n/><c val="#ColorAttackInfo">无法选择地面单位或建筑作为目标。</c>	Erschafft eine Parasitenwolke, die dem Ziel sowie gegnerischen Lufteinheiten in der Nähe im Verlauf von <d ref="Behavior,ParasiticBomb,Duration"/> Sek. <d ref="Behavior,ParasiticBomb,Duration/Behavior,ParasiticBomb,Period*Effect,ParasiticBombDotDamage,Amount"/> Schaden zufügt. Wenn das Ziel stirbt, verbleibt die Wolke für den Rest ihrer Dauer am entsprechenden Todesort.<n/><n/><c val="#ColorAttackInfo">Kann keine Bodeneinheiten oder Gebäude anvisieren.</c>
自动防御激光，可以拦截敌军导弹。无法拦截特殊攻击。<n/><n/><c val="f078ff">每次拦截消耗10点能量。</c>	Automatischer Verteidigungslaser, der gegnerische Projektile abfängt. Wirkt sich nicht auf Spezialangriffe aus.<n/><n/><c val="f078ff">Jeder Schuss verbraucht 10 Energie.</c>
强化狂热者的冲锋，对被冲锋目标造成<d ref="Effect,ChargingDamage,Amount"/>点伤害。	Verbessert den Sturmangriff von Berserkern, sodass er dem Ziel <d ref="Effect,ChargingDamage,Amount"/> Schaden zufügt.
发射一枚能量球，持续<d ref="Behavior,PurificationNovaTargettedTarget,Duration"/>秒，并产生一道强力的能量新星，对附近的地面单位和建筑造成<d ref="Effect,PurificationNovaDamage,Amount"/>点溅射伤害和额外<d ref="Effect,PurificationNovaDamage,ShieldBonus"/>点对护盾的伤害。干扰者在激活该技能的时候无法移动。	Feuert eine Energiesphäre ab, die <d ref="Behavior,PurificationNovaTargettedTarget,Duration"/> Sek. lang bestehen bleibt und eine mächtige Nova abgibt, die allen Bodeneinheiten und Gebäuden im Wirkungsbereich <d ref="Effect,PurificationNovaDamage,Amount"/> Flächenschaden und zusätzlich <d ref="Effect,PurificationNovaDamage,ShieldBonus"/> Schildschaden zufügt. Der Disruptor ist während dieser Zeit unbeweglich.
医疗运输机的后燃推进系统的冷却时间缩短<d time="[d ref='$UpgradeEffectArrayValue:MedivacIncreaseSpeedBoost:Abil,MedivacSpeedBoost,Cost[0].Cooldown.TimeUse$'/]"/>秒，提高医疗运输机的移动速度。	Verringert die Abklingzeit der Nachbrenner von Medivacs um <d time="[d ref='$UpgradeEffectArrayValue:MedivacIncreaseSpeedBoost:Abil,MedivacSpeedBoost,Cost[0].Cooldown.TimeUse$'/]"/> und erhöht die Bewegungsgeschwindigkeit von Medivacs.
空中支援单位。能够使用自动机炮、干扰矩阵、和反护甲飞弹。<n/><n/><c val="FFE303">侦测单位</c>	Fliegende Unterstützungseinheit. Kann die Fähigkeiten "Automatischer Geschützturm", "Störmatrix" und "Panzerabwehrrakete" einsetzen.<n/><n/><c val="FFE303">Detektor</c>
铁鸦的反护甲飞弹的爆炸范围扩大20%，追踪距离扩大50%。	Erhöht den Explosionsradius der Panzerabwehrrakete des Raven um 20% und ihre Verfolgungsreichweite um 50%.
猎杀飞弹的伤害提高30%，追击距离扩大50%。	Erhöht den Schaden der zielsuchenden Raketen um 30% und ihre Verfolgungsreichweite um 50%.
修理周围的友方机械单位，持续<d ref="Behavior,RavenRepairDroneTimedLife,Duration"/>秒。	Repariert verbündete mechanische Einheiten <d ref="Behavior,RavenRepairDroneTimedLife,Duration"/> Sek. lang.
修理一个友方机械目标。<n/><n/><c val="f078ff">每1点能量恢复<d ref="Effect,RavenRepairDroneHeal,RechargeVitalRate*Effect,RavenRepairDroneHeal,DrainVitalCostFactor"/>点生命值。</c>	Repariert eine befreundete mechanische Einheit.<n/><n/><c val="f078ff">Repariert <d ref="Effect,RavenRepairDroneHeal,RechargeVitalRate*Effect,RavenRepairDroneHeal,DrainVitalCostFactor"/> Trefferpunkte pro 1 Energie.</c>
<c val="ffff8a">铁鸦</c>的反护甲飞弹的爆炸范围扩大20%，追踪距离扩大50%。	Erhöht den Explosionsradius der Panzerabwehrrakete des <c val="ffff8a">Raven</c> um 20% und ihre Verfolgungsreichweite um 50%.
令一个目标单位瘫痪，使其无法攻击和使用技能，持续<d ref="Behavior,RavenScramblerMissile,Duration"/>秒。暴露隐形单位。<n/><n/><c val="#ColorAttackInfo">可以对机械单位和灵能单位使用。</c>	Setzt eine Zieleinheit außer Gefecht, sodass diese <d ref="Behavior,RavenScramblerMissile,Duration"/> Sek. lang nicht angreifen und keine Fähigkeiten einsetzen kann. Deckt getarnte Einheiten auf.<n/><n/><c val="#ColorAttackInfo">Kann mechanische und psionische Einheiten anvisieren.</c>
