Amorphous Armorcloud	무정형 방어구름
Locks the Cyclone's weapons on the target air unit or air structure, dealing <d ref="Effect,LockOnAirCP,PeriodCount*Effect,CycloneAirWeaponDamage,Amount"/> (+<d ref="Effect,LockOnAirCP,PeriodCount * $UpgradeEffectArrayValue:ArmorPiercingRockets:Effect,CycloneAirWeaponDamage,AttributeBonus[Armored]$"/> vs Armored) damage over <d ref="Effect,LockOnAirCP,PeriodicPeriodArray[0] + Effect,LockOnAirCP,PeriodicPeriodArray[1] + Effect,LockOnAirCP,PeriodicPeriodArray[2] + Effect,LockOnAirCP,PeriodicPeriodArray[3] + Effect,LockOnAirCP,PeriodicPeriodArray[4] + Effect,LockOnAirCP,PeriodicPeriodArray[5] + Effect,LockOnAirCP,PeriodicPeriodArray[6] + Effect,LockOnAirCP,PeriodicPeriodArray[7] + Effect,LockOnAirCP,PeriodicPeriodArray[8] + Effect,LockOnAirCP,PeriodicPeriodArray[9] + Effect,LockOnAirCP,PeriodicPeriodArray[10] + Effect,LockOnAirCP,PeriodicPeriodArray[11] + Effect,LockOnAirCP,PeriodicPeriodArray[12] + Effect,LockOnAirCP,PeriodicPeriodArray[13] + Effect,LockOnAirCP,PeriodicPeriodArray[14] + Effect,LockOnAirCP,PeriodicPeriodArray[15] + Effect,LockOnAirCP,PeriodicPeriodArray[16] + Effect,LockOnAirCP,PeriodicPeriodArray[17] + Effect,LockOnAirCP,PeriodicPeriodArray[18] + Effect,LockOnAirCP,PeriodicPeriodArray[19] + Effect,LockOnAirCP,PeriodicPeriodArray[20] + Effect,LockOnAirCP,PeriodicPeriodArray[21] + Effect,LockOnAirCP,PeriodicPeriodArray[22]"/> seconds. First four shots fire quickly. Can move while firing. Cancels if target moves out of range.<n/><n/><c val="#ColorAttackInfo">Cannot target ground units or ground structures.</c>	사이클론의 무기를 대상 공중 유닛 또는 구조물에 고정시켜 <d ref="Effect,LockOnAirCP,PeriodicPeriodArray[0] + Effect,LockOnAirCP,PeriodicPeriodArray[1] + Effect,LockOnAirCP,PeriodicPeriodArray[2] + Effect,LockOnAirCP,PeriodicPeriodArray[3] + Effect,LockOnAirCP,PeriodicPeriodArray[4] + Effect,LockOnAirCP,PeriodicPeriodArray[5] + Effect,LockOnAirCP,PeriodicPeriodArray[6] + Effect,LockOnAirCP,PeriodicPeriodArray[7] + Effect,LockOnAirCP,PeriodicPeriodArray[8] + Effect,LockOnAirCP,PeriodicPeriodArray[9] + Effect,LockOnAirCP,PeriodicPeriodArray[10] + Effect,LockOnAirCP,PeriodicPeriodArray[11] + Effect,LockOnAirCP,PeriodicPeriodArray[12] + Effect,LockOnAirCP,PeriodicPeriodArray[13] + Effect,LockOnAirCP,PeriodicPeriodArray[14] + Effect,LockOnAirCP,PeriodicPeriodArray[15] + Effect,LockOnAirCP,PeriodicPeriodArray[16] + Effect,LockOnAirCP,PeriodicPeriodArray[17] + Effect,LockOnAirCP,PeriodicPeriodArray[18] + Effect,LockOnAirCP,PeriodicPeriodArray[19] + Effect,LockOnAirCP,PeriodicPeriodArray[20] + Effect,LockOnAirCP,PeriodicPeriodArray[21] + Effect,LockOnAirCP,PeriodicPeriodArray[22]"/>초에 걸쳐 <d ref="Effect,LockOnAirCP,PeriodCount*Effect,CycloneAirWeaponDamage,Amount"/> (중장갑 유닛에는 +<d ref="Effect,LockOnAirCP,PeriodCount * $UpgradeEffectArrayValue:ArmorPiercingRockets:Effect,CycloneAirWeaponDamage,AttributeBonus[Armored]$"/>)의 피해를 줍니다. 이동하며 발사할 수 있고 대상이 사거리 밖으로 벗어나면 취소됩니다.<n/><n/><c val="#ColorAttackInfo">지상 유닛 및 지상 구조물 공격 불가</c>
Locks the Cyclone's weapons on the target air unit or air structure, dealing <d ref="Effect,LockOnAirCP,PeriodCount*Effect,CycloneAirWeaponDamage,Amount"/> damage over <d ref="Effect,LockOnAirCP,PeriodicPeriodArray[0] + Effect,LockOnAirCP,PeriodicPeriodArray[1] + Effect,LockOnAirCP,PeriodicPeriodArray[2] + Effect,LockOnAirCP,PeriodicPeriodArray[3] + Effect,LockOnAirCP,PeriodicPeriodArray[4] + Effect,LockOnAirCP,PeriodicPeriodArray[5] + Effect,LockOnAirCP,PeriodicPeriodArray[6] + Effect,LockOnAirCP,PeriodicPeriodArray[7] + Effect,LockOnAirCP,PeriodicPeriodArray[8] + Effect,LockOnAirCP,PeriodicPeriodArray[9] + Effect,LockOnAirCP,PeriodicPeriodArray[10] + Effect,LockOnAirCP,PeriodicPeriodArray[11] + Effect,LockOnAirCP,PeriodicPeriodArray[12] + Effect,LockOnAirCP,PeriodicPeriodArray[13] + Effect,LockOnAirCP,PeriodicPeriodArray[14] + Effect,LockOnAirCP,PeriodicPeriodArray[15] + Effect,LockOnAirCP,PeriodicPeriodArray[16] + Effect,LockOnAirCP,PeriodicPeriodArray[17] + Effect,LockOnAirCP,PeriodicPeriodArray[18] + Effect,LockOnAirCP,PeriodicPeriodArray[19] + Effect,LockOnAirCP,PeriodicPeriodArray[20] + Effect,LockOnAirCP,PeriodicPeriodArray[21] + Effect,LockOnAirCP,PeriodicPeriodArray[22]"/> seconds. First <c val="#ColorAttackInfo">12</c> shots fire quickly. Can move while firing. Cancels if target moves out of range.<n/><n/><c val="#ColorAttackInfo">Cannot target ground units or ground structures.</c>	사이클론의 무기를 대상 공중 유닛 또는 구조물에 고정시켜 <d ref="Effect,LockOnAirCP,PeriodicPeriodArray[0] + Effect,LockOnAirCP,PeriodicPeriodArray[1] + Effect,LockOnAirCP,PeriodicPeriodArray[2] + Effect,LockOnAirCP,PeriodicPeriodArray[3] + Effect,LockOnAirCP,PeriodicPeriodArray[4] + Effect,LockOnAirCP,PeriodicPeriodArray[5] + Effect,LockOnAirCP,PeriodicPeriodArray[6] + Effect,LockOnAirCP,PeriodicPeriodArray[7] + Effect,LockOnAirCP,PeriodicPeriodArray[8] + Effect,LockOnAirCP,PeriodicPeriodArray[9] + Effect,LockOnAirCP,PeriodicPeriodArray[10] + Effect,LockOnAirCP,PeriodicPeriodArray[11] + Effect,LockOnAirCP,PeriodicPeriodArray[12] + Effect,LockOnAirCP,PeriodicPeriodArray[13] + Effect,LockOnAirCP,PeriodicPeriodArray[14] + Effect,LockOnAirCP,PeriodicPeriodArray[15] + Effect,LockOnAirCP,PeriodicPeriodArray[16] + Effect,LockOnAirCP,PeriodicPeriodArray[17] + Effect,LockOnAirCP,PeriodicPeriodArray[18] + Effect,LockOnAirCP,PeriodicPeriodArray[19] + Effect,LockOnAirCP,PeriodicPeriodArray[20] + Effect,LockOnAirCP,PeriodicPeriodArray[21] + Effect,LockOnAirCP,PeriodicPeriodArray[22]"/>초에 걸쳐 <d ref="Effect,LockOnAirCP,PeriodCount*Effect,CycloneAirWeaponDamage,Amount"/>의 피해를 줍니다. 이동하며 발사할 수 있고 첫 <c val="#ColorAttackInfo">12</c>발은 빠르게 발사됩니다. 대상이 사거리 밖으로 벗어나면 취소됩니다.<n/><n/><c val="#ColorAttackInfo">지상 유닛 및 지상 구조물 공격 불가</c>
Locks the Cyclone's weapons on the target unit, dealing <d ref="Effect,LockOnCP,PeriodCount*Effect,CycloneWeaponDamage,Amount"/> damage (+400 vs. Armored) over <d ref="Effect,LockOnCP,PeriodCount * Effect,LockOnCP,PeriodicPeriodArray[0]"/> seconds to ground and flying targets. Can move while firing. Cancels if target moves out of range.	대상 유닛을 사이클론의 공격 목표로 고정시켜 지상 유닛과 공중 유닛에 <d ref="Effect,LockOnCP,PeriodCount * Effect,LockOnCP,PeriodicPeriodArray[0]"/>초에 걸쳐 <d ref="Effect,LockOnCP,PeriodCount*Effect,CycloneWeaponDamage,Amount"/>(중장갑 유닛에게는 추가 400)의 피해를 줍니다. 이동하면서 공격할 수 있습니다. 대상이 사거리 밖으로 나가면 취소됩니다.
Contains an upgrade for Lurkers.<n/><n/><c val="ffff8a">Enables:</c><n/>- Lurkers from Hydralisks	가시지옥를 업그레이드합니다.<n/><n/><c val="ffff8a">사용 가능:</c><n/>- 가시지옥 (히드라리스크에서 변태)
Prototype harvesting unit. Gathers minerals more quickly than regular SCVs. MULEs last <d time="90"/> before their systems fail.	시험 운영 중인 채취 유닛입니다. 일반 건설로봇보다 더 빨리 광물을 채취합니다. <d time="90"/> 후에 작동을 멈춥니다.
Increases <c val="ffff8a">Cyclone's</c> attack range by +<d ref="$UpgradeEffectArrayValue:MagFieldLaunchers:Weapon,TyphoonMissilePod,Range$"/>.	<c val="ffff8a">사이클론</c>의 사거리가 <d ref="$UpgradeEffectArrayValue:MagFieldLaunchers:Weapon,TyphoonMissilePod,Range$"/>만큼 증가합니다.
Recalls all player units in the target area to the Mothership.	대상 지역에 있는 플레이어 유닛을 모두 모선으로 소환합니다.
Increases the Medivac's movement speed for <d ref="Behavior,MedivacSpeedBoost,Duration"/> seconds.	의료선의 이동 속도가 <d ref="Behavior,MedivacSpeedBoost,Duration"/>초 동안 증가합니다.
Target Hatchery, Lair, or Hive spawns <d ref="Effect,SpawnMutantLarvaApplySpawnBehavior,Count"/> Larvae in <d ref="Behavior,QueenSpawnLarvaTimer,Duration"/> seconds. If Hatchery, Lair, or Hive has more than 3 Larvae at one time, regular Larva production will stop until there are fewer than 3 Larvae. This will stack and queue if the target is already spawning additional Larva.	<d ref="Behavior,QueenSpawnLarvaTimer,Duration"/>초 후 대상 부화장, 번식지, 또는 군락에 애벌레 <d ref="Effect,SpawnMutantLarvaApplySpawnBehavior,Count"/>마리를 생성합니다. 부화장, 번식지, 또는 군락에 애벌레가 3마리 이상 있으면 통상적인 애벌레 생성이 중단됩니다. 대상이 이미 추가 애벌레를 생성 중이면 중첩되어 대기열에 추가됩니다.
Upgrades into the Mothership. Can use Photon Overcharge, Mass Recall and Time Warp. Cloaks nearby units and structures.	모선으로 업그레이드합니다. 광자 과충전, 대규모 귀환, 시간 왜곡을 사용할 수 있습니다. 근처에 있는 유닛과 구조물을 은폐합니다.
Transforms the Observer to standard Observer Mode. Allows the Observer to move at the cost of decreased sight radius.	관측선을 일반 관측 모드로 전환합니다. 관측선의 시야 반경이 줄어드는 대신, 이동할 수 있습니다.
Transforms the Observer to Surveillance Mode. The Observer gains <d ref="(Unit,ObserverSiegeMode,Sight/Unit,Observer,Sight-1)*100"/>% wider vision, but loses the ability to move.	관측선을 감시 모드로 전환합니다. 관측선의 시야가 <d ref="(Unit,ObserverSiegeMode,Sight/Unit,Observer,Sight-1)*100"/>%만큼 증가하는 대신, 이동할 수 없습니다.
Enables the Overlord to transport units.	대군주가 유닛을 수송할 수 있습니다.
Restores the Overseer's ability to move and returns its vision to its normal radius.	감시군주가 다시 이동할 수 있으며 시야 반경이 원래대로 돌아옵니다.
Grants the Overseer <d ref="(Unit,OverseerSiegeMode,Sight/Unit,Overseer,Sight-1)*100"/>% wider vision, but removes its ability to move. This ability can be canceled after activation.	감시군주의 시야가 <d ref="(Unit,OverseerSiegeMode,Sight/Unit,Overseer,Sight-1)*100"/>% 증가하지만 이동 능력이 사라집니다. 이 능력은 활성화한 뒤에 취소할 수 있습니다.
Ultimate Protoss vessel. Can use Strategic Recall and Time Warp abilities. Cloaks nearby friendly units and structures.<n/><n/><c val="ffff8a">Can attack ground and air units.</c>	궁극의 프로토스 함선입니다. 전략 소환과 시간 왜곡 능력을 사용할 수 있습니다. 주위 아군 유닛과 구조물을 은폐합니다. <n/><n/><c val="ffff8a">지상 및 공중 유닛 공격 가능</c>
Energizes the target Pylon's khaydarin crystal, turning it into a powerful long-range weapon for <d ref="Behavior,Purify,Duration[0]"/> seconds that deals <d ref="Effect,MothershipCoreWeaponDamage,Amount[0]"/> damage.	대상 수정탑의 케이다린 수정을 강화시켜 <d ref="Behavior,Purify,Duration[0]"/>초 동안 강력한 원거리 무기로 바꿉니다. 공격당 <d ref="Effect,MothershipCoreWeaponDamage,Amount[0]"/>의 피해를 줍니다.
Target unit is controlled by the Infestor for <d ref="Behavior,NeuralParasite,Duration"/> seconds. The Infestor cannot take any other action while controlling an enemy unit.<n/><n/><c val="ffff8a">Channeled ability. Can cast while burrowed.</c><n/><c val="#ColorAttackInfo">Heroic units are immune.</c>	감염충이 <d ref="Behavior,NeuralParasite,Duration"/>초 동안 대상 유닛을 조종합니다. 감염충은 적 유닛을 조종하는 동안 다른 행동을 할 수 없습니다.<n/><n/><c val="ffff8a">집중 기술. 잠복한 상태로 시전 가능</c><n/><c val="#ColorAttackInfo">영웅 유닛은 면역</c>
Primary structure. Can receive gathered resources. Can use the Chrono Boost and Mass Recall abilities.<n/><n/><c val="ffff8a">Enables:</c><n/>- Probes<n/>- Mothership	주 건물입니다. 채취한 자원을 수집합니다. 시간 증폭 및 대규모 귀환 능력을 사용할 수 있습니다.<n/><n/><c val="ffff8a">사용 가능:</c><n/>- 탐사정<n/>- 모선
Recalls all units owned by the player in the target area to the Nexus.	대상 지역에 위치한 자신의 모든 유닛을 연결체로 귀환시킵니다.
Nexus will automatically use energy to restore shields of nearby units.	연결체가 자동으로 에너지를 사용해서 주위 유닛들의 보호막을 회복시킵니다.
Nexus will no longer automatically target friendly units.	연결체가 더는 자동으로 아군 유닛을 대상으로 삼지 않습니다.
Restore shields of target unit or structure.<n/><n/><c val="ffff8a">Costs 1 energy for every <d ref="Effect,NexusShieldRechargeShield,VitalArray[Shields].Change"/> shields restored.</c>	대상 유닛 또는 구조물의 보호막을 회복시킵니다.<n/><n/><c val="ffff8a">에너지 1당 <d ref="Effect,NexusShieldRechargeShield,VitalArray[Shields].Change"/>의 보호막이 회복됩니다.</c>
Energizes the target Pylon's khaydarin crystal, turning it into a structure that restores shields of friendly units for <d ref="Behavior,NexusShieldRechargeOnPylonBehavior,Duration[0]"/> seconds.	대상 수정탑의 케이다린 수정을 강화하여 <d ref="Behavior,NexusShieldRechargeOnPylonBehavior,Duration[0]"/>초 동안 아군 유닛의 보호막을 재충전하는 구조물로 만들어 줍니다.
Nydus Worms have <d ref="Behavior,NydusWormArmor,Modification.LifeArmorBonus+1"/> armor when emerging from the ground.	땅굴벌레가 땅속에서 나올 때 <d ref="Behavior,NydusWormArmor,Modification.LifeArmorBonus+1"/>의 방어력이 부여됩니다.
Places a cloaked Stasis Ward at the target location that lasts <d ref="Behavior,StasisWardTimedLife,Duration"/> seconds. Once activated by an enemy ground unit, the ward traps nearby enemies in stasis for <d ref="Behavior,OracleStasisTrapTarget,Duration"/> seconds. Trapped units cannot be attacked or affected by abilities.	대상 위치에 <d ref="Behavior,StasisWardTimedLife,Duration"/>초 동안 지속되는 은폐 정지장 수호물을 놓습니다. 적의 지상 유닛이 수호물을 발동시키면 주위 적들이 <d ref="Behavior,OracleStasisTrapTarget,Duration"/>초 동안 정지장에 갇힙니다. 정지장에 갇힌 유닛은 공격을 받거나 능력의 영향을 받지 않습니다.
Advanced aerial observer. Maintains the unit cap set by the Overlord. Can use the Oversight, Spawn Changeling, and Contaminate abilities.<n/><n/><c val="FFE303">Detector</c>	고급 공중 탐지 유닛입니다. 대군주와 동일한 만큼의 지휘력을 공급합니다. 감시, 변신수 생성, 오염 능력을 사용할 수 있습니다.<n/><n/><c val="FFE303">탐지기</c>
Creates a parasitic cloud that deals <d ref="Behavior,ParasiticBomb,Duration/Behavior,ParasiticBomb,Period*Effect,ParasiticBombDotDamage,Amount"/> damage over <d ref="Behavior,ParasiticBomb,Duration"/> seconds to the target and enemy air units nearby. If the target dies, the cloud remains in the air where the enemy died until it expires.<n/><n/><c val="#ColorAttackInfo">Cannot target ground units or structures.</c>	기생 구름을 생성하여 대상과 주위 적 공중 유닛에게 <d ref="Behavior,ParasiticBomb,Duration"/>초에 걸쳐 <d ref="Behavior,ParasiticBomb,Duration/Behavior,ParasiticBomb,Period*Effect,ParasiticBombDotDamage,Amount"/>의 피해를 줍니다. 대상이 죽으면 구름은 그 죽은 지점의 공중에 머물다 사라집니다.<n/><n/><c val="#ColorAttackInfo">지상 유닛 또는 구조물 대상 지정 불가</c>
Automated defensive laser that intercepts a variety of enemy projectiles. Does not intercept special attacks.<n/><n/><c val="f078ff">Each shot consumes 10 energy.</c>	다양한 적 원거리 발사체를 요격하는 자동 방어 레이저 장치입니다. 특수 공격은 무력화시킬 수 없습니다.<n/><n/><c val="f078ff">매 사격 시 10의 에너지 소모</c>
Improves the Zealot's Charge to deal <d ref="Effect,ChargingDamage,Amount"/> damage to the charged target.	광전사의 돌진이 대상에게 <d ref="Effect,ChargingDamage,Amount"/>의 피해를 줍니다.
Shoots out a ball of energy that lasts <d ref="Behavior,PurificationNovaTargettedTarget,Duration"/> seconds and emits a powerful nova dealing <d ref="Effect,PurificationNovaDamage,Amount"/> splash damage and an additional <d ref="Effect,PurificationNovaDamage,ShieldBonus"/> shield damage to nearby ground units and structures. The Disruptor is immobile while this is active.	<d ref="Behavior,PurificationNovaTargettedTarget,Duration"/>초 동안 지속되는 에너지 구체를 발사합니다. 구체는 지속 시간 후 강력한 폭발 에너지를 방출하여 주위 지상 유닛과 구조물에 <d ref="Effect,PurificationNovaDamage,Amount"/>의 방사 피해를 주고 추가로 <d ref="Effect,PurificationNovaDamage,ShieldBonus"/>의 보호막 피해를 줍니다. 에너지 구체가 활성화되어 있는 동안 분열기는 이동 불가 상태가 됩니다.
Reduces the cooldown of Medivac's Ignite Afterburners by <d time="[d ref='$UpgradeEffectArrayValue:MedivacIncreaseSpeedBoost:Abil,MedivacSpeedBoost,Cost[0].Cooldown.TimeUse$'/]"/> and increases the movement speed of Medivacs.	의료선의 재연소 장치 점화의 재사용 대기시간이 <d time="[d ref='$UpgradeEffectArrayValue:MedivacIncreaseSpeedBoost:Abil,MedivacSpeedBoost,Cost[0].Cooldown.TimeUse$'/]"/>만큼 감소하고 이동 속도가 증가합니다.
Aerial support unit. Can use Auto-Turret, Interference Matrix, and Anti-Armor Missile.<n/><n/><c val="FFE303">Detector</c>	공중 지원 유닛입니다. 자동 포탑, 방해 매트릭스, 대장갑 미사일을 사용할 수 있습니다.<n/><n/><c val="FFE303">탐지기</c>
