Amorphous Armorcloud	無定型防護雲
Locks the Cyclone's weapons on the target air unit or air structure, dealing <d ref="Effect,LockOnAirCP,PeriodCount*Effect,CycloneAirWeaponDamage,Amount"/> damage over <d ref="Effect,LockOnAirCP,PeriodicPeriodArray[0] + Effect,LockOnAirCP,PeriodicPeriodArray[1] + Effect,LockOnAirCP,PeriodicPeriodArray[2] + Effect,LockOnAirCP,PeriodicPeriodArray[3] + Effect,LockOnAirCP,PeriodicPeriodArray[4] + Effect,LockOnAirCP,PeriodicPeriodArray[5] + Effect,LockOnAirCP,PeriodicPeriodArray[6] + Effect,LockOnAirCP,PeriodicPeriodArray[7] + Effect,LockOnAirCP,PeriodicPeriodArray[8] + Effect,LockOnAirCP,PeriodicPeriodArray[9] + Effect,LockOnAirCP,PeriodicPeriodArray[10] + Effect,LockOnAirCP,PeriodicPeriodArray[11] + Effect,LockOnAirCP,PeriodicPeriodArray[12] + Effect,LockOnAirCP,PeriodicPeriodArray[13] + Effect,LockOnAirCP,PeriodicPeriodArray[14] + Effect,LockOnAirCP,PeriodicPeriodArray[15] + Effect,LockOnAirCP,PeriodicPeriodArray[16] + Effect,LockOnAirCP,PeriodicPeriodArray[17] + Effect,LockOnAirCP,PeriodicPeriodArray[18] + Effect,LockOnAirCP,PeriodicPeriodArray[19] + Effect,LockOnAirCP,PeriodicPeriodArray[20] + Effect,LockOnAirCP,PeriodicPeriodArray[21] + Effect,LockOnAirCP,PeriodicPeriodArray[22]"/> seconds. First <c val="#ColorAttackInfo">12</c> shots fire quickly. Can move while firing. Cancels if target moves out of range.<n/><n/><c val="#ColorAttackInfo">Cannot target ground units or ground structures.</c>	颶風飛彈車的武器系統鎖定空中單位或空中建築，可在<d ref="Effect,LockOnAirCP,PeriodicPeriodArray[0] + Effect,LockOnAirCP,PeriodicPeriodArray[1] + Effect,LockOnAirCP,PeriodicPeriodArray[2] + Effect,LockOnAirCP,PeriodicPeriodArray[3] + Effect,LockOnAirCP,PeriodicPeriodArray[4] + Effect,LockOnAirCP,PeriodicPeriodArray[5] + Effect,LockOnAirCP,PeriodicPeriodArray[6] + Effect,LockOnAirCP,PeriodicPeriodArray[7] + Effect,LockOnAirCP,PeriodicPeriodArray[8] + Effect,LockOnAirCP,PeriodicPeriodArray[9] + Effect,LockOnAirCP,PeriodicPeriodArray[10] + Effect,LockOnAirCP,PeriodicPeriodArray[11] + Effect,LockOnAirCP,PeriodicPeriodArray[12] + Effect,LockOnAirCP,PeriodicPeriodArray[13] + Effect,LockOnAirCP,PeriodicPeriodArray[14] + Effect,LockOnAirCP,PeriodicPeriodArray[15] + Effect,LockOnAirCP,PeriodicPeriodArray[16] + Effect,LockOnAirCP,PeriodicPeriodArray[17] + Effect,LockOnAirCP,PeriodicPeriodArray[18] + Effect,LockOnAirCP,PeriodicPeriodArray[19] + Effect,LockOnAirCP,PeriodicPeriodArray[20] + Effect,LockOnAirCP,PeriodicPeriodArray[21] + Effect,LockOnAirCP,PeriodicPeriodArray[22]"/>秒內造成<d ref="Effect,LockOnAirCP,PeriodCount*Effect,CycloneAirWeaponDamage,Amount"/>點傷害，最初<c val="#ColorAttackInfo">12</c>發的發射速度比較快。可以邊移動邊進行射擊。當目標超出射擊範圍時將會取消攻擊。<n/><n/><c val="#ColorAttackInfo">無法以地面單位或地面建築為目標。</c>
Locks the Cyclone's weapons on the target unit, dealing <d ref="Effect,LockOnCP,PeriodCount*Effect,CycloneWeaponDamage,Amount"/> damage (+400 vs. Armored) over <d ref="Effect,LockOnCP,PeriodCount * Effect,LockOnCP,PeriodicPeriodArray[0]"/> seconds to ground and flying targets. Can move while firing. Cancels if target moves out of range.	颶風飛彈車的武器系統鎖定目標單位，可在<d ref="Effect,LockOnCP,PeriodCount * Effect,LockOnCP,PeriodicPeriodArray[0]"/>秒內對地面或空中單位造成<d ref="Effect,LockOnCP,PeriodCount*Effect,CycloneWeaponDamage,Amount"/>點傷害(對重甲單位額外提高400點)。可以邊移動邊進行射擊。當目標超出射擊範圍時將會取消攻擊。
Contains an upgrade for Lurkers.<n/><n/><c val="ffff8a">Enables:</c><n/>- Lurkers from Hydralisks	提供遁地獸的升級。<n/><n/><c val="ffff8a">功能：</c><n/>- 讓刺蛇可變形為遁地獸
Prototype harvesting unit. Gathers minerals more quickly than regular SCVs. MULEs last <d time="90"/> before their systems fail.	採集單位的原型機種。採集晶礦的速度比一般太空工程車更快。礦騾在其系統當機前可持續<d time="90"/>。
Increases <c val="ffff8a">Cyclone's</c> attack range by +<d ref="$UpgradeEffectArrayValue:MagFieldLaunchers:Weapon,TyphoonMissilePod,Range$"/>.	<c val="ffff8a">颶風飛彈車</c>的攻擊距離提高<d ref="$UpgradeEffectArrayValue:MagFieldLaunchers:Weapon,TyphoonMissilePod,Range$"/>格。
Recalls all player units in the target area to the Mothership.	將目標區域內所有玩家的單位召喚至聖母艦的所在位置。
Increases the Medivac's movement speed for <d ref="Behavior,MedivacSpeedBoost,Duration"/> seconds.	醫療艇的移動速度提高，持續<d ref="Behavior,MedivacSpeedBoost,Duration"/>秒。
Target Hatchery, Lair, or Hive spawns <d ref="Effect,SpawnMutantLarvaApplySpawnBehavior,Count"/> Larvae in <d ref="Behavior,QueenSpawnLarvaTimer,Duration"/> seconds. If Hatchery, Lair, or Hive has more than 3 Larvae at one time, regular Larva production will stop until there are fewer than 3 Larvae. This will stack and queue if the target is already spawning additional Larva.	目標孵化所、蟲穴、或蟲巢會在<d ref="Behavior,QueenSpawnLarvaTimer,Duration"/>秒內孵化<d ref="Effect,SpawnMutantLarvaApplySpawnBehavior,Count"/>隻幼蟲。如果孵化所、蟲穴、或蟲巢擁有超過三隻幼蟲，則會停止正常的幼蟲生產程序，直到少於三隻幼蟲為止。如果目標正在孵化額外的幼蟲，此效果將累積至佇列中。
Upgrades into the Mothership. Can use Photon Overcharge, Mass Recall and Time Warp. Cloaks nearby units and structures.	升級至聖母艦。可使用光子充能、群體召喚和時空扭曲，並且可使附近的單位和建築進入匿蹤狀態。
Transforms the Observer to standard Observer Mode. Allows the Observer to move at the cost of decreased sight radius.	將觀察者轉換為標準模式，此模式下觀察者可移動，但視野範圍降低。
Transforms the Observer to Surveillance Mode. The Observer gains <d ref="(Unit,ObserverSiegeMode,Sight/Unit,Observer,Sight-1)*100"/>% wider vision, but loses the ability to move.	將觀察者轉換為監視模式。觀察者的視野範圍提高<d ref="(Unit,ObserverSiegeMode,Sight/Unit,Observer,Sight-1)*100"/>%，但無法移動。
Enables the Overlord to transport units.	讓王蟲可運輸單位。
Restores the Overseer's ability to move and returns its vision to its normal radius.	使監察王蟲可以進行移動並使其視野距離回復正常。
Grants the Overseer <d ref="(Unit,OverseerSiegeMode,Sight/Unit,Overseer,Sight-1)*100"/>% wider vision, but removes its ability to move. This ability can be canceled after activation.	使監察王蟲的視野提高<d ref="(Unit,OverseerSiegeMode,Sight/Unit,Overseer,Sight-1)*100"/>%，但是失去移動能力。啟動此技能後，可再度取消。
Ultimate Protoss vessel. Can use Strategic Recall and Time Warp abilities. Cloaks nearby friendly units and structures.<n/><n/><c val="ffff8a">Can attack ground and air units.</c>	終極的神族戰艦。可使用時空扭曲及戰術召回。使附近的友方單位及建築進入匿蹤狀態。<n/><n/><c val="ffff8a">可攻擊地面及空中單位。</c>
Energizes the target Pylon's khaydarin crystal, turning it into a powerful long-range weapon for <d ref="Behavior,Purify,Duration[0]"/> seconds that deals <d ref="Effect,MothershipCoreWeaponDamage,Amount[0]"/> damage.	為目標水晶塔的凱達林水晶充能，將其轉化為一個威力強大的遠程武器，該武器可持續<d ref="Behavior,Purify,Duration[0]"/>秒，並且造成<d ref="Effect,MothershipCoreWeaponDamage,Amount[0]"/>點傷害。
Target unit is controlled by the Infestor for <d ref="Behavior,NeuralParasite,Duration"/> seconds. The Infestor cannot take any other action while controlling an enemy unit.<n/><n/><c val="ffff8a">Channeled ability. Can cast while burrowed.</c><n/><c val="#ColorAttackInfo">Heroic units are immune.</c>	目標單位將被感染蟲控制<d ref="Behavior,NeuralParasite,Duration"/>秒。感染蟲在控制敵方單位時無法從事任何其他的動作。<n/><n/><c val="ffff8a">導引技能。可在遁地時施放。</c><n/><c val="#ColorAttackInfo">對英雄單位無效。</c>
Primary structure. Can receive gathered resources. Can use the Chrono Boost and Mass Recall abilities.<n/><n/><c val="ffff8a">Enables:</c><n/>- Probes<n/>- Mothership	主要建築。可接收採集到的資源。可使用超時空加速及群體召喚。<n/><n/><c val="ffff8a">功能：</c><n/>- 可躍傳探測機<n/>- 可躍傳聖母艦
Recalls all units owned by the player in the target area to the Nexus.	將目標區域內玩家擁有的所有單位召喚到這個星核。
Nexus will automatically use energy to restore shields of nearby units.	星核會自動消耗能量為附近的單位恢復護盾。
Nexus will no longer automatically target friendly units.	星核不會自動鎖定友方單位。
Restore shields of target unit or structure.<n/><n/><c val="ffff8a">Costs 1 energy for every <d ref="Effect,NexusShieldRechargeShield,VitalArray[Shields].Change"/> shields restored.</c>	為目標單位或建築恢復護盾。<n/><n/><c val="ffff8a">每1點能量可恢復<d ref="Effect,NexusShieldRechargeShield,VitalArray[Shields].Change"/>點護盾。</c>
Energizes the target Pylon's khaydarin crystal, turning it into a structure that restores shields of friendly units for <d ref="Behavior,NexusShieldRechargeOnPylonBehavior,Duration[0]"/> seconds.	為目標水晶塔的凱達林水晶充能，將其轉化為可為附近友方單位恢復護盾的建築，該效果可持續<d ref="Behavior,NexusShieldRechargeOnPylonBehavior,Duration[0]"/>秒。
Nydus Worms have <d ref="Behavior,NydusWormArmor,Modification.LifeArmorBonus+1"/> armor when emerging from the ground.	地下蠕蟲從地下竄出時獲得<d ref="Behavior,NydusWormArmor,Modification.LifeArmorBonus+1"/>點裝甲值。
Places a cloaked Stasis Ward at the target location that lasts <d ref="Behavior,StasisWardTimedLife,Duration"/> seconds. Once activated by an enemy ground unit, the ward traps nearby enemies in stasis for <d ref="Behavior,OracleStasisTrapTarget,Duration"/> seconds. Trapped units cannot be attacked or affected by abilities.	在目標地點設置一個匿蹤的靜滯詭雷，持續<d ref="Behavior,StasisWardTimedLife,Duration"/>秒。當敵方地面單位啟動詭雷時，將會使附近的敵人陷入靜滯狀態，持續<d ref="Behavior,OracleStasisTrapTarget,Duration"/>秒。陷入靜滯狀態的單位無法被攻擊或者受到技能的影響。
Advanced aerial observer. Maintains the unit cap set by the Overlord. Can use the Oversight, Spawn Changeling, and Contaminate abilities.<n/><n/><c val="FFE303">Detector</c>	進階空中觀察者。維持王蟲所提供的補給。可使用監視模式、孵化變形蟲及使用污染技能。<n/><n/><c val="FFE303">偵測單位</c>
Creates a parasitic cloud that deals <d ref="Behavior,ParasiticBomb,Duration/Behavior,ParasiticBomb,Period*Effect,ParasiticBombDotDamage,Amount"/> damage over <d ref="Behavior,ParasiticBomb,Duration"/> seconds to the target and enemy air units nearby. If the target dies, the cloud remains in the air where the enemy died until it expires.<n/><n/><c val="#ColorAttackInfo">Cannot target ground units or structures.</c>	產生一團寄生雲霧，在<d ref="Behavior,ParasiticBomb,Duration"/>秒內對目標和附近的敵方空中單位造成<d ref="Behavior,ParasiticBomb,Duration/Behavior,ParasiticBomb,Period*Effect,ParasiticBombDotDamage,Amount"/>點傷害。目標死亡後，這團雲霧仍會停留在敵人死亡的地點，直到時效結束。<n/><n/><c val="#ColorAttackInfo">無法以地面單位或建築為目標。</c>
Automated defensive laser that intercepts a variety of enemy projectiles. Does not intercept special attacks.<n/><n/><c val="f078ff">Each shot consumes 10 energy.</c>	自動化防禦雷射，可攔截敵方的砲彈。無法攔截特殊攻擊。<n/><n/><c val="f078ff">每發消耗10點能量。</c>
Improves the Zealot's Charge to deal <d ref="Effect,ChargingDamage,Amount"/> damage to the charged target.	狂戰士的衝鋒對目標的傷害提高為<d ref="Effect,ChargingDamage,Amount"/>點。
Shoots out a ball of energy that lasts <d ref="Behavior,PurificationNovaTargettedTarget,Duration"/> seconds and emits a powerful nova dealing <d ref="Effect,PurificationNovaDamage,Amount"/> splash damage and an additional <d ref="Effect,PurificationNovaDamage,ShieldBonus"/> shield damage to nearby ground units and structures. The Disruptor is immobile while this is active.	發射一顆光球，在<d ref="Behavior,PurificationNovaTargettedTarget,Duration"/>秒後爆發出威力強大的能量，對附近的地面單位和建築造成<d ref="Effect,PurificationNovaDamage,Amount"/>點擴散傷害，並且對其護盾造成<d ref="Effect,PurificationNovaDamage,ShieldBonus"/>點傷害。在此期間，裂光球無法移動。
Reduces the cooldown of Medivac's Ignite Afterburners by <d time="[d ref='$UpgradeEffectArrayValue:MedivacIncreaseSpeedBoost:Abil,MedivacSpeedBoost,Cost[0].Cooldown.TimeUse$'/]"/> and increases the movement speed of Medivacs.	醫療艇啟動後燃器的冷卻時間降低<d time="[d ref='$UpgradeEffectArrayValue:MedivacIncreaseSpeedBoost:Abil,MedivacSpeedBoost,Cost[0].Cooldown.TimeUse$'/]"/>，並且提高醫療艇的移動速度。
Aerial support unit. Can use Auto-Turret, Interference Matrix, and Anti-Armor Missile.<n/><n/><c val="FFE303">Detector</c>	空中支援單位。可使用自動砲台、干擾矩陣和反裝甲飛彈。<n/><n/><c val="FFE303">偵測單位</c>
Increases the Raven's Anti-Armor Missile explosion radius by 20% and its tracking range by 50%.	渡鴉反裝甲飛彈的爆炸範圍提高20%，追蹤距離提高50%。
Increases the Seeker Missile's damage by 30% and its tracking range by 50%.	導引飛彈的傷害提高30%，追蹤距離提高50%。
Repairs nearby friendly mechanical units for <d ref="Behavior,RavenRepairDroneTimedLife,Duration"/> seconds.	修復附近的友方機械單位，持續<d ref="Behavior,RavenRepairDroneTimedLife,Duration"/>秒。
Repair a friendly mechanical target.<n/><n/><c val="f078ff">Repairs <d ref="Effect,RavenRepairDroneHeal,RechargeVitalRate*Effect,RavenRepairDroneHeal,DrainVitalCostFactor"/> life per 1 energy.</c>	修復一名友方機械目標。<n/><n/><c val="f078ff">每1點能量治療<d ref="Effect,RavenRepairDroneHeal,RechargeVitalRate*Effect,RavenRepairDroneHeal,DrainVitalCostFactor"/>點生命值。</c>
Increases the <c val="ffff8a">Raven's</c> Anti-Armor Missile explosion radius by 20% and its tracking range by 50%.	<c val="ffff8a">渡鴉</c>反裝甲飛彈的爆炸範圍提高20%，追蹤距離提高50%。
Disables a target unit rendering it unable to attack or use abilities for <d ref="Behavior,RavenScramblerMissile,Duration"/> seconds. Reveals Cloaked units.<n/><n/><c val="#ColorAttackInfo">Can target mechanical and psionic units.</c>	使一個單位無法攻擊或使用技能，持續<d ref="Behavior,RavenScramblerMissile,Duration"/>秒。使匿蹤單位現形。<n/><n/><c val="#ColorAttackInfo">可以機械單位和幽能單位為目標。</c>
Deploys a missile which pursues the target unit and, upon contact, reduces the armor and shield armor of affected units by <d ref="Behavior,RavenShredderMissileArmorReduction,DamageResponse.ModifyAmount"/> for <d ref="Behavior,RavenShredderMissileArmorReduction,Duration"/> seconds.	部署會追擊目標單位的飛彈，擊中時會使受影響單位的裝甲值與護盾裝甲降低<d ref="Behavior,RavenShredderMissileArmorReduction,DamageResponse.ModifyAmount"/>點，持續<d ref="Behavior,RavenShredderMissileArmorReduction,Duration"/>秒。
<c val="ffff8a">Adepts</c> gain +50 shields.	<c val="ffff8a">教士</c>的護盾值提高50點。
Increases the <c val="ffff8a">Adept's</c> shields by <d ref="$UpgradeEffectArrayValue:AmplifiedShielding:Unit,Adept,ShieldsMax$"/>.	<c val="ffff8a">教士</c>的護盾值提高<d ref="$UpgradeEffectArrayValue:AmplifiedShielding:Unit,Adept,ShieldsMax$"/>點。
Improves the <c val="ffff8a">Cyclone's</c> Lock On ability to deal +<d ref="$UpgradeEffectArrayValue:ArmorPiercingRockets:Effect,CycloneAirWeaponDamageAlternative,AttributeBonus[Armored]$"/> damage vs. armored units per shot. +<d ref="$UpgradeEffectArrayValue:ArmorPiercingRockets:Effect,CycloneAirWeaponDamageAlternative,AttributeBonus[Armored]$*Effect,LockOnAirCP,PeriodCount"/> damage total.	強化<c val="ffff8a">颶風飛彈車</c>的鎖定目標技能，每一發對重甲單位造成的傷害提高<d ref="$UpgradeEffectArrayValue:ArmorPiercingRockets:Effect,CycloneAirWeaponDamageAlternative,AttributeBonus[Armored]$"/>點。總共提高<d ref="$UpgradeEffectArrayValue:ArmorPiercingRockets:Effect,CycloneAirWeaponDamageAlternative,AttributeBonus[Armored]$*Effect,LockOnAirCP,PeriodCount"/>點傷害。
Increases the range of <c val="ffff8a">Liberators</c> in Defender Mode by <d ref="$UpgradeEffectArrayValue:LiberatorAGRangeUpgrade:Weapon,LiberatorAGWeapon,Range$"/>.	<c val="ffff8a">解放者</c>的防禦者模式射程提高<d ref="$UpgradeEffectArrayValue:LiberatorAGRangeUpgrade:Weapon,LiberatorAGWeapon,Range$"/>格。
